gene_id	gene_name	gene_source	gene_biotype
ENSRNOG00000018773	Mtrf1l	ensembl	protein_coding
ENSRNOG00000059321	AABR07001406.2	ensembl	snoRNA
ENSRNOG00000055161	AABR07001406.1	ensembl	snoRNA
ENSRNOG00000018690	Rgs17	ensembl	protein_coding
ENSRNOG00000033265	AABR07001408.1	ensembl	protein_coding
ENSRNOG00000059050	AABR07001416.1	ensembl	protein_coding
ENSRNOG00000059359	AABR07001416.2	ensembl	miRNA
ENSRNOG00000060413	AABR07001416.3	ensembl	lincRNA
ENSRNOG00000018191	Oprm1	ensembl_havana	protein_coding
ENSRNOG00000060991	AABR07001432.2	havana	TEC
ENSRNOG00000059866	AABR07001432.1	havana	antisense
ENSRNOG00000018163	Ipcef1	ensembl_havana	protein_coding
ENSRNOG00000055098	AABR07001433.1	havana	processed_pseudogene
ENSRNOG00000018052	Cnksr3	ensembl_havana	protein_coding
ENSRNOG00000004144	AABR07001435.1	ensembl	pseudogene
ENSRNOG00000060056	U6	ensembl	snRNA
ENSRNOG00000016919	Scaf8	ensembl	protein_coding
ENSRNOG00000057561	AABR07001444.1	ensembl	lincRNA
ENSRNOG00000016728	Tiam2	ensembl	protein_coding
ENSRNOG00000056223	Tfb1m	ensembl	protein_coding
ENSRNOG00000023531	Cldn20	ensembl	protein_coding
ENSRNOG00000016490	Nox3	ensembl	protein_coding
ENSRNOG00000059546	AABR07001448.1	ensembl	lincRNA
ENSRNOG00000054504	AABR07001452.1	ensembl	lincRNA
ENSRNOG00000053507	AABR07001455.1	ensembl	lincRNA
ENSRNOG00000053052	LOC102548472	ensembl	lincRNA
ENSRNOG00000017030	Arid1b	ensembl_havana	protein_coding
ENSRNOG00000016973	Tmem242	ensembl	protein_coding
ENSRNOG00000029049	Zdhhc14	ensembl	protein_coding
ENSRNOG00000058103	AABR07001477.1	ensembl	lincRNA
ENSRNOG00000046874	Snx9	ensembl	protein_coding
ENSRNOG00000017114	Synj2	ensembl	protein_coding
ENSRNOG00000017889	Serac1	ensembl	protein_coding
ENSRNOG00000018007	Gtf2h5	ensembl	protein_coding
ENSRNOG00000018012	Tulp4	ensembl	protein_coding
ENSRNOG00000045491	5S_rRNA	ensembl	rRNA
ENSRNOG00000018158	Tmem181	ensembl	protein_coding
ENSRNOG00000018207	Dynlt1	ensembl	protein_coding
ENSRNOG00000018321	Sytl3	ensembl	protein_coding
ENSRNOG00000018524	Ezr	ensembl	protein_coding
ENSRNOG00000058299	U6	ensembl	snRNA
ENSRNOG00000018762	Rsph3	ensembl	protein_coding
ENSRNOG00000018915	Tagap	ensembl	protein_coding
ENSRNOG00000058258	AABR07001493.1	ensembl	lincRNA
ENSRNOG00000018935	RGD1560015	ensembl	pseudogene
ENSRNOG00000030210	Fndc1	ensembl	protein_coding
ENSRNOG00000054760	AABR07001497.1	ensembl	scaRNA
ENSRNOG00000058069	AABR07001497.2	ensembl	lincRNA
ENSRNOG00000019048	Sod2	ensembl	protein_coding
ENSRNOG00000019091	Wtap	ensembl	protein_coding
ENSRNOG00000019189	Acat2	ensembl	protein_coding
ENSRNOG00000013975	Acat2l1	ensembl_havana	protein_coding
ENSRNOG00000014160	Tcp1	ensembl_havana	protein_coding
ENSRNOG00000058152	Snora20	ensembl	snoRNA
ENSRNOG00000051969	AABR07071864.1	ensembl	snoRNA
ENSRNOG00000014582	Mrpl18	ensembl_havana	protein_coding
ENSRNOG00000023140	Pnldc1	ensembl_havana	protein_coding
ENSRNOG00000014965	Mas1l	ensembl_havana	protein_coding
ENSRNOG00000014971	Mas1	ensembl	protein_coding
ENSRNOG00000014997	Igf2r	ensembl	protein_coding
ENSRNOG00000051780	AC129234.1	ensembl	snoRNA
ENSRNOG00000056441	AC114389.2	ensembl	lincRNA
ENSRNOG00000016337	Slc22a1	ensembl	protein_coding
ENSRNOG00000016625	Slc22a2	ensembl	protein_coding
ENSRNOG00000053944	AC114389.1	ensembl	protein_coding
ENSRNOG00000022946	Slc22a3	ensembl	protein_coding
ENSRNOG00000017223	Plg	ensembl	protein_coding
ENSRNOG00000017412	AABR07001512.1	ensembl	protein_coding
ENSRNOG00000017419	Map3k4	ensembl	protein_coding
ENSRNOG00000059864	Gm24794	ensembl	snoRNA
ENSRNOG00000055981	AABR07001516.1	ensembl	protein_coding
ENSRNOG00000017731	Agpat4	ensembl	protein_coding
ENSRNOG00000054620	AC135026.1	ensembl	protein_coding
ENSRNOG00000055141	AABR07001518.1	ensembl	lincRNA
ENSRNOG00000055547	AABR07001519.1	ensembl	protein_coding
ENSRNOG00000044833	5S_rRNA	ensembl	rRNA
ENSRNOG00000048297	LOC108348175	ensembl	protein_coding
ENSRNOG00000060475	AABR07001555.1	ensembl	lincRNA
ENSRNOG00000017367	Pabpc6	ensembl	protein_coding
ENSRNOG00000049044	AABR07001561.1	ensembl	miRNA
ENSRNOG00000011243	MGC94891	ensembl	protein_coding
ENSRNOG00000011310	Pde10a	ensembl	protein_coding
ENSRNOG00000012229	Tbxt	ensembl	protein_coding
ENSRNOG00000024172	T2	ensembl	protein_coding
ENSRNOG00000024149	Prr18	ensembl	protein_coding
ENSRNOG00000024140	Sft2d1	ensembl	protein_coding
ENSRNOG00000012415	Mpc1	ensembl	protein_coding
ENSRNOG00000012964	Ccr6	ensembl	protein_coding
ENSRNOG00000055093	Fgfr1op	ensembl	protein_coding
ENSRNOG00000013190	Rnaset2	ensembl	protein_coding
ENSRNOG00000057484	AABR07001573.2	ensembl	protein_coding
ENSRNOG00000052521	AABR07001573.1	ensembl	scaRNA
ENSRNOG00000013194	Rps6ka2	ensembl	protein_coding
ENSRNOG00000060227	U6	ensembl	snRNA
ENSRNOG00000039255	Gpr31	ensembl	protein_coding
ENSRNOG00000013374	Tcp10b	ensembl	protein_coding
ENSRNOG00000033901	Ttll2	ensembl	protein_coding
