,rab.all,rab.win.CON,rab.win.MIX,diff.btw,diff.win,effect,overlap,we.ep,we.eBH,wi.ep,wi.eBH
"ATPF1D, atpH; F-type H+-transporting ATPase subunit delta [EC:3.6.3.14]",1.447783066,1.56433047,0.927341924,-0.628012465,0.808433899,-0.724986392,0.244473391,0.024658159,0.75582753,0.032872826,0.730355557
"crp; CRP/FNR family transcriptional regulator, cyclic AMP receptor protein",-0.860376328,-1.262050671,-0.132926501,1.09835562,1.638906939,0.631476388,0.238281301,0.025369917,0.756218729,0.0351851,0.733220252
dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11],-1.158996435,-1.954346499,-0.918319815,1.341608697,2.29082919,0.656169906,0.241872611,0.016476399,0.741737557,0.034039087,0.733979521
DPP4; dipeptidyl-peptidase 4 [EC:3.4.14.5],2.667275192,3.096945984,2.41571735,-0.586660588,1.004614407,-0.552987058,0.250975339,0.060639126,0.88473812,0.037358422,0.736504632
recB; exodeoxyribonuclease V beta subunit [EC:3.1.11.5],-2.121264495,-2.604379062,-1.732977083,0.766423472,1.208911216,0.613273883,0.236671053,0.029895103,0.779326892,0.038340821,0.744179261
dapC; N-succinyldiaminopimelate aminotransferase [EC:2.6.1.17],-5.196346527,-4.77271114,-5.753838345,-1.064577236,1.744061238,-0.548220894,0.223958389,0.047650706,0.803711474,0.065463511,0.744210162
"E3.2.1.25, MANBA, manB; beta-mannosidase [EC:3.2.1.25]",2.621433801,2.761956602,2.389268073,-0.511282451,0.77352776,-0.617258682,0.239583384,0.054313547,0.862180768,0.039448717,0.744622698
"poxA; lysyl-tRNA synthetase, class II [EC:6.1.1.6]",-3.654259234,-4.584026335,-2.80307999,1.984778001,3.242241789,0.635689388,0.239271832,0.045490034,0.820682875,0.039263036,0.746493565
"carA, CPA1; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]",4.476510814,4.429686541,4.61858045,0.153282376,0.391020156,0.44542348,0.24707417,0.117275737,0.984287664,0.040728321,0.748855105
pepB; PepB aminopeptidase [EC:3.4.11.23],-2.871759572,-3.376102815,-2.012327374,1.488216192,2.422414771,0.580850537,0.24707417,0.032234382,0.785131077,0.041015541,0.751590581
SERPINB; serpin B,-2.248720138,-1.501644268,-2.56929336,-0.98001108,1.191554732,-0.634368067,0.244791715,0.128344182,0.953955396,0.041985732,0.752771969
"PTS-EI.PTSP, ptsP; phosphotransferase system, enzyme I, PtsP [EC:2.7.3.9]",-0.638852761,-0.909957384,-0.041609914,0.973162268,1.614939236,0.612569727,0.25130213,0.036032009,0.794606865,0.040428112,0.753268556
fadN; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],-3.979608981,-3.615999221,-4.364278097,-0.851679813,1.500933137,-0.528338126,0.226562555,0.050946943,0.8247735,0.048965937,0.755893676
"E3.1.26.4A, RNASEH1, rnhA; ribonuclease HI [EC:3.1.26.4]",3.826010686,3.754700774,3.925869555,0.180593159,0.30808329,0.53672593,0.252275729,0.050381074,0.843778583,0.042563506,0.757308191
CLTC; clathrin heavy chain,-5.239428478,-4.204915048,-6.015679268,-2.209887178,3.45281323,-0.581464067,0.235677135,0.09475039,0.842109835,0.04504304,0.75822836
E1.6.99.3; NADH dehydrogenase [EC:1.6.99.3],-1.346640851,-1.067404037,-1.656725683,-0.748304618,1.137227291,-0.641664206,0.250975339,0.025031511,0.764499951,0.044839193,0.758416159
"PCCA, pccA; propionyl-CoA carboxylase alpha chain [EC:6.4.1.3]",-3.000151544,-2.639784067,-3.268971793,-0.593732285,0.931542345,-0.597209009,0.240572222,0.044521327,0.804687758,0.051923051,0.75880492
"E2.7.1.107, DGK, dgkA; diacylglycerol kinase (ATP dependent) [EC:2.7.1.107]",-0.420368584,-0.59441977,-0.241009121,0.518849648,0.978157186,0.459608952,0.24218755,0.063886033,0.882392307,0.045837968,0.75910612
E1.4.1.16; diaminopimelate dehydrogenase [EC:1.4.1.16],2.497115456,2.689640597,2.273909279,-0.403606935,0.76361798,-0.566252422,0.253576119,0.056473012,0.868524001,0.044068059,0.7597082
MDH2; malate dehydrogenase [EC:1.1.1.37],-3.308136147,-3.835504696,-2.850966879,1.65109981,2.556371779,0.652008216,0.248697964,0.020051043,0.752232049,0.042376843,0.760490582
pntA; NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2],2.174240686,1.845349203,2.342036743,0.547692792,0.913577067,0.602911648,0.253906296,0.062855972,0.892200715,0.044257409,0.762487751
"hpaF, hpcD; 5-carboxymethyl-2-hydroxymuconate isomerase [EC:5.3.3.10]",-3.904235709,-3.276712673,-4.809286783,-1.355421151,2.154634697,-0.53720461,0.243173001,0.187623276,0.934530368,0.046228911,0.7635648
"cssS; two-component system, OmpR family, sensor histidine kinase CssS [EC:2.7.13.3]",-5.319374279,-4.135601166,-5.954687363,-2.449465496,3.562991658,-0.602283557,0.250000047,0.029898223,0.778423716,0.04889943,0.764157244
ptb; phosphate butyryltransferase [EC:2.3.1.19],2.293452329,2.529462222,1.825879564,-0.748928897,1.124722581,-0.645685978,0.252275729,0.029363853,0.768643036,0.04447766,0.764224431
bioA; adenosylmethionine-8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62],2.929148365,2.793103709,3.202351506,0.350370968,0.538673677,0.559407297,0.254876508,0.090519213,0.954109433,0.047537337,0.769128951
"kinE; two-component system, sporulation sensor kinase E [EC:2.7.13.3]",-4.73172404,-5.455015645,-4.007538467,1.894236454,3.16356121,0.512293938,0.25130213,0.122308183,0.89155171,0.049432724,0.772019866
E4.6.1.1; adenylate cyclase [EC:4.6.1.1],2.797794556,2.662378381,3.297006396,0.761278493,1.148333243,0.599687426,0.256510462,0.028737848,0.768397847,0.048301768,0.773671824
rbsC; ribose transport system permease protein,3.382210741,3.210983271,3.490497975,0.23966056,0.545935186,0.439854186,0.253576119,0.062410523,0.888246195,0.050104317,0.776615268
THI6; thiamine-phosphate diphosphorylase / hydroxyethylthiazole kinase [EC:2.5.1.3 2.7.1.50],-3.282370443,-3.756687288,-2.898532305,0.865966082,1.345035994,0.564323581,0.250000047,0.120288409,0.942775282,0.058195954,0.777823472
"E4.1.1.17, ODC1, speC, speF; ornithine decarboxylase [EC:4.1.1.17]",0.269423478,-0.116938483,0.882736484,0.978929958,1.831791914,0.510421947,0.265279626,0.034004781,0.782672351,0.049285809,0.778625952
"RP-L19e, RPL19; large subunit ribosomal protein L19e",-4.117987116,-3.560350679,-4.495732612,-1.042982111,1.695070976,-0.56233908,0.271781575,0.042172912,0.80968797,0.061057134,0.779088878
RYR1; ryanodine receptor 1,-6.252880443,-5.723580842,-6.930241604,-1.270661663,2.181394316,-0.463158052,0.261378457,0.085169299,0.843231699,0.099628561,0.781535772
ispA; farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10],1.118770797,0.858802964,1.557435143,0.750524361,0.921371311,0.755082672,0.255208379,0.024022788,0.754813557,0.051937838,0.783000648
E2.7.3.3; arginine kinase [EC:2.7.3.3],-2.382529582,-2.001315351,-2.602856096,-0.599102373,1.003233476,-0.502162376,0.260416711,0.046201372,0.822373766,0.059767274,0.783435383
aroKB; shikimate kinase / 3-dehydroquinate synthase [EC:2.7.1.71 4.2.3.4],-0.15726572,0.2464711,-0.346248946,-0.570875217,0.906409956,-0.606409014,0.256176898,0.034718848,0.791493504,0.052141477,0.783577672
plsB; glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15],-0.699426928,-1.42900374,-0.201322789,1.316608652,2.444632658,0.518649172,0.261718794,0.043917594,0.821041719,0.051030964,0.786727833
lptF; lipopolysaccharide export system permease protein,-2.85239011,-3.723535817,-2.240193814,1.447889911,2.463881013,0.566901821,0.267880406,0.043436269,0.814724188,0.055264794,0.788579601
"ATP2B; Ca2+ transporting ATPase, plasma membrane [EC:3.6.3.8]",-4.915449819,-4.319126783,-5.410628442,-1.195102466,1.97008805,-0.553317294,0.256176898,0.050768346,0.825778638,0.060832994,0.788983298
"E4.1.3.30, prpB; methylisocitrate lyase [EC:4.1.3.30]",-4.603813928,-4.216391935,-5.004851044,-0.972820791,1.793537809,-0.465106772,0.260078067,0.054120823,0.829194743,0.078457347,0.789570263
dhbF; nonribosomal peptide synthetase DhbF,-4.290426449,-4.630129714,-3.913905951,0.757001208,1.354233775,0.496265497,0.259114628,0.182941117,0.913444007,0.082186185,0.792636387
dppD; dipeptide transport system ATP-binding protein,-0.794753683,-1.088739132,-0.398457472,0.659181512,1.264684498,0.519759362,0.274382355,0.050142135,0.836242013,0.0572906,0.794136231
"pssA, CHO1; phosphatidylserine synthase [EC:2.7.8.8]",2.205482095,2.082981615,2.324896805,0.348891139,0.560787167,0.556921656,0.256176898,0.09869709,0.971879,0.055434787,0.795319553
nudE; ADP-ribose diphosphatase [EC:3.6.1.-],-3.190181794,-4.013420548,-2.657550671,1.398679862,2.31033667,0.536984013,0.253906296,0.038780741,0.804546897,0.057784296,0.796543054
mqo; malate dehydrogenase (quinone) [EC:1.1.5.4],-4.141072666,-3.790815537,-4.544470674,-0.892784562,1.672605577,-0.411430489,0.266927125,0.06468351,0.856478397,0.081595994,0.799343262
PAK1; p21-activated kinase 1 [EC:2.7.11.1],-5.798095525,-4.917475662,-6.59195749,-1.729927902,2.890211716,-0.570992478,0.253906296,0.070555418,0.855459187,0.071030469,0.799466675
purU; formyltetrahydrofolate deformylase [EC:3.5.1.10],0.030075566,-0.555491907,0.357601659,0.806456117,1.338506901,0.5760315,0.273081965,0.044612743,0.826727694,0.058636133,0.801657909
frdB; fumarate reductase iron-sulfur subunit [EC:1.3.99.1],-1.144229546,-1.748122765,-0.798859199,1.114332387,1.920163079,0.618403391,0.261378457,0.032213764,0.77895152,0.059280089,0.802397238
"cikA; two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]",-3.830278156,-3.408981916,-4.130279136,-0.747899857,1.306716617,-0.497633372,0.270833374,0.090396658,0.876391914,0.085912377,0.802825318
ABC.CYST.A; cystine transport system ATP-binding protein [EC:3.6.3.-],0.393045501,0.069752196,0.589385848,0.420919151,0.773130335,0.427993275,0.270481185,0.183911438,0.996250793,0.060159303,0.803489554
"PTS-Glc-EIIB, ptsG; PTS system, glucose-specific IIB component [EC:2.7.1.69]",0.108527616,0.422262335,-0.049843477,-0.411631688,0.689928601,-0.417813214,0.261718794,0.527721554,0.99694338,0.06506794,0.811493858
"PPOX, hemY; oxygen-dependent protoporphyrinogen oxidase [EC:1.3.3.4]",-3.332728745,-2.9269982,-4.138873618,-1.268493069,2.39399705,-0.501859368,0.262678847,0.071164207,0.890442275,0.067386067,0.81300746
argA; amino-acid N-acetyltransferase [EC:2.3.1.1],-0.04746216,-0.237311251,0.104699959,0.421931189,0.836336584,0.410371853,0.262678847,0.046473168,0.830484882,0.06624415,0.814053255
"aroDE, DHQ-SDH; 3-dehydroquinate dehydratase / shikimate dehydrogenase [EC:4.2.1.10 1.1.1.25]",-4.35749526,-3.381131207,-4.811347995,-1.344635714,2.363209962,-0.536598322,0.273081965,0.048852478,0.824254676,0.071431472,0.815346717
glyQ; glycyl-tRNA synthetase alpha chain [EC:6.1.1.14],2.239632485,1.820899108,2.492014692,0.458172098,0.781268168,0.46088545,0.27343754,0.205993738,0.996934487,0.063266448,0.817603281
flgI; flagellar P-ring protein precursor FlgI,1.712698824,1.612095212,1.910568503,0.414440272,0.687802643,0.561582198,0.271781575,0.039337857,0.80390327,0.064942537,0.821250875
pduQ; 1-propanol dehydrogenase,-1.574903859,-1.256661015,-1.823502281,-0.527854908,0.912892482,-0.569692325,0.277343789,0.06373366,0.865397249,0.075027176,0.822642132
cimA; D-citramalate synthase [EC:2.3.1.182],1.299820006,1.726194067,1.081507111,-0.620768895,1.043147814,-0.587546274,0.269531291,0.047985196,0.83713677,0.065204986,0.824376789
"porA; pyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.1]",2.828551497,2.969646655,2.498890542,-0.438967168,0.756809957,-0.512074173,0.268229208,0.102353062,0.978034135,0.063863544,0.82637451
"G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49]",-0.019131068,0.420567772,-0.448518435,-0.769195819,1.589665567,-0.432125678,0.272135457,0.196317272,0.99694338,0.068264299,0.828277517
GMPP; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13],0.976102281,1.212876543,0.867286525,-0.351718269,0.559623256,-0.590835499,0.275682744,0.045821609,0.824517244,0.070878417,0.829118177
pchF; pyochelin synthetase,-2.279077826,-2.583918548,-1.871419473,0.69860289,1.233945907,0.531366156,0.273081965,0.118178673,0.94997796,0.079117818,0.830076011
"DNAH; dynein heavy chain, axonemal",-3.659839844,-2.523021073,-4.6515219,-1.976710171,3.725652478,-0.446538808,0.27343754,0.136329878,0.945430404,0.069906921,0.83276768
"E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]",-0.612657503,-0.148319738,-0.945307037,-0.844542261,1.710362683,-0.449161502,0.274739623,0.152053193,0.994765029,0.069940468,0.833012418
frdD; fumarate reductase subunit D,-4.610836038,-5.322024431,-3.739962624,1.718740921,3.201754328,0.465187974,0.272135457,0.129307454,0.918022347,0.075042384,0.833748543
fucK; L-fuculokinase [EC:2.7.1.51],0.207886305,0.039906793,0.412460407,0.374134948,0.705142484,0.46219424,0.275682744,0.059271515,0.870592521,0.077575308,0.834188479
"femX, fmhB; peptidoglycan pentaglycine glycine transferase (the first glycine) [EC:2.3.2.16]",-3.793688237,-4.183969051,-3.455884999,0.993733114,2.219472622,0.449119349,0.282184693,0.056186073,0.852281888,0.088161397,0.835008037
"PTS-Nag-EIIB, nagE; PTS system, N-acetylglucosamine-specific IIB component [EC:2.7.1.69]",0.899047765,1.040954611,0.793196584,-0.37923755,0.698551144,-0.481573992,0.278645872,0.172505372,0.994177523,0.077391684,0.837991973
pntB; NAD(P) transhydrogenase subunit beta [EC:1.6.1.2],1.767185657,1.538942417,1.994570215,0.483616553,0.974522775,0.48000301,0.282184693,0.131195681,0.994481519,0.069751795,0.838640786
acfD; accessory colonization factor AcfD,-3.841019671,-4.294896275,-3.313348812,0.893803911,1.574447815,0.467524449,0.278645872,0.176876725,0.965284595,0.09449831,0.839679994
"E1.17.1.2, lytB, ispH; 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [EC:1.17.1.2]",4.268001548,4.300181449,4.166313531,-0.128909793,0.237761109,-0.542552053,0.276041706,0.070088037,0.901965009,0.075086627,0.84252879
cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4],1.005844717,1.516261099,0.687440739,-0.733614991,1.279149954,-0.545131278,0.281250038,0.083543239,0.945440142,0.07253608,0.843281632
"degP, htrA; serine protease Do [EC:3.4.21.107]",-0.761401456,-1.004888581,-0.445771563,0.595975181,1.297360387,0.499255176,0.272135457,0.059055503,0.871072707,0.081585929,0.849075635
cheX; chemotaxis protein CheX,-0.217466652,-0.54995232,0.266415164,0.834675105,1.844643451,0.424980094,0.272135457,0.073939664,0.92310823,0.077005641,0.850080987
"E2.6.1.1B, aspC; aspartate aminotransferase [EC:2.6.1.1]",-2.614065932,-3.394498441,-2.143705032,1.42560917,2.677030001,0.524907391,0.274382355,0.055731578,0.861493574,0.078452297,0.851595052
"mtnE, mtnV; aminotransferase [EC:2.6.1.-]",-2.575480051,-1.550088816,-3.152124815,-1.452409512,2.295097415,-0.55916332,0.282552121,0.129695586,0.969358982,0.077969522,0.851725018
glxK; glycerate kinase [EC:2.7.1.31],2.748885344,2.628810058,2.866845649,0.228320986,0.451208987,0.507847974,0.277343789,0.095049843,0.962510453,0.079720155,0.852521995
E1.1.1.65; pyridoxine 4-dehydrogenase [EC:1.1.1.65],-6.754293777,-7.302985851,-6.052662934,1.246358607,2.754654543,0.397296887,0.298177117,0.198152443,0.900418281,0.159629884,0.854244459
"E2.1.1.37, DNMT, dcm; DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37]",5.723408279,5.588811148,5.854825679,0.256600496,0.685829264,0.325796019,0.280884303,0.130854138,0.995969357,0.075994743,0.855578026
"porD; pyruvate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.1]",-0.393426427,-0.255736711,-0.566511553,-0.299572817,0.599617617,-0.448367638,0.287386252,0.069023402,0.876489063,0.103808476,0.855893365
