PATHWAY_SORTORDER,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID,PLATFORM,CHEMICAL_ID,RI,MASS,CAS,PUBCHEM,CHEMSPIDER,KEGG,HMDB_ID
2367,1-oleoyl-GPE (18:1),Lipid,Lysophospholipid,35628,LC/MS Pos Late,100001569,1554,480.30847,89576-29-4,9547071,7826021,,HMDB11506
2406,1-oleoyl-GPG (18:1)*,Lipid,Lysophospholipid,45968,LC/MS Neg,100005716,5610,509.28849,,,34999689,,
2541,1-palmitoleoylglycerol (16:1)*,Lipid,Monoacylglycerol,52431,LC/MS Neg,100008952,6094,253.21727,,,,,HMDB11565
2027,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),Lipid,Phosphatidylcholine (PC),52462,LC/MS Pos Late,100008914,2091,782.56944,35418-58-7,10747814,8923140,,HMDB07982
2138,1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,Lipid,Phosphatidylethanolamine (PE),52464,LC/MS Pos Late,100008990,2198,740.52248,,9546800,7825750,,HMDB05323
2033,1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6),Lipid,Phosphatidylcholine (PC),52610,LC/MS Pos Late,100008915,2023,806.56944,59403-54-2,6441886,4946007,,HMDB07991
2658,1-palmitoyl-2-linoleoyl-galactosylglycerol (16:0/18:2)*,Lipid,Galactosyl Glycerolipids,54901,LC/MS Pos Late,100010893,2731,772.59333,,,23326991,,
2016,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),Lipid,Phosphatidylcholine (PC),42446,LC/MS Pos Late,1537,2160,758.56944,40811-94-7,5287971,4450224,,HMDB07973
2135,1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),Lipid,Phosphatidylethanolamine (PE),42449,LC/MS Pos Late,100001870,2275,716.52248,,9546747,7825697,,HMDB05322
2249,1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),Lipid,Phosphatidylinositol (PI),52450,LC/MS Polar,1528,910,833.51845,,,21403024,,HMDB09784
2199,1-palmitoyl-2-oleoyl-glycosyl-GPE (16:0/18:1)**,Lipid,Glycosyl PE,63200,LC/MS Pos Late,100021389,2512,880.59096,,,,,
2013,1-palmitoyl-2-oleoyl-GPC (16:0/18:1),Lipid,Phosphatidylcholine (PC),52461,LC/MS Pos Late,1539,2358,760.58509,26853-31-6;26853-31-6,6436017,4940699,,HMDB07972
2133,1-palmitoyl-2-oleoyl-GPE (16:0/18:1),Lipid,Phosphatidylethanolamine (PE),19263,LC/MS Pos Late,1526,2509,718.53813,26662-94-2,5283496,4446615,,HMDB05320
2233,1-palmitoyl-2-oleoyl-GPG (16:0/18:1),Lipid,Phosphatidylglycerol (PG),52448,LC/MS Polar,100000641,745,747.51853,,5283509,4446626,,
2247,1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*,Lipid,Phosphatidylinositol (PI),52669,LC/MS Polar,100009066,893,835.5342,,,24767668,,HMDB09783
2010,1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,Lipid,Phosphatidylcholine (PC),52470,LC/MS Pos Late,100008984,2160,732.55378,,,,,HMDB07969
2011,1-palmitoyl-2-stearoyl-GPC (16:0/18:0),Lipid,Phosphatidylcholine (PC),52616,LC/MS Pos Late,100008921,2653,762.60074,59403-51-9,,24766643,,HMDB07970
2677,1-palmitoyl-galactosylglycerol (16:0)*,Lipid,Galactosyl Glycerolipids,62372,LC/MS Neg,100010885,6161,491.32255,,10413348,8588782,,
2289,1-palmitoyl-GPA (16:0),Lipid,Lysophospholipid,34428,LC/MS Neg,100001445,5600,409.23606,17618-08-5,6419701,4925335,C04036,HMDB00327
2304,1-palmitoyl-GPC (16:0),Lipid,Lysophospholipid,33955,LC/MS Pos Late,100001263,1525,496.33977,17364-16-8,86554,78064,,HMDB10382
2358,1-palmitoyl-GPE (16:0),Lipid,Lysophospholipid,35631,LC/MS Pos Late,100001567,1544,454.29282,53862-35-4,9547069,7826019,,HMDB11503
2402,1-palmitoyl-GPG (16:0)*,Lipid,Lysophospholipid,45970,LC/MS Neg,100005717,5570,483.27284,,3300276,2548639,,
2409,1-palmitoyl-GPI (16:0),Lipid,Lysophospholipid,35305,LC/MS Neg,100001655,5564,571.28888,,,,,HMDB61695
2395,1-palmitoyl-GPS (16:0)*,Lipid,Lysophospholipid,46130,LC/MS Neg,100005805,5572,496.26809,,9547100,7826050,,
2540,1-palmitoylglycerol (16:0),Lipid,Monoacylglycerol,21127,LC/MS Neg,100000827,6550,255.23293,542-44-9,14900,14201,,HMDB31074
2539,1-pentadecanoylglycerol (15:0),Lipid,Monoacylglycerol,47898,LC/MS Neg,100001431,6200,241.21728,104140-07-0,190750,165667,,
2061,1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),Lipid,Phosphatidylcholine (PC),42450,LC/MS Pos Late,100001869,2300,810.60074,35418-59-8,16219824,17347139,,HMDB08048
2155,1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),Lipid,Phosphatidylethanolamine (PE),52447,LC/MS Pos Late,100008977,2424,768.55378,,5289133,4451158,,HMDB09003
2067,1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),Lipid,Phosphatidylcholine (PC),52611,LC/MS Pos Late,100008916,2197,834.60128,59403-52-0,,,,HMDB08057
2053,1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,Lipid,Phosphatidylcholine (PC),52452,LC/MS Pos Late,100008980,2380,786.60074,,,,,HMDB08039
2150,1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,Lipid,Phosphatidylethanolamine (PE),52446,LC/MS Pos Late,100008976,2522,744.55378,,9546749,7825699,,HMDB08994
2050,1-stearoyl-2-oleoyl-GPC (18:0/18:1),Lipid,Phosphatidylcholine (PC),52438,LC/MS Pos Late,100008904,2644,788.61639,56421-10-4,,24766704,,HMDB08038
2147,1-stearoyl-2-oleoyl-GPE (18:0/18:1),Lipid,Phosphatidylethanolamine (PE),42448,LC/MS Pos Late,100001856,2858,746.56944,,,,,HMDB08993
2291,1-stearoyl-GPA (18:0),Lipid,Lysophospholipid,36810,LC/MS Neg,100001670,5829,437.26736,325465-92-7;799268-65-8,89567,80837,,
2313,1-stearoyl-GPC (18:0),Lipid,Lysophospholipid,33961,LC/MS Pos Late,100001271,1606,524.37107,19420-57-6,497299,435389,,HMDB10384
2365,1-stearoyl-GPE (18:0),Lipid,Lysophospholipid,42398,LC/MS Pos Late,100001461,1626,482.32412,69747-55-3,9547068,7826018,,HMDB11130
2404,1-stearoyl-GPG (18:0),Lipid,Lysophospholipid,34437,LC/MS Neg,100001462,5816,511.30414,,,21403138,,
2412,1-stearoyl-GPI (18:0),Lipid,Lysophospholipid,19324,LC/MS Neg,100000656,5794,599.32018,796963-93-4,,21403067,,HMDB61696
2396,1-stearoyl-GPS (18:0)*,Lipid,Lysophospholipid,45966,LC/MS Neg,100004327,5800,524.29939,,9547101,7826051,,
1356,10-heptadecenoate (17:1n7),Lipid,Long Chain Monounsaturated Fatty Acid,33971,LC/MS Neg,100001278,5555,267.23295,29743-97-3,5312435,4471860,,HMDB60038
1774,10-hydroxystearate,Lipid,"Fatty Acid, Monohydroxy",47123,LC/MS Neg,100005852,5370,299.25917,,9561835,7838048,,HMDB37396
1788,"12,13-DiHOME",Lipid,"Fatty Acid, Dihydroxy",38395,LC/MS Neg,62,5137,313.23843,263399-35-5,10236635,8412123,C14829,HMDB04705
3146,12-dehydrocholate,Lipid,Secondary Bile Acid Metabolism,44644,LC/MS Neg,100001072,4871,405.26464,2458-08-4;2458-08-4,94235,85044,,HMDB00400
3111,12-ketolithocholate,Lipid,Secondary Bile Acid Metabolism,63118,LC/MS Neg,100020859,5130,389.26973,5130-29-0,3080612,2338365,,HMDB00328
1759,16-hydroxypalmitate,Lipid,"Fatty Acid, Monohydroxy",39609,LC/MS Neg,100002953,5236.2,271.22786,506-13-8,10466,10034,C18218,HMDB06294
3774,2'-deoxyadenosine,Nucleotide,"Purine Metabolism, Adenine containing",1553,LC/MS Pos Early,211,2252,252.10912,16373-93-6,13730,13135,C00559,HMDB00101
3772,2'-deoxyadenosine 5'-monophosphate,Nucleotide,"Purine Metabolism, Adenine containing",46333,LC/MS Pos Early,100000485,1284,332.07545,653-63-4,12599,601,C00360,HMDB00905
3862,2'-deoxycytidine,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",15949,LC/MS Pos Early,100000125,2193,228.09789,951-77-9,13711,13117,C00881,HMDB00014
3860,2'-deoxycytidine 5'-monophosphate,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",533,LC/MS Pos Early,298,975,308.06422,1032-65-1,13945,5414501,C00239,HMDB01202
3804,2'-deoxyguanosine,Nucleotide,"Purine Metabolism, Guanine containing",1411,LC/MS Neg,348,1700,266.08948,961-07-9,187790,163230,C00330,HMDB00085
3802,2'-deoxyguanosine 5'-monophosphate (dGMP),Nucleotide,"Purine Metabolism, Guanine containing",35662,LC/MS Pos Early,100001546,950,348.07036,902-04-5,65059,625,C00362,HMDB01044
3735,2'-deoxyinosine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",15076,LC/MS Neg,100000135,1688,251.07857,890-38-0,65058,58569,C05512,HMDB00071
3837,2'-deoxyuridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",52602,LC/MS Neg,536,1586,227.0673,951-78-0,13712,13118,C00526,HMDB00012
3863,2'-O-methylcytidine,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",57554,LC/MS Pos Early,100010895,2411,258.10845,2140-72-9,150971,133067,,
3825,2'-O-methyluridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",57655,LC/MS Neg,100010896,1831,257.07791,2140-76-3,102212,92343,,
365,"2,3-dihydroxy-2-methylbutyrate",Amino Acid,"Leucine, Isoleucine and Valine Metabolism",57547,LC/MS Polar,100010869,1318,133.05063,14868-24-7,301941,266858,,HMDB29576
4253,"2,3-dihydroxyisovalerate",Xenobiotics,Food Component/Plant,38276,LC/MS Polar,100002417,1050,133.05063,1756-18-9,677,657,C04039,HMDB12141
351,"2,3-dimethylsuccinate",Amino Acid,"Leucine, Isoleucine and Valine Metabolism",20703,LC/MS Polar,100000849,2800,145.05063,13545-04-5,11848,11355,,
1794,"2,4-dihydroxybutyrate",Lipid,"Fatty Acid, Dihydroxy",62951,LC/MS Polar,100002285,1793,119.03498,1518-62-3,192742,167259,,HMDB00360
5108,"2,6-dihydroxybenzoic acid",Xenobiotics,Drug - Topical Agents,63042,LC/MS Polar,100020837,729,153.01933,303-07-1,9338,8974,,HMDB13676
4257,"2,8-quinolinediol",Xenobiotics,Food Component/Plant,42975,LC/MS Pos Early,100004206,2514,162.05496,15450-76-7,97250,87777,C06342,
4258,"2,8-quinolinediol sulfate",Xenobiotics,Food Component/Plant,48691,LC/MS Neg,100004321,2612,239.99721,,,,,
4127,2-(4-hydroxyphenyl)propionate,Xenobiotics,Benzoate Metabolism,35632,LC/MS Neg,100001622,1797.3,165.05571,938-96-5,102526,92601,C03080,HMDB41683
4748,2-acetamidophenol sulfate,Xenobiotics,"Drug - Analgesics, Anesthetics",48580,LC/MS Neg,100006190,2251,230.01286,40712-60-5,181671,158023,,
499,2-aminobutyrate,Amino Acid,Glutathione Metabolism,42374,LC/MS Pos Early,1128,2059,104.07061,1492-24-6,439691,388757,C02261,HMDB00650
1571,2-aminoheptanoate,Lipid,"Fatty Acid, Amino",43761,LC/MS Pos Early,100004542,3160,146.11756,1115-90-8,227939,198338,,
283,2-aminophenol,Amino Acid,Tryptophan Metabolism,38109,LC/MS Pos Early,100002382,2644,110.06004,95-55-6,5801,5596,C01987,
5207,2-aminophenol sulfate,Xenobiotics,Chemical,43266,LC/MS Neg,100004322,1677,188.0023,,181670,158022,,HMDB61116
336,2-hydroxy-3-methylvalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",36746,LC/MS Neg,100001541,1800,131.07136,488-15-3,164623,144317,,HMDB00317
384,2-hydroxy-4-(methylthio)butanoic acid,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",63739,LC/MS Polar,100021372,1065,149.02778,583-91-5,,,,
1488,2-hydroxyadipate,Lipid,"Fatty Acid, Dicarboxylate",31934,LC/MS Polar,100001153,3000,161.04554,18294-85-4,193530,167943,C02360,HMDB00321
1732,2-hydroxyarachidate*,Lipid,"Fatty Acid, Monohydroxy",61700,LC/MS Neg,100019892,5990,327.29047,,5225199,4395406,,
1733,2-hydroxybehenate,Lipid,"Fatty Acid, Monohydroxy",57663,LC/MS Neg,100015637,6384,355.32177,,193484,167899,,
501,2-hydroxybutyrate/2-hydroxyisobutyrate,Amino Acid,Glutathione Metabolism,52281,LC/MS Polar,100008928,1258,103.04006,,,,,
1726,2-hydroxydecanoate,Lipid,"Fatty Acid, Monohydroxy",42489,LC/MS Neg,100004089,4840,187.13396,5393-81-7,21488,20195,,
1484,2-hydroxyglutarate,Lipid,"Fatty Acid, Dicarboxylate",37253,LC/MS Polar,100002070,3352.8,147.02989,40951-21-1,43,42,C02630,HMDB0059655
1724,2-hydroxyheptanoate*,Lipid,"Fatty Acid, Monohydroxy",61827,LC/MS Polar,100019960,925,145.08701,,2750949,2032206,,
4041,2-hydroxyhippurate (salicylurate),Xenobiotics,Benzoate Metabolism,18281,LC/MS Neg,1869,2184,194.04588,487-54-7,10253,9835,C07588,HMDB00840
1727,2-hydroxylaurate,Lipid,"Fatty Acid, Monohydroxy",52916,LC/MS Neg,100008934,5211,215.16526,2984-55-6,97783,88259,,
1734,2-hydroxylignocerate*,Lipid,"Fatty Acid, Monohydroxy",61699,LC/MS Neg,100019894,6805,383.35307,,102430,92507,C17873,HMDB39540
1728,2-hydroxymyristate,Lipid,"Fatty Acid, Monohydroxy",32413,LC/MS Neg,100001180,5364,243.19656,2507-55-3,1563,1508,C13790,HMDB02261
1735,2-hydroxynervonate*,Lipid,"Fatty Acid, Monohydroxy",61698,LC/MS Neg,100015638,6345,381.33742,,5312783,4472208,,
1729,2-hydroxypalmitate,Lipid,"Fatty Acid, Monohydroxy",35675,LC/MS Neg,100001579,5511.2,271.22786,764-67-0,92836,83805,,HMDB31057
4252,2-hydroxyquinoline,Xenobiotics,Food Component/Plant,40464,LC/MS Pos Early,100002385,2680,146.06004,59-31-4,6038,5816,C06415,
1530,2-hydroxysebacate,Lipid,"Fatty Acid, Dicarboxylate",63357,LC/MS Polar,100020378,2358,217.10814,103963-71-9,128458,113866,,HMDB00424
1731,2-hydroxystearate,Lipid,"Fatty Acid, Monohydroxy",17945,LC/MS Neg,1239,5695,299.25917,629-22-1,69417,62625,C03045,
4261,2-isopropylmalate,Xenobiotics,Food Component/Plant,15667,LC/MS Polar,100000409,2605,175.06119,3237-44-3,77,76,C02504,HMDB00402
4582,2-keto-3-deoxy-gluconate,Xenobiotics,Food Component/Plant,48141,LC/MS Polar,100005946,1900,177.04046,17510-99-5,161227,141630,C00204,HMDB01353
2560,2-linoleoylglycerol (18:2),Lipid,Monoacylglycerol,32506,LC/MS Neg,100000987,6250,279.23293,3443-82-1,5365676,4517636,,HMDB11538
340,2-methylbutyrylglycine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",31928,LC/MS Neg,100001155,1884,158.08226,52320-67-9,193872,168243,,HMDB00339
1301,2-methylcitrate/homocitrate,Energy,TCA Cycle,52282,LC/MS Neg,100008929,575,205.03538,,,,,
2555,2-myristoylglycerol (14:0),Lipid,Monoacylglycerol,34383,LC/MS Neg,100001408,6230,227.20163,27214-38-6,137938,121585,,HMDB11530
4262,2-oxindole-3-acetate,Xenobiotics,Food Component/Plant,40479,LC/MS Neg,100003109,2076,190.05096,2971-31-5,3080590,2338343,,HMDB35514
421,2-oxoarginine*,Amino Acid,Urea cycle; Arginine and Proline Metabolism,55072,LC/MS Pos Early,100002784,1760,174.08732,663193,558,542,C03771,HMDB04225
2557,2-palmitoleoylglycerol (16:1)*,Lipid,Monoacylglycerol,52432,LC/MS Neg,100008953,6016,253.21727,,,,,HMDB11565
2305,2-palmitoyl-GPC (16:0)*,Lipid,Lysophospholipid,35253,LC/MS Neg,100001562,6215,570.34125,,15061532,21403165,,HMDB61702
2556,2-palmitoylglycerol (16:0),Lipid,Monoacylglycerol,33419,LC/MS Neg,100001048,6400,255.23293,23470-00-0,123409,110006,,HMDB11533
4264,2-pyrrolidineacetic acid,Xenobiotics,Food Component/Plant,63269,LC/MS Pos Early,100006441,2248,130.08626,56879-46-0,123784,110335,,
2366,2-stearoyl-GPE (18:0)*,Lipid,Lysophospholipid,41220,LC/MS Neg,100003901,6350,480.30956,,,24769218,,HMDB11129
1792,"2R,3R-dihydroxybutyrate",Lipid,"Fatty Acid, Dihydroxy",63109,LC/MS Polar,100002367,1543,119.03498,759-06-8,,17215960,,HMDB00498
1791,"2S,3R-dihydroxybutyrate",Lipid,"Fatty Acid, Dihydroxy",62950,LC/MS Polar,100002284,1660,119.03498,5057-93-2,10964471,9139682,,HMDB02453
1795,"3,4-dihydroxybutyrate",Lipid,"Fatty Acid, Dihydroxy",62952,LC/MS Polar,100001730,2204,119.03498,51267-44-8,,,,
4272,"3,5-dihydroxyphenylpropionate",Xenobiotics,Food Component/Plant,63342,LC/MS Neg,100021256,1385,181.05063,26539-01-5,161525,141878,,
4103,3-(2-hydroxyphenyl)propionate,Xenobiotics,Benzoate Metabolism,35634,LC/MS Neg,100001623,2530,165.05571,495-78-3,873,850,C01198,HMDB33752
4128,3-(3-hydroxyphenyl)propionate,Xenobiotics,Benzoate Metabolism,35635,LC/MS Neg,100001624,1980,165.05571,621-54-5,91,89,C11457,HMDB00375
167,3-(4-hydroxyphenyl)lactate,Amino Acid,Tyrosine Metabolism,32197,LC/MS Neg,240,1379,181.05063,6482-98-0,9378,9010,C03672,HMDB00755
4129,3-(4-hydroxyphenyl)propionate,Xenobiotics,Benzoate Metabolism,39587,LC/MS Neg,100002914,1670,165.05571,501-97-3,10394,9965,C01744,HMDB02199
419,3-amino-2-piperidone,Amino Acid,Urea cycle; Arginine and Proline Metabolism,62853,LC/MS Pos Early,100020361,2065,115.08659,1892-22-4,5200225,4371576,,HMDB00323
3879,3-aminoisobutyrate,Nucleotide,"Pyrimidine Metabolism, Thymine containing",1566,LC/MS Pos Early,1114,2190,104.07061,10569-72-9;214139-20-5,64956,58481,C05145,HMDB03911
1487,3-carboxyadipate,Lipid,"Fatty Acid, Dicarboxylate",54723,LC/MS Neg,100009325,571,189.04046,923-42-2,222467,193135,,
3145,3-dehydrocholate,Lipid,Secondary Bile Acid Metabolism,43835,LC/MS Neg,100001062,5050,405.26464,2304-89-4,159655,140376,,HMDB00502
3103,3-dehydrodeoxycholate,Lipid,Secondary Bile Acid Metabolism,63119,LC/MS Neg,100020860,5235,389.26973,834588,160738,141233,,HMDB62742
4216,3-dehydroshikimate,Xenobiotics,Food Component/Plant,36764,LC/MS Polar,100001679,1962,171.02989,2922-42-1,80,79,C02637,
4669,3-deoxyoctulosonate,Xenobiotics,Bacterial/Fungal,43805,LC/MS Neg,100000095,654.9,237.06159,103404-70-2,4636210,3826376,,
4266,3-formylindole,Xenobiotics,Food Component/Plant,62863,LC/MS Neg,100020219,3709,144.04548,,10256,9838,C08493,HMDB29737
