PATHWAY_SORTORDER,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID,PLATFORM,CHEMICAL_ID,RI,MASS,CAS,PUBCHEM,CHEMSPIDER,KEGG,HMDB_ID,P_value,qvalues,abs(fold_change),fold_change,getVipVn.caecum_mixture.oplsda.
2536,glycerophosphoglycerol,Lipid,Glycerolipid Metabolism,48857,LC/MS Polar,100001619,2430,245.04317,NA,439964,388990,C03274,NA,0.041588117,0.547944147,0.547452181,-3.653287119,2.118474163
3807,N-carbamoylaspartate,Nucleotide,"Pyrimidine Metabolism, Orotate containing",1594,LC/MS Polar,1108,3800,175.03604,923-37-5,93072,4573859,C00438,HMDB00828,0.020507743,0.49381329,1.711664157,1.711664157,2.098495481
1518,heptadecanedioate (C17-DC),Lipid,"Fatty Acid, Dicarboxylate",62869,LC/MS Neg,100019969,4869,299.22278,2424-90-0,3083765,2340922,NA,NA,0.087467362,0.662966014,1.344487761,1.344487761,2.069220144
2155,1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),Lipid,Phosphatidylethanolamine (PE),52447,LC/MS Pos Late,100008977,2424,768.55378,NA,5289133,4451158,NA,HMDB09003,0.030796149,0.540136006,2.582135226,2.582135226,2.059659667
1326,heptanoate (7:0),Lipid,Medium Chain Fatty Acid,1644,LC/MS Neg,925,3670,129.0921,111-14-8,8094,7803,C17714,HMDB00666,0.008117797,0.468988614,1.561108988,1.561108988,2.058543037
2774,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,Lipid,Dihydrosphingomyelins,52434,LC/MS Pos Late,100008954,2290,705.5905,NA,9939965,8115586,NA,NA,0.022483831,0.501328614,2.702083713,2.702083713,2.057530206
42,glutamate,Amino Acid,Glutamate Metabolism,57,LC/MS Pos Early,561,1500,148.06044,56-86-0,611,591,C00025,HMDB00148,0.072250724,0.647780054,1.275796649,1.275796649,2.026860488
2147,1-stearoyl-2-oleoyl-GPE (18:0/18:1),Lipid,Phosphatidylethanolamine (PE),42448,LC/MS Pos Late,100001856,2858,746.56944,NA,NA,NA,NA,HMDB08993,0.052600771,0.633175302,1.767619774,1.767619774,2.018440684
4528,tartarate,Xenobiotics,Food Component/Plant,15336,LC/MS Neg,100000295,615.3,149.00916,87-69-4;6106-24-7,444305,852,C00898,HMDB00956,0.005426279,0.466949413,0.715493693,-2.795272718,1.991622113
2009,"1,2-dipalmitoyl-GPC (16:0/16:0)",Lipid,Phosphatidylcholine (PC),19130,LC/MS Pos Late,100000657,2365,734.56944,63-89-8,452110,398235,NA,HMDB00564,0.067874646,0.647780054,1.59814614,1.59814614,1.975918707
561,gamma-glutamyltyrosine,Peptide,Gamma-glutamyl Amino Acid,2734,LC/MS Pos Early,1102,2518,311.12377,7432-23-7,94340,85142,NA,HMDB11741,0.016525538,0.468988614,2.103876452,2.103876452,1.970770103
2129,"1,2-dipalmitoyl-GPE (16:0/16:0)*",Lipid,Phosphatidylethanolamine (PE),57341,LC/MS Pos Late,100009204,2498,692.52248,NA,445468,393103,NA,HMDB08923,0.01746195,0.468988614,1.434719416,1.434719416,1.935671807
3729,xanthine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",3147,LC/MS Pos Early,1004,1032,153.04071,69-89-6,1188,1151,C00385,HMDB00292,0.227267221,0.730272339,1.213279391,1.213279391,1.881717657
3876,thymine,Nucleotide,"Pyrimidine Metabolism, Thymine containing",604,LC/MS Neg,882,1654,125.03565,65-71-4,1135,1103,C00178,HMDB00262,0.078234031,0.647780054,1.339992179,1.339992179,1.864499643
2016,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),Lipid,Phosphatidylcholine (PC),42446,LC/MS Pos Late,1537,2160,758.56944,40811-94-7,5287971,4450224,NA,HMDB07973,0.097375067,0.670184419,1.866781808,1.866781808,1.854210762
3728,hypoxanthine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",3127,LC/MS Pos Early,171,1295,137.04579,68-94-0,790,768,C00262,HMDB00157,0.168875433,0.700820765,1.106528804,1.106528804,1.845180148
2689,N-palmitoyl-sphinganine (d18:0/16:0),Lipid,Dihydroceramides,52604,LC/MS Pos Late,100009028,3090,540.53503,5966-29-0,5283572,4446685,NA,HMDB11760,0.107465765,0.670184419,1.388304258,1.388304258,1.845079257
1993,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),Lipid,Phosphatidylcholine (PC),19258,LC/MS Pos Late,100000672,2147,706.53813,69525-80-0,129657,114798,NA,HMDB07869,0.175946778,0.700820765,1.400189398,1.400189398,1.841453746
2061,1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),Lipid,Phosphatidylcholine (PC),42450,LC/MS Pos Late,100001869,2300,810.60074,35418-59-8,16219824,17347139,NA,HMDB08048,0.069619944,0.647780054,5.188573323,5.188573323,1.828848379
553,gamma-glutamylisoleucine*,Peptide,Gamma-glutamyl Amino Acid,34456,LC/MS Pos Early,100001485,2940,261.1445,NA,14253342,21403145,NA,HMDB11170,0.076390422,0.647780054,1.445891375,1.445891375,1.827677805
3752,adenosine,Nucleotide,"Purine Metabolism, Adenine containing",555,LC/MS Pos Early,798,2169,268.10404,58-61-7,60961,54923,C00212,HMDB00050,0.023713787,0.501328614,1.681155177,1.681155177,1.825863466
2011,1-palmitoyl-2-stearoyl-GPC (16:0/18:0),Lipid,Phosphatidylcholine (PC),52616,LC/MS Pos Late,100008921,2653,762.60074,59403-51-9,NA,24766643,NA,HMDB07970,0.074493387,0.647780054,2.364381406,2.364381406,1.815629726
5326,thioproline,Xenobiotics,Chemical,53231,LC/MS Pos Early,100009232,1250,134.02703,34592-47-4,93176,84120,NA,NA,0.013888875,0.468988614,1.951070251,1.951070251,1.813168679
5327,p-toluic acid,Xenobiotics,Chemical,37499,LC/MS Neg,100002056,2463,135.04515,99-94-5,7470,7190,C01454,HMDB29635,0.015063557,0.468988614,1.250469889,1.250469889,1.812671172
344,3-hydroxy-2-ethylpropionate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",32397,LC/MS Neg,100001170,975,117.05571,4374-62-3,188979,164207,NA,HMDB00396,0.001430146,0.247071857,0.521680982,-3.833760613,1.81261233
550,gamma-glutamylglutamine,Peptide,Gamma-glutamyl Amino Acid,2730,LC/MS Pos Early,1140,1430,276.11902,10148-81-9,150914,133013,C05283,HMDB11738,0.016588313,0.468988614,2.864364808,2.864364808,1.796606842
555,gamma-glutamyl-alpha-lysine,Peptide,Gamma-glutamyl Amino Acid,55015,LC/MS Pos Early,100010901,2784,276.1554,NA,65254,58747,NA,NA,0.04850905,0.615889762,1.724693223,1.724693223,1.796594679
1289,fumarate,Energy,TCA Cycle,1643,LC/MS Polar,330,3084,115.00368,100-17-8,444972,10197150,C00122,HMDB00134,0.031713493,0.540136006,1.470422144,1.470422144,1.795011567
425,proline,Amino Acid,Urea cycle; Arginine and Proline Metabolism,1898,LC/MS Pos Early,480,1603,116.07061,147-85-3,145742,128566,C00148,HMDB00162,0.193629779,0.706946876,1.163144807,1.163144807,1.794096632
152,N-acetyltyrosine,Amino Acid,Tyrosine Metabolism,32390,LC/MS Neg,100001104,1680,222.07718,537-55-3,68310,61606,NA,HMDB00866,0.017273883,0.468988614,1.47106028,1.47106028,1.79304523
73,trans-urocanate,Amino Acid,Histidine Metabolism,607,LC/MS Pos Early,537,2285,139.05021,104-98-3,736715,643824,C00785,HMDB00301,0.110649158,0.670184419,1.246875739,1.246875739,1.781984612
3947,oxalate (ethanedioate),Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,20694,LC/MS Neg,100000841,603,88.98803,144-62-7,971,946,C00209,HMDB02329,0.064611914,0.647780054,1.164871457,1.164871457,1.779081121
3837,2'-deoxyuridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",52602,LC/MS Neg,536,1586,227.0673,951-78-0,13712,13118,C00526,HMDB00012,0.016803352,0.468988614,1.95884634,1.95884634,1.778729564
60,S-1-pyrroline-5-carboxylate,Amino Acid,Glutamate Metabolism,42370,LC/MS Pos Early,35,1528,114.05496,2906-39-0,1196,10140206,C04322,HMDB01301,0.036267838,0.546909495,1.207932839,1.207932839,1.770035086
2161,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,Lipid,Phosphatidylethanolamine (PE),52687,LC/MS Pos Late,100009078,2270,742.53813,NA,9546753,7825703,NA,HMDB05349,0.02619774,0.506694364,1.743731172,1.743731172,1.766598736
4031,pyridoxamine,Cofactors and Vitamins,Vitamin B6 Metabolism,2150,LC/MS Pos Early,568,2975,169.09716,58052-48-5,1052,1023,C00534,HMDB01431,0.040726389,0.546909495,1.31346751,1.31346751,1.764853254
3896,quinolinate,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,1899,LC/MS Neg,182,630,166.01458,89-00-9,1066,1037,C03722,HMDB00232,0.019731967,0.492102131,1.562159507,1.562159507,1.760841106
239,kynurenine,Amino Acid,Tryptophan Metabolism,15140,LC/MS Pos Early,100000265,2739,209.09207,2922-83-0,161166,141580,C00328,HMDB00684,0.032506966,0.540468079,3.51875121,3.51875121,1.758542652
2502,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*,Lipid,Plasmalogen,52689,LC/MS Pos Late,100009014,2154,766.57452,NA,NA,24767495,NA,HMDB11220,0.0899979,0.662966014,2.403459713,2.403459713,1.750054482
1291,malate,Energy,TCA Cycle,1303,LC/MS Neg,409,615.6,133.01425,6915-15-7,525,510,C00149,HMDB00156,0.039595782,0.546909495,1.27975235,1.27975235,1.746363361
2027,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),Lipid,Phosphatidylcholine (PC),52462,LC/MS Pos Late,100008914,2091,782.56944,35418-58-7,10747814,8923140,NA,HMDB07982,0.119392867,0.670184419,1.978188909,1.978188909,1.739165263
1965,choline phosphate,Lipid,Phospholipid Metabolism,34396,LC/MS Pos Early,267,700,184.07332,72556-74-2,1014,119298,C00588,HMDB01565,0.089814912,0.662966014,2.13088999,2.13088999,1.73750459
2683,sphinganine,Lipid,Sphingolipid Synthesis,17769,LC/MS Pos Late,313,1413,302.30536,3102-56-5,3126,3014,C00836,HMDB00269,0.184045749,0.702291818,1.259363626,1.259363626,1.733799092
1306,phosphate,Energy,Oxidative Phosphorylation,42109,LC/MS Pos Early,461,576,98.98418,7664-38-2,1061,1032,C00009,HMDB01429,0.102613505,0.670184419,2.345047131,2.345047131,1.728617712
77,imidazole lactate,Amino Acid,Histidine Metabolism,15716,LC/MS Pos Early,100000263,2040,157.06077,14403-45-3,440129,389128,C05568,HMDB02320,0.10317429,0.670184419,1.337279301,1.337279301,1.723871791
2053,1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,Lipid,Phosphatidylcholine (PC),52452,LC/MS Pos Late,100008980,2380,786.60074,NA,NA,NA,NA,HMDB08039,0.1307948,0.670639811,2.066226692,2.066226692,1.721348923
1795,"3,4-dihydroxybutyrate",Lipid,"Fatty Acid, Dihydroxy",62952,LC/MS Polar,100001730,2204,119.03498,51267-44-8,NA,NA,NA,NA,0.082029842,0.660821644,0.854930502,-2.33937144,1.717581423
558,gamma-glutamylphenylalanine,Peptide,Gamma-glutamyl Amino Acid,33422,LC/MS Neg,100000491,1825,293.11429,7432-24-8,111299,99868,NA,HMDB00594,0.097062452,0.670184419,1.515641774,1.515641774,1.700508162
4010,5-(2-Hydroxyethyl)-4-methylthiazole,Cofactors and Vitamins,Thiamine Metabolism,27673,LC/MS Pos Early,100000098,2310,144.04777,137-00-8,1136,1104,C04294,NA,0.11259747,0.670184419,1.379396863,1.379396863,1.698026523
2138,1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,Lipid,Phosphatidylethanolamine (PE),52464,LC/MS Pos Late,100008990,2198,740.52248,NA,9546800,7825750,NA,HMDB05323,0.051938375,0.633175302,1.617744575,1.617744575,1.682958002
4032,pyridoxamine phosphate,Cofactors and Vitamins,Vitamin B6 Metabolism,3138,LC/MS Pos Early,493,1932,249.06349,529-96-4,1053,1024,C00647,HMDB01555,0.163290057,0.700820765,1.721565609,1.721565609,1.680580137
423,homoarginine,Amino Acid,Urea cycle; Arginine and Proline Metabolism,22137,LC/MS Pos Early,100000961,2882,189.13461,156-86-5,9085,8732,C01924,HMDB00670,0.033959434,0.546909495,2.212925524,2.212925524,1.672022189
559,gamma-glutamylthreonine,Peptide,Gamma-glutamyl Amino Acid,33364,LC/MS Pos Early,100001314,1750,249.10812,5652-48-2,76078708,21403107,NA,HMDB29159,0.139256164,0.670639811,1.452363811,1.452363811,1.664671497
2499,1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,Lipid,Plasmalogen,52748,LC/MS Pos Late,100009225,2633,728.55887,NA,NA,24769261,NA,HMDB11376,0.068593453,0.647780054,2.381871265,2.381871265,1.65685326
2358,1-palmitoyl-GPE (16:0),Lipid,Lysophospholipid,35631,LC/MS Pos Late,100001567,1544,454.29282,53862-35-4,9547069,7826019,NA,HMDB11503,0.055489812,0.633175302,0.695847504,-2.874192963,1.656060296
4261,2-isopropylmalate,Xenobiotics,Food Component/Plant,15667,LC/MS Polar,100000409,2605,175.06119,3237-44-3,77,76,C02504,HMDB00402,0.010007485,0.468988614,0.509167169,-3.927983034,1.645621117
71,N-acetyl-1-methylhistidine*,Amino Acid,Histidine Metabolism,43255,LC/MS Pos Early,100004299,2100,212.1028,NA,193270,NA,NA,NA,0.007141686,0.466949413,6.193486115,6.193486115,1.641116669
3917,trigonelline (N'-methylnicotinate),Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,32401,LC/MS Pos Early,100001092,1388,138.05496,535-83-1,5570,5369,C01004,HMDB00875,0.024696221,0.501328614,7.360266531,7.360266531,1.636877589
46,N-acetylglutamine,Amino Acid,Glutamate Metabolism,33943,LC/MS Pos Early,100001253,845,189.08699,2490-97-3,182230,158492,C02716,HMDB06029,0.143321657,0.671689345,1.137143917,1.137143917,1.636011998
3788,guanine,Nucleotide,"Purine Metabolism, Guanine containing",32352,LC/MS Pos Early,172,2032,152.05669,73-40-5,764,744,C00242,HMDB00132,0.118785636,0.670184419,0.760492694,-2.629874048,1.617971338
3074,glycocholate,Lipid,Primary Bile Acid Metabolism,18476,LC/MS Neg,342,5163,464.30176,475-31-0;863-57-0,10140,9734,C01921,HMDB00138,0.120363407,0.670184419,0.557716943,-3.586048485,1.609772333
1759,16-hydroxypalmitate,Lipid,"Fatty Acid, Monohydroxy",39609,LC/MS Neg,100002953,5236.2,271.22786,506-13-8,10466,10034,C18218,HMDB06294,0.031096375,0.540136006,1.650601445,1.650601445,1.60541301
452,N-acetylhomocitrulline,Amino Acid,Urea cycle; Arginine and Proline Metabolism,62707,LC/MS Pos Early,100020513,1363,232.12919,NA,NA,NA,NA,NA,0.01493498,0.468988614,8.103643099,8.103643099,1.604759983
3822,uracil,Nucleotide,"Pyrimidine Metabolism, Uracil containing",605,LC/MS Pos Early,825,827,113.03456,66-22-8,1174,1141,C00106,HMDB00300,0.446793858,0.818889166,1.096453901,1.096453901,1.604110892
563,gamma-glutamylserine,Peptide,Gamma-glutamyl Amino Acid,54914,LC/MS Pos Early,100009231,1351,235.09247,5875-35-4,NA,18691889,NA,NA,0.247656133,0.755190488,1.697843577,1.697843577,1.591265369
289,N-acetylleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",1587,LC/MS Neg,1082,2400,172.09791,1188-21-2,70912,64075,C02710,HMDB11756,0.047796686,0.615889762,1.438151207,1.438151207,1.577026593
437,"N2,N5-diacetylornithine",Amino Acid,Urea cycle; Arginine and Proline Metabolism,43591,LC/MS Neg,100004575,1367,215.10373,39825-23-5,10398396,8573834,NA,NA,0.379543309,0.781276428,1.174439022,1.174439022,1.574303981
2698,N-palmitoyl-phytosphingosine (t18:0/16:0),Lipid,Ceramides,62881,LC/MS Pos Late,100019761,2632,556.52994,NA,10506988,8682389,NA,NA,0.129564251,0.670184419,1.246010592,1.246010592,1.569606859
1287,succinylcarnitine (C4-DC),Energy,TCA Cycle,37058,LC/MS Pos Early,100001948,2291,262.12852,256928-74-2,71464481,28639166,NA,HMDB61717,0.068964829,0.647780054,1.273591116,1.273591116,1.563938734
103,"N2,N6-diacetyllysine",Amino Acid,Lysine Metabolism,48455,LC/MS Neg,100006124,1604,229.11938,499-86-5,91827,82921,NA,NA,0.076658987,0.647780054,1.459197324,1.459197324,1.563195223
347,methylsuccinate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",15745,LC/MS Polar,2051,2800,131.03498,498-21-5,10349,9922,NA,HMDB01844,0.178012225,0.700820765,1.141185086,1.141185086,1.551963967
2313,1-stearoyl-GPC (18:0),Lipid,Lysophospholipid,33961,LC/MS Pos Late,100001271,1606,524.37107,19420-57-6,497299,435389,NA,HMDB10384,0.109940975,0.670184419,7.192091314,7.192091314,1.551112245
5,dimethylglycine,Amino Acid,"Glycine, Serine and Threonine Metabolism",5086,LC/MS Pos Early,806,1104,104.07061,1118-68-9,673,653,C01026,HMDB00092,0.073561894,0.647780054,0.695222288,-2.876777737,1.545577604
1509,dodecenedioate (C12:1-DC)*,Lipid,"Fatty Acid, Dicarboxylate",61864,LC/MS Neg,100019972,2700,227.12887,NA,NA,NA,NA,NA,0.243280066,0.751693842,1.12264866,1.12264866,1.544154813
3141,hyodeoxycholate,Lipid,Secondary Bile Acid Metabolism,27531,LC/MS Neg,100000777,5097,391.28538,83-49-8,5283820,4446908,C15517,HMDB00733,0.196118874,0.706946876,1.239170372,1.239170372,1.543021268
1792,"2R,3R-dihydroxybutyrate",Lipid,"Fatty Acid, Dihydroxy",63109,LC/MS Polar,100002367,1543,119.03498,759-06-8,NA,17215960,NA,HMDB00498,0.163797999,0.700820765,0.761238987,-2.627295809,1.533042493
1327,caprylate (8:0),Lipid,Medium Chain Fatty Acid,32492,LC/MS Neg,932,4362,143.10775,124-07-2,379,370,C06423,HMDB00482,0.074930234,0.647780054,1.24478389,1.24478389,1.530539945
2168,"1,2-dilinoleoyl-GPE (18:2/18:2)*",Lipid,Phosphatidylethanolamine (PE),53174,LC/MS Pos Late,100009217,2083,740.52248,NA,9546812,7825762,NA,HMDB09093,0.077984432,0.647780054,1.696208789,1.696208789,1.52833303
128,"N,N,N-trimethyl-5-aminovalerate",Amino Acid,Lysine Metabolism,57687,LC/MS Pos Early,100015962,2186,160.13321,NA,NA,34236878,NA,NA,0.011167348,0.468988614,1.635940894,1.635940894,1.519377433
1488,2-hydroxyadipate,Lipid,"Fatty Acid, Dicarboxylate",31934,LC/MS Polar,100001153,3000,161.04554,18294-85-4,193530,167943,C02360,HMDB00321,0.154518859,0.693958412,0.81934708,-2.440967996,1.517752476
2849,N-stearoyl-phytosphingosine (t18:0/18:0)*,Lipid,Sphingosines,63038,LC/MS Pos Late,100021237,3020,584.56124,NA,9898642,8074300,NA,NA,0.069195633,0.647780054,1.609695072,1.609695072,1.517402734
3759,N6-methyladenosine,Nucleotide,"Purine Metabolism, Adenine containing",37114,LC/MS Pos Early,213,2264,282.11969,1867-73-8,1869,92307,NA,HMDB04044,0.155200255,0.693958412,1.33399127,1.33399127,1.514614372
1964,choline,Lipid,Phospholipid Metabolism,15506,LC/MS Pos Early,1256,1961,104.10699,67-48-1,305,149278,C00114,HMDB00097,0.245820946,0.755190488,1.191469913,1.191469913,1.508634402
392,S-methylcysteine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",39592,LC/MS Pos Early,100002749,1955,119.01613,1187-84-4,24417,22826,NA,HMDB02108,0.023468528,0.501328614,2.160362531,2.160362531,1.498666856
455,creatine,Amino Acid,Creatine Metabolism,27718,LC/MS Pos Early,1221,1947,132.07676,57-00-1,586,566,C00300,HMDB00064,0.134381533,0.670639811,1.50286379,1.50286379,1.488076956
1744,3-hydroxylaurate,Lipid,"Fatty Acid, Monohydroxy",32457,LC/MS Neg,100001112,5175,215.16526,53941-38-1,94216,85026,NA,HMDB00387,0.12461919,0.670184419,0.821688903,-2.434011209,1.483239888
99,N6-acetyllysine,Amino Acid,Lysine Metabolism,36752,LC/MS Polar,100001734,2612.6,187.10881,692-04-6,92832,83801,C02727,HMDB00206,0.299315649,0.773654391,1.115647415,1.115647415,1.480034136
1525,docosadioate (C22-DC),Lipid,"Fatty Acid, Dicarboxylate",39837,LC/MS Neg,100002952,5291.8,369.30103,505-56-6,244872,214170,C19625,NA,0.274041167,0.765886998,1.267899652,1.267899652,1.478151314
3942,ascorbic acid 3-sulfate*,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,63687,LC/MS Polar,100020409,2025,254.98146,NA,11425365,9600241,NA,NA,0.129003301,0.670184419,4.982202311,4.982202311,1.476996373
562,gamma-glutamylvaline,Peptide,Gamma-glutamyl Amino Acid,43829,LC/MS Pos Early,100001126,2700,247.12885,2746-34-1,7015683,NA,NA,HMDB11172,0.138799345,0.670639811,1.778782521,1.778782521,1.472522556
288,leucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",60,LC/MS Pos Early,397,2864,132.10191,61-90-5,6106,5880,C00123,HMDB00687,0.091673742,0.662966014,1.419746768,1.419746768,1.471233401
56,carboxyethyl-GABA,Amino Acid,Glutamate Metabolism,40007,LC/MS Pos Early,100003260,2085,176.09174,908055,2572,2474,NA,HMDB02201,0.057124394,0.633175302,1.341810141,1.341810141,1.465835749
1141,maltotriose,Carbohydrate,Glycogen Metabolism,44688,LC/MS Neg,100000276,812,503.16175,1109-28-0,439586,388669,C01835,HMDB01262,0.067136402,0.647780054,0.543658056,-3.678782971,1.462876582
1038,phenylacetylglycine,Peptide,Acetylated Peptides,33945,LC/MS Neg,100001275,2375,192.06661,500-98-1,68144,61452,C05598,HMDB00821,0.199372176,0.706946876,1.180320481,1.180320481,1.455634835
3160,isohyodeoxycholate,Lipid,Secondary Bile Acid Metabolism,57774,LC/MS Neg,100015988,4980,391.28538,570-84-3,5283822,4446910,NA,HMDB00664,0.26184129,0.765886998,1.259795315,1.259795315,1.449245744
295,4-methyl-2-oxopentanoate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",22116,LC/MS Neg,100000551,2170,129.05571,816-66-0,70,69,C00233,HMDB00695,0.226890686,0.730272339,1.887965099,1.887965099,1.438703528
2075,1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,Lipid,Phosphatidylcholine (PC),52453,LC/MS Pos Late,100008981,2165,784.58509,NA,NA,NA,NA,NA,0.181552728,0.700820765,1.804277256,1.804277256,1.433631412
4011,hydroxymethylpyrimidine,Cofactors and Vitamins,Thiamine Metabolism,57565,LC/MS Pos Early,100003365,2207,140.08184,73-67-6,777,756,C01279,NA,0.171117103,0.700820765,1.391703684,1.391703684,1.432642427
2690,N-stearoyl-sphinganine (d18:0/18:0)*,Lipid,Dihydroceramides,1759,LC/MS Pos Late,922,3526,568.56632,2304-80-5,5283573,4446686,NA,NA,0.192065226,0.706946876,1.533314647,1.533314647,1.43063439
70,N-acetyl-3-methylhistidine*,Amino Acid,Histidine Metabolism,43256,LC/MS Pos Early,100002204,2056,212.10297,37841-04-6,193270,19993498,NA,NA,0.040682804,0.546909495,5.990771124,5.990771124,1.426250264
