category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,padjust
GO:1903508,4.29E-05,0.999984953,26,1040,positive regulation of nucleic acid-templated transcription,BP,0.011857581
GO:1902680,4.37E-05,0.999984678,26,1041,positive regulation of RNA biosynthetic process,BP,0.011857581
GO:0051726,4.41E-05,0.999986671,20,684,regulation of cell cycle,BP,0.011857581
GO:0010628,4.43E-05,0.999983356,30,1297,positive regulation of gene expression,BP,0.011857581
GO:0071383,4.79E-05,0.999991946,10,192,cellular response to steroid hormone stimulus,BP,0.012593175
GO:0043401,4.94E-05,0.999993678,8,120,steroid hormone mediated signaling pathway,BP,0.012740014
GO:0010558,5.07E-05,0.999982404,25,985,negative regulation of macromolecule biosynthetic process,BP,0.012740014
GO:0010557,5.13E-05,0.999980824,29,1240,positive regulation of macromolecule biosynthetic process,BP,0.012740014
GO:0071396,5.19E-05,0.999986384,16,469,cellular response to lipid,BP,0.012740014
GO:0051172,5.41E-05,0.999978346,34,1581,negative regulation of nitrogen compound metabolic process,BP,0.013055123
GO:0009890,5.76E-05,0.999979422,26,1054,negative regulation of biosynthetic process,BP,0.013686686
GO:0060255,6.03E-05,0.999971841,60,3575,regulation of macromolecule metabolic process,BP,0.014091104
GO:0031328,6.14E-05,0.999976453,30,1317,positive regulation of cellular biosynthetic process,BP,0.014138403
GO:0009416,6.97E-05,0.999987721,10,202,response to light stimulus,BP,0.015784528
GO:0043153,7.45E-05,0.999997272,4,21,entrainment of circadian clock by photoperiod,BP,0.016486237
GO:0010033,7.50E-05,0.999967175,42,2178,response to organic substance,BP,0.016486237
GO:1901652,9.23E-05,0.999975686,15,445,response to peptide,BP,0.01978349
GO:0009891,9.39E-05,0.99996306,30,1347,positive regulation of biosynthetic process,BP,0.01978349
GO:0031325,9.40E-05,0.999958368,42,2204,positive regulation of cellular metabolic process,BP,0.01978349
GO:0007049,9.62E-05,0.99996583,24,966,cell cycle,BP,0.01985399
GO:0044238,9.71E-05,0.999955566,91,6402,primary metabolic process,BP,0.01985399
GO:0009649,0.00010906,0.999995528,4,23,entrainment of circadian clock,BP,0.022004669
GO:0071407,0.000113631,0.999969497,15,451,cellular response to organic cyclic compound,BP,0.022617131
GO:0019222,0.00011663,0.999943618,63,3899,regulation of metabolic process,BP,0.022904587
GO:0097532,0.000123301,1,2,2,stress response to acid chemical,BP,0.023338362
GO:0097533,0.000123301,1,2,2,cellular stress response to acid chemical,BP,0.023338362
GO:0009755,0.000126386,0.999981382,8,137,hormone-mediated signaling pathway,BP,0.023338362
GO:0045168,0.000126761,1,2,2,cell-cell signaling involved in cell fate commitment,BP,0.023338362
GO:0046331,0.000126761,1,2,2,lateral inhibition,BP,0.023338362
GO:0031323,0.000129386,0.999937447,60,3659,regulation of cellular metabolic process,BP,0.023527511
GO:0060674,0.000136885,0.99999398,4,25,placenta blood vessel development,BP,0.024556774
GO:0032501,0.000138381,0.999932776,61,3784,multicellular organismal process,BP,0.024556774
GO:0051384,0.000144993,0.999974955,9,178,response to glucocorticoid,BP,0.025423914
GO:0045893,0.000147543,0.999946034,24,992,"positive regulation of transcription, DNA-templated",BP,0.025566535
GO:0010243,0.000152506,0.999946527,22,866,response to organonitrogen compound,BP,0.026119338
GO:0000122,0.000156517,0.999952786,17,574,negative regulation of transcription by RNA polymerase II,BP,0.026498089
GO:0006950,0.00016408,0.999924291,44,2399,response to stress,BP,0.027462914
GO:0071310,0.000187561,0.999920205,33,1615,cellular response to organic substance,BP,0.030853784
GO:0045944,0.000188529,0.999936227,20,761,positive regulation of transcription by RNA polymerase II,BP,0.030853784
GO:0048856,0.000222447,0.999890936,55,3341,anatomical structure development,BP,0.036004573
GO:0030183,0.000241639,0.999973254,6,81,B cell differentiation,BP,0.038347252
GO:0031960,0.000242127,0.999955091,9,191,response to corticosteroid,BP,0.038347252
GO:0031324,0.000249439,0.99989093,34,1707,negative regulation of cellular metabolic process,BP,0.038467967
GO:0002085,0.000255948,0.999999214,2,3,inhibition of neuroepithelial cell differentiation,BP,0.038467967
GO:0045608,0.000255948,0.999999214,2,3,negative regulation of inner ear auditory receptor cell differentiation,BP,0.038467967
GO:0045632,0.000255948,0.999999214,2,3,negative regulation of mechanoreceptor differentiation,BP,0.038467967
GO:2000981,0.000255948,0.999999214,2,3,negative regulation of inner ear receptor cell differentiation,BP,0.038467967
GO:0016070,0.000259201,0.999875629,47,2676,RNA metabolic process,BP,0.038518735
GO:0071704,0.000263288,0.999874521,92,6632,organic substance metabolic process,BP,0.038518735
GO:1901576,0.000264131,0.999868489,58,3557,organic substance biosynthetic process,BP,0.038518735
GO:0050896,0.000275074,0.999861307,72,4801,response to stimulus,BP,0.039721217
GO:0006006,0.000278111,0.999953805,8,153,glucose metabolic process,BP,0.039769898
GO:0048641,0.000283438,0.999984655,4,29,regulation of skeletal muscle tissue development,BP,0.040141916
GO:0043434,0.000294418,0.999921967,13,387,response to peptide hormone,BP,0.041299899
GO:0007622,0.000309185,0.999982815,4,30,rhythmic behavior,BP,0.042560554
GO:0048512,0.000309185,0.999982815,4,30,circadian behavior,BP,0.042560554
GO:0045934,0.000317835,0.999879631,23,974,negative regulation of nucleobase-containing compound metabolic process,BP,0.043346231
GO:0035019,0.000321247,0.999981907,4,31,somatic stem cell population maintenance,BP,0.043409592
GO:1901698,0.000340508,0.999873145,22,917,response to nitrogen compound,BP,0.045589616
GO:0044249,0.00034357,0.999827116,57,3506,cellular biosynthetic process,BP,0.045589616
GO:0010948,0.000360465,0.999937663,8,161,negative regulation of cell cycle process,BP,0.047404368
GO:1900744,0.00037468,0.999977956,4,32,regulation of p38MAPK cascade,BP,0.048837706
GO:0050793,0.000398348,0.999824454,32,1625,regulation of developmental process,BP,0.051467204
GO:0045598,0.000411582,0.999949425,6,90,regulation of fat cell differentiation,BP,0.052040269
GO:0034645,0.000412417,0.999796391,48,2807,cellular macromolecule biosynthetic process,BP,0.052040269
GO:0006094,0.000413383,0.999961788,5,57,gluconeogenesis,BP,0.052040269
GO:0031099,0.000429504,0.999913616,9,210,regeneration,BP,0.053611543
GO:0009058,0.000434833,0.999778188,58,3618,biosynthetic process,BP,0.053820626
GO:0044839,0.000440878,0.999945114,6,90,cell cycle G2/M phase transition,BP,0.0541141
GO:0070887,0.000447836,0.99979178,37,1981,cellular response to chemical stimulus,BP,0.054218134
GO:0019319,0.000449088,0.999957684,5,58,hexose biosynthetic process,BP,0.054218134
GO:0007093,0.000505057,0.9999354,6,93,mitotic cell cycle checkpoint,BP,0.060194271
GO:0048523,0.000506761,0.999745133,50,3010,negative regulation of cellular process,BP,0.060194271
GO:0009912,0.000533898,0.999996643,2,4,auditory receptor cell fate commitment,BP,0.062410929
GO:0060120,0.000533898,0.999996643,2,4,inner ear receptor cell fate commitment,BP,0.062410929
GO:0010629,0.000558543,0.999771037,25,1146,negative regulation of gene expression,BP,0.06408481
GO:0045607,0.000565621,0.999996338,2,4,regulation of inner ear auditory receptor cell differentiation,BP,0.06408481
GO:0045631,0.000565621,0.999996338,2,4,regulation of mechanoreceptor differentiation,BP,0.06408481
GO:2000980,0.000565621,0.999996338,2,4,regulation of inner ear receptor cell differentiation,BP,0.06408481
GO:0010605,0.00058273,0.999734258,33,1712,negative regulation of macromolecule metabolic process,BP,0.065519282
GO:0006259,0.00059708,0.999796891,17,640,DNA metabolic process,BP,0.066624125
GO:1901654,0.000638487,0.999864157,9,218,response to ketone,BP,0.070708834
GO:0033120,0.000653704,0.999954949,4,36,positive regulation of RNA splicing,BP,0.071853772
GO:0046364,0.00066365,0.999931536,5,63,monosaccharide biosynthetic process,BP,0.072406653
GO:0044260,0.000706034,0.999627755,72,4913,cellular macromolecule metabolic process,BP,0.076464499
GO:0000075,0.000721164,0.99988004,7,137,cell cycle checkpoint,BP,0.077532983
GO:0048519,0.000736115,0.999618868,53,3300,negative regulation of biological process,BP,0.078424702
GO:0019318,0.000740107,0.999856839,8,177,hexose metabolic process,BP,0.078424702
GO:0006109,0.000761025,0.999872242,7,137,regulation of carbohydrate metabolic process,BP,0.080065268
GO:0032502,0.000774658,0.999594828,56,3579,developmental process,BP,0.080391502
GO:0060711,0.000775042,0.999943763,4,39,labyrinthine layer development,BP,0.080391502
GO:0060716,0.000805003,0.999969482,3,17,labyrinthine layer blood vessel development,BP,0.08291531
GO:0009892,0.000832221,0.999604759,35,1893,negative regulation of metabolic process,BP,0.084614652
GO:0045892,0.000832991,0.999689817,19,785,"negative regulation of transcription, DNA-templated",BP,0.084614652
GO:0009059,0.000903763,0.999534658,48,2900,macromolecule biosynthetic process,BP,0.091174844
GO:0038066,0.000914735,0.999930477,4,40,p38MAPK cascade,BP,0.091653955
GO:0050794,0.000939599,0.99950275,80,5712,regulation of cellular process,BP,0.093509149
GO:0042221,0.000956653,0.99950988,46,2757,response to chemical,BP,0.09456738
GO:1901701,0.000967281,0.999625699,20,862,cellular response to oxygen-containing compound,BP,0.094980557
GO:0006975,0.000979265,0.999990281,2,5,DNA damage induced protein phosphorylation,BP,0.095520495
GO:0016310,0.001042653,0.999526861,29,1482,phosphorylation,BP,0.101034415
GO:0030261,0.001051329,0.999955608,3,19,chromosome condensation,BP,0.101209278
GO:0031065,0.001087488,0.999953537,3,19,positive regulation of histone deacetylation,BP,0.104010429
GO:1903507,0.001097508,0.999581262,19,804,negative regulation of nucleic acid-templated transcription,BP,0.104291606
GO:0044770,0.001111391,0.999719456,10,286,cell cycle phase transition,BP,0.104597384
GO:0032868,0.001114929,0.999742806,9,237,response to insulin,BP,0.104597384
GO:1902679,0.001131498,0.999567122,19,806,negative regulation of RNA biosynthetic process,BP,0.105480005
GO:0048731,0.001206572,0.999373673,46,2815,system development,BP,0.11177103
GO:0008152,0.001217629,0.999376996,93,6952,metabolic process,BP,0.111968123
GO:0007346,0.001235693,0.999659011,11,344,regulation of mitotic cell cycle,BP,0.111968123
GO:0043618,0.001244761,0.999896546,4,44,regulation of transcription from RNA polymerase II promoter in response to stress,BP,0.111968123
GO:0051253,0.0012459,0.999507282,20,876,negative regulation of RNA metabolic process,BP,0.111968123
GO:0048869,0.001246709,0.999367305,41,2424,cellular developmental process,BP,0.111968123
GO:0044773,0.001255192,0.999895442,4,44,mitotic DNA damage checkpoint,BP,0.112046776
GO:0048522,0.001263806,0.99932653,53,3375,positive regulation of cellular process,BP,0.112136111
GO:0051093,0.001365413,0.999514071,16,638,negative regulation of developmental process,BP,0.120426182
GO:0010467,0.001386256,0.99925956,52,3279,gene expression,BP,0.121536659
GO:0009266,0.001417883,0.999734336,7,151,response to temperature stimulus,BP,0.123573951
GO:0032570,0.001435632,0.999875796,4,45,response to progesterone,BP,0.124238421
GO:0045605,0.001442377,0.99998104,2,6,negative regulation of epidermal cell differentiation,BP,0.124238421
GO:0005996,0.00145345,0.999686919,8,196,monosaccharide metabolic process,BP,0.12446432
GO:1901988,0.001491237,0.999763308,6,114,negative regulation of cell cycle phase transition,BP,0.126962039
GO:0006793,0.00150357,0.999247388,37,2105,phosphorus metabolic process,BP,0.12719077
GO:0001890,0.001511195,0.999759396,6,116,placenta development,BP,0.12719077
GO:0070229,0.001562842,0.999922927,3,22,negative regulation of lymphocyte apoptotic process,BP,0.130790363
GO:0010675,0.001584696,0.999745447,6,114,regulation of cellular carbohydrate metabolic process,BP,0.131869993
GO:0043620,0.001611973,0.999855708,4,47,regulation of DNA-templated transcription in response to stress,BP,0.133386205
GO:0036003,0.001760966,0.999909034,3,23,positive regulation of transcription from RNA polymerase II promoter in response to stress,BP,0.144900945
GO:2000323,0.001783822,0.999973871,2,6,negative regulation of glucocorticoid receptor signaling pathway,BP,0.145089221
GO:0006302,0.001783952,0.999651566,7,160,double-strand break repair,BP,0.145089221
GO:0050864,0.001792806,0.999766368,5,80,regulation of B cell activation,BP,0.145089221
GO:1903894,0.00185542,0.999972271,2,6,regulation of IRE1-mediated unfolded protein response,BP,0.147818743
GO:0006468,0.001855908,0.999179856,24,1186,protein phosphorylation,BP,0.147818743
GO:0030890,0.001860648,0.999902008,3,23,positive regulation of B cell proliferation,BP,0.147818743
GO:0048518,0.001866677,0.998974995,57,3766,positive regulation of biological process,BP,0.147818743
GO:0045930,0.001981075,0.999605689,7,163,negative regulation of mitotic cell cycle,BP,0.156038778
GO:0044774,0.002041553,0.999804395,4,50,mitotic DNA integrity checkpoint,BP,0.159915527
GO:0007275,0.002052009,0.998893354,48,3048,multicellular organism development,BP,0.159915527
GO:0044237,0.00206367,0.998888453,88,6545,cellular metabolic process,BP,0.159977854
GO:0045444,0.002122103,0.999572284,7,166,fat cell differentiation,BP,0.163219129
GO:0043170,0.002128821,0.998820692,78,5624,macromolecule metabolic process,BP,0.163219129
GO:0048505,0.002138726,0.999963719,2,7,regulation of timing of cell differentiation,BP,0.163219129
GO:0097084,0.002186309,0.999962493,2,7,vascular smooth muscle cell development,BP,0.165990462
GO:0030522,0.002264121,0.999538383,7,166,intracellular receptor signaling pathway,BP,0.170660029
GO:1901976,0.002270987,0.999870698,3,25,regulation of cell cycle checkpoint,BP,0.170660029
GO:0072080,0.002372479,0.999762408,4,53,nephron tubule development,BP,0.175595457
GO:0090312,0.002380007,0.999862231,3,25,positive regulation of protein deacetylation,BP,0.175595457
GO:0032102,0.002392918,0.999440829,8,215,negative regulation of response to external stimulus,BP,0.175595457
GO:1901029,0.002401003,0.999956791,2,7,negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,BP,0.175595457
GO:0008202,0.002402597,0.999438336,8,212,steroid metabolic process,BP,0.175595457
GO:0000077,0.002408194,0.99966337,5,86,DNA damage checkpoint,BP,0.175595457
GO:0050789,0.00244268,0.998647676,82,6048,regulation of biological process,BP,0.177232646
GO:0071229,0.002485925,0.999484288,7,172,cellular response to acid chemical,BP,0.178858871
GO:0048642,0.002489379,0.999954364,2,7,negative regulation of skeletal muscle tissue development,BP,0.178858871
GO:0031063,0.00252294,0.999850917,3,25,regulation of histone deacetylation,BP,0.180390239
GO:0006796,0.002590924,0.998665931,36,2092,phosphate-containing compound metabolic process,BP,0.184356142
GO:0030097,0.002729633,0.999030061,14,552,hemopoiesis,BP,0.193292114
GO:0051716,0.002780444,0.998436631,58,3913,cellular response to stimulus,BP,0.195460662
GO:0030330,0.002792104,0.999707246,4,54,"DNA damage response, signal transduction by p53 class mediator",BP,0.195460662
GO:0045786,0.002829596,0.99918724,10,323,negative regulation of cell cycle,BP,0.195460662
GO:0002520,0.002836017,0.998948832,15,615,immune system development,BP,0.195460662
GO:0045683,0.002837925,0.999942219,2,8,negative regulation of epidermis development,BP,0.195460662
GO:0006281,0.002849661,0.999180637,10,324,DNA repair,BP,0.195460662
GO:0003006,0.00285315,0.999070697,12,444,developmental process involved in reproduction,BP,0.195460662
GO:0048710,0.002884591,0.9998201,3,27,regulation of astrocyte differentiation,BP,0.196060536
GO:0042325,0.002888528,0.998743761,21,1014,regulation of phosphorylation,BP,0.196060536
GO:0048513,0.002938594,0.998474083,36,2131,animal organ development,BP,0.198543828
GO:0065007,0.002958702,0.998363146,86,6458,biological regulation,BP,0.198989616
GO:0070227,0.002974901,0.999682276,4,55,lymphocyte apoptotic process,BP,0.19916961
GO:0050728,0.003042633,0.999550552,5,89,negative regulation of inflammatory response,BP,0.202782573
GO:0061326,0.003070005,0.999668715,4,57,renal tubule development,BP,0.203685181
GO:0006974,0.003095885,0.998884165,14,558,cellular response to DNA damage stimulus,BP,0.20448114
GO:0002689,0.003414339,0.999923573,2,8,negative regulation of leukocyte chemotaxis,BP,0.224508006
GO:0005975,0.003439562,0.998915572,11,385,carbohydrate metabolic process,BP,0.225161376
GO:0031570,0.003553691,0.999454828,5,94,DNA integrity checkpoint,BP,0.230251968
GO:0016051,0.003573652,0.999321722,6,135,carbohydrate biosynthetic process,BP,0.230251968
GO:2000026,0.003575146,0.998333271,24,1256,regulation of multicellular organismal development,BP,0.230251968
GO:0042246,0.003579856,0.999596502,4,58,tissue regeneration,BP,0.230251968
GO:0048708,0.003644773,0.999586821,4,59,astrocyte differentiation,BP,0.233408068
GO:0099171,0.003708617,0.999910931,2,9,presynaptic modulation of chemical synaptic transmission,BP,0.236468498
GO:0040034,0.003776091,0.999908467,2,9,"regulation of development, heterochronic",BP,0.239732981
GO:0051248,0.003844209,0.998433855,17,767,negative regulation of protein metabolic process,BP,0.242028865
GO:0010906,0.003846762,0.999398643,5,95,regulation of glucose metabolic process,BP,0.242028865
GO:0006807,0.003861551,0.997807544,82,6081,nitrogen compound metabolic process,BP,0.242028865
GO:0010564,0.003957579,0.998728228,11,401,regulation of cell cycle process,BP,0.246996514
GO:0002521,0.003998201,0.998793536,10,340,leukocyte differentiation,BP,0.248478906
GO:0048534,0.00401948,0.998507311,14,576,hematopoietic or lymphoid organ development,BP,0.248751762
GO:0072009,0.004336476,0.999482528,4,63,nephron epithelium development,BP,0.267246659
GO:0001932,0.004509787,0.998039184,19,916,regulation of protein phosphorylation,BP,0.276769364
GO:0072148,0.004598824,0.999873952,2,10,epithelial cell fate commitment,BP,0.281062563
GO:2000322,0.004673362,0.999870844,2,10,regulation of glucocorticoid receptor signaling pathway,BP,0.284437779
GO:0080134,0.004811721,0.997894884,19,911,regulation of response to stress,BP,0.291257894
GO:0036314,0.004824966,0.99963402,3,32,response to sterol,BP,0.291257894
GO:1901991,0.004922069,0.999182971,5,102,negative regulation of mitotic cell cycle phase transition,BP,0.295906746
GO:0008217,0.005067737,0.999153188,5,101,regulation of blood pressure,BP,0.303425581
GO:0030154,0.005191433,0.997179574,37,2288,cell differentiation,BP,0.309223508
GO:0071850,0.005206561,0.99984787,2,10,mitotic cell cycle arrest,BP,0.309223508
GO:0048469,0.005249095,0.999115312,5,102,cell maturation,BP,0.310497654
GO:0032269,0.005291804,0.997832837,16,724,negative regulation of cellular protein metabolic process,BP,0.311771911
GO:0042749,0.005355368,0.99984123,2,10,regulation of circadian sleep/wake cycle,BP,0.314259797
GO:1901653,0.005390447,0.998421577,9,301,cellular response to peptide,BP,0.314629578
GO:0036498,0.005404392,0.999839021,2,10,IRE1-mediated unfolded protein response,BP,0.314629578
GO:0019220,0.005577249,0.997381046,22,1143,regulation of phosphate metabolic process,BP,0.322159279
GO:0010212,0.005577474,0.998837906,6,148,response to ionizing radiation,BP,0.322159279
GO:0097305,0.005629054,0.998481831,8,248,response to alcohol,BP,0.32303314
GO:0051174,0.005636467,0.997350714,22,1144,regulation of phosphorus metabolic process,BP,0.32303314
GO:0008015,0.005769332,0.998437345,8,250,blood circulation,BP,0.329366237
GO:0016575,0.00588261,0.999233152,4,67,histone deacetylation,BP,0.334536547
GO:0001892,0.005925253,0.999225602,4,68,embryonic placenta development,BP,0.335665568
GO:0007076,0.00609772,0.999803368,2,11,mitotic chromosome condensation,BP,0.344112355
GO:0022402,0.006123951,0.997451774,16,742,cell cycle process,BP,0.344273552
GO:0060675,0.00622183,0.99947996,3,35,ureteric bud morphogenesis,BP,0.347126247
GO:0072171,0.00622183,0.99947996,3,35,mesonephric tubule morphogenesis,BP,0.347126247
GO:0071380,0.006251568,0.999792949,2,12,cellular response to prostaglandin E stimulus,BP,0.347367834
GO:0048608,0.006284957,0.998114186,9,313,reproductive structure development,BP,0.347367834
GO:1901987,0.006296912,0.998448328,7,201,regulation of cell cycle phase transition,BP,0.347367834
GO:0071900,0.006481435,0.998045973,9,311,regulation of protein serine/threonine kinase activity,BP,0.355256375
GO:0042771,0.006500666,0.999447982,3,35,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,BP,0.355256375
GO:0035970,0.00651227,0.999782733,2,11,peptidyl-threonine dephosphorylation,BP,0.355256375
GO:0033127,0.006570937,0.999776691,2,12,regulation of histone phosphorylation,BP,0.357134081
GO:0061458,0.006696715,0.997970307,9,316,reproductive system development,BP,0.36263202
GO:0043066,0.006823476,0.997303757,14,611,negative regulation of apoptotic process,BP,0.366496541
GO:0046649,0.006862688,0.997622518,11,423,lymphocyte activation,BP,0.366496541
GO:0003338,0.006878618,0.999760631,2,12,metanephros morphogenesis,BP,0.366496541
GO:0072273,0.006878618,0.999760631,2,12,metanephric nephron morphogenesis,BP,0.366496541
GO:0003013,0.006892494,0.998075074,8,258,circulatory system process,BP,0.366496541
GO:0033554,0.007090953,0.996449113,25,1377,cellular response to stress,BP,0.374436839
GO:0070482,0.007092666,0.997831167,9,311,response to oxygen levels,BP,0.374436839
GO:0019827,0.007262119,0.998673725,5,114,stem cell population maintenance,BP,0.381473114
GO:0051239,0.007277748,0.996116119,31,1853,regulation of multicellular organismal process,BP,0.381473114
GO:0072413,0.007511811,0.999723242,2,13,signal transduction involved in mitotic cell cycle checkpoint,BP,0.389582601
GO:1902402,0.007511811,0.999723242,2,13,signal transduction involved in mitotic DNA damage checkpoint,BP,0.389582601
GO:1902403,0.007511811,0.999723242,2,13,signal transduction involved in mitotic DNA integrity checkpoint,BP,0.389582601
GO:0030888,0.007580753,0.999316243,3,38,regulation of B cell proliferation,BP,0.39177865
GO:0000003,0.007636341,0.996657482,17,830,reproduction,BP,0.391901295
GO:0022414,0.007636341,0.996657482,17,830,reproductive process,BP,0.391901295
GO:0071379,0.007809862,0.999703551,2,14,cellular response to prostaglandin stimulus,BP,0.399414792
GO:0003143,0.00792258,0.99927387,3,38,embryonic heart tube morphogenesis,BP,0.402472524
GO:0045682,0.007945047,0.999271061,3,38,regulation of epidermis development,BP,0.402472524
GO:0043255,0.007951626,0.998867002,4,73,regulation of carbohydrate biosynthetic process,BP,0.402472524
GO:0007519,0.008151817,0.998468854,5,115,skeletal muscle tissue development,BP,0.409416603
GO:0048585,0.008170504,0.996159375,20,1037,negative regulation of response to stimulus,BP,0.409416603
GO:0070233,0.00817221,0.999685453,2,13,negative regulation of T cell apoptotic process,BP,0.409416603
GO:0031100,0.008229645,0.998450678,5,115,animal organ regeneration,BP,0.410896428
GO:0051052,0.008262157,0.997410838,9,320,regulation of DNA metabolic process,BP,0.41112607
GO:0000278,0.008385388,0.996726233,13,570,mitotic cell cycle,BP,0.41272421
GO:0048711,0.008437854,0.999669786,2,13,positive regulation of astrocyte differentiation,BP,0.41272421
GO:0098727,0.008446169,0.998398957,5,118,maintenance of cell number,BP,0.41272421
GO:2000107,0.008469114,0.999203613,3,39,negative regulation of leukocyte apoptotic process,BP,0.41272421
GO:1902380,0.008482368,1,1,1,positive regulation of endoribonuclease activity,BP,0.41272421
GO:0042770,0.008497353,0.998765372,4,74,signal transduction in response to DNA damage,BP,0.41272421
GO:0072078,0.008529969,0.999195795,3,39,nephron tubule morphogenesis,BP,0.41272421
GO:0072088,0.008529969,0.999195795,3,39,nephron epithelium morphogenesis,BP,0.41272421
GO:0042509,0.008546465,0.999194778,3,38,regulation of tyrosine phosphorylation of STAT protein,BP,0.41272421
GO:0043069,0.008640661,0.996487283,14,628,negative regulation of programmed cell death,BP,0.413692614
