gene_id,gene_name,gene_source,gene_biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,FC
ENSRNOG00000054151,Pus10,ensembl,protein_coding,92.38099081,0.784088068,0.166749807,4.702182753,2.57E-06,0.000886297,1.722003492
ENSRNOG00000016166,Pdlim1,ensembl,protein_coding,260.9388122,-0.736289571,0.157670559,-4.669797422,3.01E-06,0.00100762,-1.665885877
ENSRNOG00000013747,Sh3bp2,ensembl,protein_coding,116.2534541,0.545230149,0.117611255,4.635867101,3.55E-06,0.001153975,1.459253116
ENSRNOG00000017084,Hsd11b2,ensembl_havana,protein_coding,32.5078555,-1.389328774,0.302740594,-4.589172388,4.45E-06,0.001404615,-2.619567749
ENSRNOG00000042785,Sesn2,ensembl,protein_coding,223.6417,-0.696016142,0.152633406,-4.560051158,5.11E-06,0.001514057,-1.620025073
ENSRNOG00000006369,Alg2,ensembl,protein_coding,133.4514436,-0.660867321,0.145177495,-4.552133372,5.31E-06,0.001514057,-1.581032826
ENSRNOG00000014205,Klf2,ensembl,protein_coding,32.48282612,-1.192255764,0.261936638,-4.551695303,5.32E-06,0.001514057,-2.285097565
ENSRNOG00000020994,Slc25a39,ensembl,protein_coding,1552.427072,-0.316976271,0.069644148,-4.551369787,5.33E-06,0.001514057,-1.245716926
ENSRNOG00000016339,Uox,ensembl,protein_coding,10638.2771,-0.432327636,0.095338171,-4.534675172,5.77E-06,0.001598918,-1.34940895
ENSRNOG00000059538,Clec2g,ensembl,protein_coding,1837.953143,0.73378679,0.162287378,4.521527185,6.14E-06,0.001623562,1.662998411
ENSRNOG00000055579,Tmbim6,ensembl,protein_coding,7795.207283,-0.355816237,0.078696454,-4.521375711,6.14E-06,0.001623562,-1.2797094
ENSRNOG00000029941,Grina,ensembl,protein_coding,1544.306635,-0.333211411,0.073881199,-4.510097531,6.48E-06,0.001673404,-1.259814579
ENSRNOG00000058249,Pgk1,ensembl_havana,protein_coding,2621.658498,-0.617352356,0.137497494,-4.489917131,7.13E-06,0.00177262,-1.534057284
ENSRNOG00000011962,Gin1,ensembl_havana,protein_coding,49.44051862,0.927129813,0.206561261,4.48840121,7.18E-06,0.00177262,1.90148929
ENSRNOG00000058780,Igfbp1,ensembl,protein_coding,710.4386834,-1.183204195,0.264059344,-4.480826841,7.44E-06,0.001797637,-2.270805586
ENSRNOG00000023896,Dusp6,ensembl,protein_coding,314.8490058,0.644147873,0.144271279,4.46483789,8.01E-06,0.001896897,1.562815937
ENSRNOG00000054757,Adcy6,ensembl,protein_coding,369.0555301,0.597806864,0.134163295,4.455815328,8.36E-06,0.001938086,1.513414177
ENSRNOG00000060367,Rfx7,ensembl,protein_coding,181.5383567,0.570315407,0.128634579,4.433608841,9.27E-06,0.002105989,1.484848158
ENSRNOG00000005067,Zfp36l2,ensembl,protein_coding,268.0854913,0.621539938,0.140704207,4.417351479,9.99E-06,0.002226205,1.538516524
ENSRNOG00000010593,Ctnnal1,ensembl,protein_coding,92.46725982,0.740140122,0.168017052,4.405148844,1.06E-05,0.002309994,1.670338063
ENSRNOG00000007739,Rars1,ensembl,protein_coding,359.9144321,-0.410914776,0.094421077,-4.351939087,1.35E-05,0.002892265,-1.329528567
ENSRNOG00000028105,Hars1,ensembl,protein_coding,378.9165805,-0.411976738,0.094762539,-4.3474641,1.38E-05,0.002892265,-1.330507588
ENSRNOG00000011300,AABR07031193.1,ensembl_havana,protein_coding,35.84837666,-0.906858664,0.20876738,-4.343871458,1.40E-05,0.002892265,-1.874958501
ENSRNOG00000012414,Rhobtb3,ensembl,protein_coding,324.4107407,0.424430448,0.098026594,4.329747981,1.49E-05,0.003029053,1.342042582
ENSRNOG00000004521,Prpf39,ensembl,protein_coding,81.61773039,0.757765931,0.175726543,4.31218823,1.62E-05,0.003222442,1.690870218
ENSRNOG00000020696,Pmvk,ensembl,protein_coding,830.982457,-0.620900675,0.144116929,-4.308311858,1.65E-05,0.003222886,-1.537834953
ENSRNOG00000001190,Git2,ensembl,protein_coding,122.0900764,0.67960251,0.158568822,4.285852052,1.82E-05,0.003505969,1.601698396
ENSRNOG00000039390,Slc37a2,ensembl_havana,protein_coding,94.44128474,-0.914046682,0.213525729,-4.280733217,1.86E-05,0.003527805,-1.884323519
ENSRNOG00000018445,Agt,ensembl,protein_coding,7090.561284,-0.513939526,0.120461378,-4.26642575,1.99E-05,0.003700045,-1.427944122
ENSRNOG00000016180,Pdp1,ensembl,protein_coding,26.2347157,1.144225704,0.268707871,4.258251528,2.06E-05,0.003776036,2.210274731
ENSRNOG00000017795,Hspbp1,ensembl,protein_coding,150.8730956,-0.431434315,0.101984567,-4.230388248,2.33E-05,0.004207707,-1.348573651
ENSRNOG00000039865,Vnn3,ensembl,protein_coding,391.8078458,-0.522455528,0.123634371,-4.225811348,2.38E-05,0.004227061,-1.436397979
ENSRNOG00000000024,Hebp1,ensembl,protein_coding,1031.979345,-0.523789123,0.125825982,-4.162805769,3.14E-05,0.00549551,-1.437726367
ENSRNOG00000018457,Ptpa,ensembl,protein_coding,894.7300099,-0.53987138,0.130598846,-4.133814313,3.57E-05,0.006142765,-1.453842898
ENSRNOG00000025030,Dffb,ensembl,protein_coding,59.96009565,1.03978943,0.251919015,4.127474975,3.67E-05,0.006220281,2.055927557
ENSRNOG00000013379,Zfp422,ensembl,protein_coding,253.8928503,0.395697334,0.096208787,4.112902243,3.91E-05,0.00652366,1.315578498
ENSRNOG00000043006,Epm2aip1,ensembl,protein_coding,237.9753206,0.662282999,0.161150387,4.109720201,3.96E-05,0.00652366,1.582585012
ENSRNOG00000006118,Klf10,ensembl,protein_coding,290.7371896,0.657409656,0.160314747,4.100743492,4.12E-05,0.006685094,1.577248148
ENSRNOG00000009830,Fam204a,ensembl,protein_coding,30.38582223,0.930620796,0.227389768,4.092623896,4.27E-05,0.00682611,1.906096019
ENSRNOG00000045568,Rbm14,ensembl,protein_coding,148.1004886,-0.5418385,0.132575813,-4.087008691,4.37E-05,0.006853925,-1.45582657
ENSRNOG00000004027,Aldh9a1,ensembl,protein_coding,9322.718746,-0.246568039,0.06038044,-4.083574717,4.43E-05,0.006853925,-1.186381527
ENSRNOG00000031760,Fmn1,ensembl,protein_coding,38.65454783,0.736855983,0.18063546,4.079243262,4.52E-05,0.006853925,1.666540043
ENSRNOG00000018246,Tdp2,ensembl,protein_coding,152.0512908,0.668552162,0.163902772,4.078955793,4.52E-05,0.006853925,1.589477023
ENSRNOG00000009661,Tgds,ensembl,protein_coding,164.6894135,0.474256336,0.116365243,4.075584112,4.59E-05,0.006862503,1.389201945
ENSRNOG00000003049,Hsd17b10,ensembl,protein_coding,1820.965025,-0.355943691,0.08760495,-4.063054563,4.84E-05,0.006973026,-1.279822461
ENSRNOG00000033619,Apof,ensembl,protein_coding,922.7643045,0.902050708,0.222088471,4.061672825,4.87E-05,0.006973026,1.868720374
ENSRNOG00000050647,Hspa1b,ensembl_havana,protein_coding,147.7215477,-2.339517892,0.576597958,-4.057450883,4.96E-05,0.006973026,-5.061334737
ENSRNOG00000000804,Mrps18b,ensembl_havana,protein_coding,469.0451752,-0.357276954,0.088058105,-4.057286434,4.96E-05,0.006973026,-1.281005752
ENSRNOG00000042686,Trim34,ensembl,protein_coding,80.05838045,0.59094961,0.145661627,4.057002666,4.97E-05,0.006973026,1.506237857
ENSRNOG00000006559,Akap8,ensembl,protein_coding,141.5664705,0.663328276,0.16465091,4.028694867,5.61E-05,0.007772203,1.583732059
ENSRNOG00000029528,Cbs,ensembl,protein_coding,2594.849537,-0.46152896,0.115009364,-4.012968528,6.00E-05,0.008208728,-1.377000382
ENSRNOG00000022694,Plekhg5,ensembl,protein_coding,104.3599293,0.597434967,0.149471959,3.996970209,6.42E-05,0.008678947,1.513024099
ENSRNOG00000009990,Zranb2,ensembl,protein_coding,281.5417185,0.550598861,0.138048491,3.988445344,6.65E-05,0.008796377,1.464693562
ENSRNOG00000014353,Sympk,ensembl,protein_coding,299.4905123,-0.369751546,0.092711235,-3.988206481,6.66E-05,0.008796377,-1.292130287
ENSRNOG00000032669,Serpina1,ensembl,protein_coding,117259.1445,-0.335758637,0.084426046,-3.976955612,6.98E-05,0.009076393,-1.262040875
ENSRNOG00000010887,RGD1309534,ensembl,protein_coding,686.2266156,-0.609691185,0.153471742,-3.972660889,7.11E-05,0.009076393,-1.525932542
ENSRNOG00000003707,Zmym3,ensembl_havana,protein_coding,76.25740399,0.821517925,0.206795671,3.972606969,7.11E-05,0.009076393,1.767264434
ENSRNOG00000004660,Fzd6,ensembl,protein_coding,39.1622421,0.832292649,0.210313202,3.957396123,7.58E-05,0.009566538,1.780512605
ENSRNOG00000004807,Arf2,ensembl,protein_coding,70.22288225,0.455980577,0.115323347,3.953931187,7.69E-05,0.009599553,1.371714821
ENSRNOG00000000595,Traf3ip2,ensembl,protein_coding,42.08656873,0.729890062,0.186068399,3.922697592,8.76E-05,0.010814986,1.658512703
ENSRNOG00000004624,Rnd3,ensembl,protein_coding,446.4190105,0.345222835,0.088254347,3.911680791,9.17E-05,0.011198787,1.270347182
ENSRNOG00000012443,Cpt2,ensembl,protein_coding,903.4212251,-0.486671764,0.124608865,-3.905595021,9.40E-05,0.011209067,-1.401208616
ENSRNOG00000026236,Morc3,ensembl_havana,protein_coding,118.8760986,0.833777105,0.213777874,3.900203002,9.61E-05,0.011209067,1.782345599
ENSRNOG00000007545,Angptl4,ensembl,protein_coding,2033.137467,-0.887106441,0.227530788,-3.898841337,9.67E-05,0.011209067,-1.849463004
ENSRNOG00000021824,Dnajb1,ensembl,protein_coding,403.9278904,-0.388148534,0.099585078,-3.897657581,9.71E-05,0.011209067,-1.308712804
ENSRNOG00000014522,Mlycd,ensembl,protein_coding,1036.870712,-0.421161073,0.10806627,-3.897248168,9.73E-05,0.011209067,-1.339004745
ENSRNOG00000015231,Mrpl44,ensembl,protein_coding,219.5380011,-0.314838872,0.080803829,-3.896336064,9.77E-05,0.011209067,-1.243872723
ENSRNOG00000000827,Ier3,ensembl_havana,protein_coding,221.2056796,0.75582359,0.194328212,3.889417709,0.000100485,0.011365923,1.688595284
ENSRNOG00000021106,Gramd1a,ensembl,protein_coding,82.03261665,0.960282359,0.246978932,3.888114466,0.000101026,0.011365923,1.945690661
ENSRNOG00000010038,Psmc5,ensembl,protein_coding,785.9664985,-0.447935821,0.115371231,-3.882560805,0.000103362,0.011514747,-1.364087151
ENSRNOG00000027410,Ccdc125,ensembl,protein_coding,159.646994,0.532133256,0.137538373,3.868980307,0.000109291,0.011944142,1.446065856
ENSRNOG00000016460,Clu,ensembl,protein_coding,10381.69261,-0.273795996,0.070768085,-3.868919091,0.000109319,0.011944142,-1.208984708
ENSRNOG00000019140,Banp,ensembl,protein_coding,37.33196043,-0.969066133,0.250807646,-3.86378226,0.000111645,0.011979583,-1.957573034
ENSRNOG00000008837,Ass1,ensembl_havana,protein_coding,23616.04409,-0.508372632,0.1315818,-3.863548251,0.000111752,0.011979583,-1.422444765
ENSRNOG00000003120,Prelp,ensembl_havana,protein_coding,404.1520943,-0.499032761,0.129566315,-3.851562501,0.000117367,0.012463891,-1.413265736
ENSRNOG00000017235,Atp6v0d1,ensembl_havana,protein_coding,1608.251993,-0.253102876,0.065771778,-3.848198772,0.000118989,0.012519237,-1.191767554
ENSRNOG00000056248,Marf1,ensembl_havana,protein_coding,574.7837198,0.599285898,0.155880979,3.844509462,0.000120794,0.012592479,1.514966506
ENSRNOG00000002946,Socs3,ensembl,protein_coding,21.49414772,1.430810907,0.372792013,3.838094315,0.000123993,0.012808462,2.695982079
ENSRNOG00000012804,C1qc,ensembl,protein_coding,580.921391,-0.459238226,0.119891821,-3.830438337,0.000127915,0.013094597,-1.374815694
ENSRNOG00000020695,Tead2,ensembl,protein_coding,23.43612154,0.839129028,0.219540258,3.822210276,0.000132261,0.01341857,1.788969794
ENSRNOG00000006589,Mif,ensembl,protein_coding,1663.842983,-0.833789917,0.218536711,-3.81533114,0.000136,0.013675866,-1.782361428
ENSRNOG00000006916,Sardh,ensembl,protein_coding,2344.145328,-0.397091197,0.104255308,-3.80883434,0.000139623,0.01391703,-1.316850161
ENSRNOG00000055631,Zfp280d,ensembl,protein_coding,111.8177405,0.51960568,0.136504168,3.806518779,0.000140937,0.013925761,1.43356337
ENSRNOG00000016484,Gstk1,ensembl,protein_coding,2224.978437,-0.467035553,0.122958573,-3.798316314,0.000145682,0.014030436,-1.38226627
ENSRNOG00000018413,Per3,ensembl_havana,protein_coding,25.76173764,2.308668192,0.608031677,3.796953808,0.000146485,0.014030436,4.954255223
ENSRNOG00000046036,Itprip,ensembl_havana,protein_coding,17.9898567,-1.054826807,0.277829999,-3.796662742,0.000146657,0.014030436,-2.077468795
ENSRNOG00000001720,Hes1,ensembl,protein_coding,105.7636955,0.716073663,0.1886294,3.796193291,0.000146935,0.014030436,1.642705275
ENSRNOG00000050277,Uckl1,ensembl,protein_coding,62.09700129,0.653988193,0.172681777,3.787244978,0.000152327,0.014313435,1.573512014
ENSRNOG00000007235,Atp5mc1,ensembl,protein_coding,2137.379181,-0.443701085,0.117195914,-3.785977415,0.000153106,0.014313435,-1.360089023
ENSRNOG00000010031,Vtn,ensembl,protein_coding,35863.02879,-0.254889965,0.067357311,-3.784146962,0.000154237,0.014313435,-1.19324473
ENSRNOG00000012026,Psmc2,ensembl,protein_coding,891.0068865,-0.322381138,0.085217943,-3.783019456,0.000154937,0.014313435,-1.250392594
ENSRNOG00000001108,N4bp2l2,ensembl,protein_coding,206.8371976,0.440882454,0.116750576,3.776276472,0.00015919,0.014587736,1.357434377
ENSRNOG00000052406,LOC102552527,ensembl,protein_coding,35.22022291,0.840808515,0.223339011,3.764718532,0.000166737,0.015157041,1.791053602
ENSRNOG00000011781,Oplah,ensembl,protein_coding,494.4043111,-0.365340712,0.097476003,-3.748006702,0.000178245,0.016074631,-1.288185816
ENSRNOG00000019368,Scnn1a,ensembl,protein_coding,16.16680416,1.223202022,0.326710911,3.743988892,0.000181122,0.016205397,2.334643103
ENSRNOG00000005464,Lgalsl,ensembl,protein_coding,391.3716215,-0.491263211,0.131291588,-3.741772187,0.000182727,0.016221315,-1.405675133
ENSRNOG00000033389,Susd2,ensembl_havana,protein_coding,48.81706249,-0.749946055,0.201455293,-3.722642598,0.000197148,0.017365879,-1.681729946
ENSRNOG00000006444,Fkbp4,ensembl,protein_coding,3232.799086,-0.587484687,0.158359455,-3.709817561,0.000207409,0.018088296,-1.502624663
ENSRNOG00000003186,Anks3,ensembl,protein_coding,43.69946141,1.007635406,0.271713513,3.708447903,0.000208534,0.018088296,2.010612979
ENSRNOG00000011200,Bhmt,ensembl,protein_coding,33884.8672,-0.689190898,0.186040081,-3.704529113,0.000211784,0.018231054,-1.612378999
ENSRNOG00000059891,NEWGENE_1308612,ensembl,protein_coding,70.3036466,0.601366019,0.162664056,3.696981587,0.000218178,0.018581556,1.517152406
ENSRNOG00000010017,Wee1,ensembl,protein_coding,17.56881715,-0.933795719,0.252658521,-3.695880563,0.000219126,0.018581556,-1.910295361
ENSRNOG00000021218,Pias3,ensembl,protein_coding,52.62209423,0.557732908,0.151128037,3.690466182,0.000223843,0.018840986,1.471954328
ENSRNOG00000016064,Tkt,ensembl,protein_coding,2380.290253,-0.476801806,0.129290952,-3.687820372,0.000226183,0.018897941,-1.391655196
ENSRNOG00000058561,Srrm2,ensembl,protein_coding,1229.050329,0.850938262,0.231162165,3.681131225,0.000232201,0.019134714,1.80367357
ENSRNOG00000006663,Usp2,ensembl,protein_coding,35.07359388,-1.026804456,0.278952469,-3.680929804,0.000232385,0.019134714,-2.03750621
ENSRNOG00000010050,Stard9,ensembl,protein_coding,15.77919099,1.208545488,0.328791336,3.675721817,0.000237178,0.019266151,2.311045218
ENSRNOG00000004101,Mar-01,ensembl,protein_coding,4513.1843,-0.388579469,0.105721162,-3.675512659,0.000237372,0.019266151,-1.309103777
ENSRNOG00000018752,Clcf1,ensembl,protein_coding,32.42277992,1.08751139,0.296084291,3.672979023,0.000239739,0.019320257,2.125071511
ENSRNOG00000012216,Tgfbi,ensembl,protein_coding,2456.471676,-0.333673387,0.091277952,-3.655574882,0.000256606,0.020288296,-1.260218058
ENSRNOG00000018994,Psmc4,ensembl,protein_coding,754.0195164,-0.380228864,0.104037454,-3.65473057,0.000257452,0.020288296,-1.301548312
ENSRNOG00000008246,Emilin1,ensembl,protein_coding,328.9382621,-0.389223844,0.106499239,-3.654710109,0.000257473,0.020288296,-1.309688614
ENSRNOG00000043059,Aplf,ensembl,protein_coding,18.41635702,1.068996967,0.292611464,3.653298309,0.000258893,0.020288296,2.097974244
ENSRNOG00000012157,Snrnp200,ensembl,protein_coding,682.3513365,-0.327006539,0.089601164,-3.649579123,0.00026267,0.020399953,-1.25440789
ENSRNOG00000012357,Unc45a,ensembl,protein_coding,214.0372133,-0.387907263,0.106340119,-3.647797915,0.000264498,0.020399953,-1.308493958
ENSRNOG00000050869,Cebpd,ensembl,protein_coding,31.82878845,-0.860824188,0.236060306,-3.646628277,0.000265704,0.020399953,-1.816075508
ENSRNOG00000031576,Zfp455,ensembl,protein_coding,43.92371527,0.695694485,0.19110969,3.640288913,0.000272332,0.020768536,1.619663919
ENSRNOG00000042271,Ubb,ensembl,pseudogene,6435.813556,-0.56987866,0.156778173,-3.634936221,0.000278049,0.02106317,-1.484398718
ENSRNOG00000007793,Pnrc1,ensembl,protein_coding,936.4495609,-0.725117305,0.199842836,-3.628437823,0.000285141,0.021457363,-1.653035038
ENSRNOG00000015250,Mettl14,ensembl,protein_coding,99.56939875,0.490848722,0.135650569,3.618478891,0.00029634,0.02215334,1.405271339
ENSRNOG00000005196,Slc12a6,ensembl,protein_coding,38.40998454,0.559213967,0.154957938,3.60881137,0.000307603,0.022845064,1.4734662
ENSRNOG00000009948,Pip4p1,ensembl,protein_coding,181.631783,0.693681859,0.192405661,3.60530899,0.000311782,0.023005039,1.617405989
ENSRNOG00000002520,Litaf,ensembl,protein_coding,1500.7865,-0.358730782,0.099624005,-3.600846844,0.000317182,0.023252539,-1.282297294
ENSRNOG00000001620,Prdm15,ensembl,protein_coding,32.91665928,0.701171257,0.195466172,3.58717445,0.000334281,0.02434892,1.625824188
ENSRNOG00000036837,Nfe2,ensembl,protein_coding,35.39101846,1.601172578,0.448580063,3.569424306,0.000357767,0.025839436,3.033897991
ENSRNOG00000005015,Rabep1,ensembl,protein_coding,427.9438142,0.280427488,0.078588326,3.568309726,0.000359292,0.025839436,1.214554718
ENSRNOG00000004772,Cytip,ensembl,protein_coding,16.76002446,0.980666602,0.275598123,3.55832105,0.000373233,0.026673245,1.973377003
ENSRNOG00000004307,Tor3a,ensembl,protein_coding,317.0219258,-1.121240891,0.316213125,-3.545839187,0.000391365,0.027754236,-2.175339975
ENSRNOG00000037509,Chek2,ensembl,protein_coding,24.22119424,0.787098631,0.222057157,3.544576719,0.000393244,0.027754236,1.725600657
ENSRNOG00000021924,Cyp2c22,ensembl,protein_coding,4493.381439,-0.887931677,0.250782294,-3.540647396,0.000399147,0.027960574,-1.850521217
ENSRNOG00000006221,Uba3,ensembl,protein_coding,282.2348439,0.316692143,0.089536673,3.537010371,0.000404684,0.027960574,1.245471615
ENSRNOG00000031789,Rangap1,ensembl,protein_coding,488.7989107,-0.533366281,0.150821924,-3.536397536,0.000405624,0.027960574,-1.44730229
ENSRNOG00000059984,Dll1,ensembl,protein_coding,37.91383,0.722333691,0.204271457,3.536145982,0.00040601,0.027960574,1.649848658
ENSRNOG00000011951,Plk2,ensembl,protein_coding,851.8922726,0.50078803,0.141929976,3.528416219,0.000418054,0.02861657,1.414986246
ENSRNOG00000021718,Cspp1,ensembl,protein_coding,80.26801381,0.495774719,0.140635447,3.525247209,0.000423088,0.028766711,1.410077755
ENSRNOG00000011668,Nfil3,ensembl,protein_coding,604.2575131,-0.526602465,0.149439151,-3.523858776,0.000425311,0.028766711,-1.440532755
ENSRNOG00000010680,Med12l,ensembl_havana,protein_coding,48.74094099,0.693690342,0.197231484,3.517137974,0.000436227,0.029230157,1.617415499
ENSRNOG00000002889,Afp,ensembl,protein_coding,176.2303176,-0.649548614,0.184715509,-3.516481192,0.000437308,0.029230157,-1.568677316
ENSRNOG00000018359,Smad7,ensembl,protein_coding,187.4805909,0.37149742,0.105767172,3.512407593,0.000444066,0.029502205,1.293694902
ENSRNOG00000009783,Camk2g,ensembl,protein_coding,86.19928157,0.547864407,0.156074507,3.510274788,0.000447644,0.029502205,1.461920042
ENSRNOG00000015999,Cirbp,ensembl,protein_coding,111.996514,0.651768579,0.185722299,3.509371694,0.000449167,0.029502205,1.571092996
ENSRNOG00000003191,Bhlhb9,ensembl,protein_coding,38.93978474,0.653590305,0.186367343,3.507000171,0.000453189,0.029595316,1.573078106
ENSRNOG00000015593,Sigirr,ensembl,protein_coding,400.5488554,-0.287863554,0.082180549,-3.502818572,0.000460363,0.029748657,-1.220831044
ENSRNOG00000055984,Adrm1,ensembl,protein_coding,768.8991446,-0.392120075,0.111951739,-3.502581377,0.000460773,0.029748657,-1.312320474
ENSRNOG00000053060,Zfc3h1,ensembl,protein_coding,135.0252317,0.747734834,0.214219735,3.490503964,0.00048211,0.030950402,1.679154331
ENSRNOG00000012434,Zfp598,ensembl,protein_coding,482.5850611,0.356093798,0.102265062,3.482066991,0.000497559,0.031762726,1.279955628
ENSRNOG00000003068,Mrnip,ensembl,protein_coding,15.11603583,0.960779026,0.276576242,3.473830644,0.000513085,0.032564061,1.946360606
ENSRNOG00000004786,Cyp4f1,ensembl,protein_coding,6445.955615,-0.290166056,0.083563752,-3.472391426,0.000515844,0.032564061,-1.222781013
ENSRNOG00000015591,Cndp2,ensembl,protein_coding,1042.048713,-0.58191091,0.167941736,-3.464957104,0.000530316,0.033292715,-1.496830551
ENSRNOG00000006355,Akap8l,ensembl,protein_coding,288.7243536,1.228616897,0.354792474,3.462917022,0.000534353,0.03336184,2.343422196
ENSRNOG00000009512,Esd,ensembl,protein_coding,1384.788504,-0.379887808,0.110138735,-3.449175319,0.000562301,0.034796983,-1.301240659
ENSRNOG00000058522,Fam214a,ensembl,protein_coding,548.5033192,0.529396053,0.153551185,3.447684576,0.000565414,0.034796983,1.443324859
ENSRNOG00000018395,Usp40,ensembl,protein_coding,284.9554533,0.517791319,0.150208373,3.447153493,0.000566527,0.034796983,1.431761627
ENSRNOG00000036913,Resf1,ensembl,protein_coding,133.8138796,0.584588768,0.169859654,3.441598729,0.000578287,0.035068634,1.499611473
ENSRNOG00000010078,Spag1,ensembl,protein_coding,22.01950857,0.778924367,0.226440261,3.43986694,0.000582,0.035068634,1.715851106
ENSRNOG00000015274,Ddx20,ensembl,protein_coding,63.10201855,0.631927873,0.183822383,3.437709073,0.000586658,0.035068634,1.549634387
ENSRNOG00000013587,Fam135a,ensembl,protein_coding,143.4018878,0.432909125,0.125936013,3.437532412,0.00058704,0.035068634,1.34995295
