,rab.all,rab.win.CON,rab.win.MIX,diff.btw,diff.win,effect,overlap,we.ep,we.eBH,wi.ep,wi.eBH
Bifidobacterium gallicum,-0.840930023,-0.650440431,-1.23206644,-0.637864327,1.101320052,-0.584937088,0.197916734,0.021174498,0.494986829,0.012642935,0.292100423
Shewanella woodyi,-1.791705426,-2.170895839,-1.592295876,0.556361354,0.667354494,0.752333182,0.199218817,0.01139987,0.494986829,0.012430663,0.292649785
Pseudomonas aeruginosa,0.113333338,-0.022115487,0.326052945,0.292098316,0.386860855,0.540470869,0.219765987,0.077664187,0.564474973,0.014715954,0.294127091
Bifidobacterium bifidum,0.625671654,0.753759294,0.464885836,-0.323923005,0.485670084,-0.54291138,0.202860923,0.0193182,0.494986829,0.013973277,0.294432303
Thioalkalivibrio sp. HL-EbGR7,-1.049761586,-1.173499455,-0.883071462,0.288761519,0.381254761,0.692586384,0.21066326,0.010595862,0.494986829,0.01576367,0.294720222
Moritella sp. PE36,-1.5968553,-2.176484211,-1.144489021,0.824341433,1.213653729,0.649853546,0.210937561,0.016975448,0.494986829,0.014385698,0.295202623
Shewanella sediminis,-0.901884165,-1.147934517,-0.759945986,0.370441614,0.505994259,0.649274381,0.21066326,0.022583051,0.49517755,0.016811391,0.296484025
Clostridium phytofermentans,5.438725028,5.895272866,5.307733685,-0.510887214,0.666566987,-0.708538164,0.213541727,0.052581587,0.526111727,0.015296212,0.296711336
Ferrimonas balearica,-0.868938694,-1.32698463,-0.538415646,0.727017095,1.058397233,0.672412894,0.221066377,0.020159953,0.494986829,0.016235507,0.297262619
Yersinia pestis,-0.83246576,-1.181211395,-0.520929601,0.590475784,0.812148218,0.536077405,0.219765987,0.029328515,0.496229538,0.018663275,0.298223802
Bacillus anthracis,-0.756763266,-0.620475237,-0.855162779,-0.212930523,0.278570916,-0.604253238,0.216145893,0.030467977,0.499199574,0.018214891,0.298745792
Clostridium hiranonis,1.074614831,1.189257802,1.033932811,-0.141540548,0.224899204,-0.507556366,0.21066326,0.203925955,0.746254914,0.018206865,0.299863863
Clostridium acetobutylicum,3.104929474,3.175677701,3.031813765,-0.144547797,0.230577805,-0.575220535,0.213264039,0.13625277,0.670677534,0.018657121,0.300640962
Citrobacter koseri,-1.220105851,-1.313608725,-1.035992877,0.331277784,0.474421218,0.579647024,0.221354224,0.032200622,0.499377257,0.019553513,0.300723578
Marinomonas sp. MWYL1,-0.584876905,-0.646051732,-0.337106059,0.295684013,0.394893458,0.646198877,0.216145893,0.012472715,0.494986829,0.018992918,0.301260241
Photobacterium profundum,0.425709942,0.199764433,0.55732752,0.40210745,0.594514378,0.606719685,0.222656307,0.027799109,0.495256289,0.020548793,0.301413606
Thauera sp. MZ1T,-1.859268791,-1.970643144,-1.741495962,0.229278785,0.376553299,0.618422782,0.218465598,0.022463502,0.496499346,0.020191287,0.302393039
Aliivibrio fischeri,-0.315461313,-0.561529332,-0.032865796,0.481481097,0.755227615,0.521710276,0.228868715,0.029838782,0.495877429,0.020705311,0.30258592
Pasteurella multocida,-0.553964041,-0.91359444,-0.354450337,0.554910447,0.764794072,0.57951533,0.227568325,0.028300846,0.495853808,0.021009108,0.302621599
Shewanella loihica,-0.989467554,-1.346395659,-0.87329141,0.43035025,0.596267483,0.565596653,0.221066377,0.039446398,0.504991831,0.020312969,0.302701293
Paenibacillus sp. JDR-2,2.094871703,2.233515578,2.052932753,-0.20570139,0.260547372,-0.691210765,0.224967546,0.129506626,0.660452146,0.02261683,0.303008886
Trichomonas vaginalis,0.678068693,1.567394485,0.002369246,-1.264418899,1.985050917,-0.58126955,0.210937561,0.049916444,0.523791871,0.021125301,0.3032443
Bacillus thuringiensis,0.799369297,0.934131865,0.733214217,-0.203561272,0.329093144,-0.641338397,0.236671053,0.028687021,0.496457922,0.022525645,0.303977767
Bifidobacterium breve,-1.536699854,-1.463625342,-1.638656271,-0.399575466,0.584826993,-0.634334823,0.215864819,0.011449392,0.494986829,0.021989601,0.304096097
Bacillus amyloliquefaciens,0.718247254,0.796475663,0.651556914,-0.135382033,0.175888882,-0.621067026,0.220052141,0.123879895,0.648276613,0.022847997,0.304450659
Streptococcus gordonii,-0.153568087,-0.067129895,-0.242130244,-0.153871868,0.196269615,-0.59200697,0.226267935,0.206742946,0.745400499,0.023186838,0.305337223
Serratia odorifera,-2.047209045,-2.38886893,-1.811044644,0.582574604,0.938903772,0.575197435,0.216145893,0.031594412,0.497472028,0.023688416,0.305951635
Staphylococcus saprophyticus,-0.784838064,-0.721997071,-0.852634809,-0.145252888,0.272835203,-0.574266369,0.209635479,0.023306179,0.495922154,0.022706449,0.306020078
Aeromonas hydrophila,0.5683358,0.173503432,0.896460665,0.776638304,1.185315892,0.620661639,0.236979218,0.023771839,0.49500328,0.02393371,0.306066611
Paenibacillus polymyxa,1.464330855,1.530512738,1.428953568,-0.12667022,0.203429268,-0.505683496,0.219765987,0.379395648,0.841098263,0.023266271,0.306348112
Serratia proteamaculans,-0.439331328,-0.603471763,-0.290619308,0.314482679,0.4761257,0.535970349,0.225260472,0.052071358,0.524358358,0.024790579,0.307781762
Thermosynechococcus elongatus,-0.874543165,-0.802155892,-0.922865271,-0.197767017,0.373778394,-0.705679354,0.222366767,0.013466868,0.495070843,0.02450054,0.309560298
Enterobacter cloacae,-1.488553127,-1.720893714,-1.339910928,0.366741743,0.600470634,0.534071605,0.231770887,0.031422546,0.497858742,0.025323503,0.310643777
Clostridium asparagiforme,4.090175418,4.280637098,3.950437652,-0.184308379,0.323113059,-0.507800173,0.231469494,0.314305711,0.819068898,0.028076991,0.311689492
Pseudomonas syringae group genomosp. 3,-1.770998572,-2.115072516,-1.506398115,0.518592372,0.805248868,0.595547044,0.240572222,0.035457719,0.500902709,0.028135639,0.312541501
Clostridium papyrosolvens,1.9579199,2.064175709,1.901384734,-0.165297109,0.249152505,-0.498729933,0.232769884,0.250195196,0.7801615,0.02723437,0.312639987
Tolumonas auensis,0.855411551,0.154523653,1.279809442,1.07173919,1.407243314,0.599555384,0.236979218,0.020273177,0.494986829,0.029214753,0.312746377
Clostridium beijerinckii,4.046284507,4.19813322,3.913004298,-0.240545834,0.289675327,-0.655567314,0.247395881,0.147835947,0.691544247,0.029067457,0.312995039
Aeromonas salmonicida,0.737037243,0.129626044,0.937616592,0.744109854,1.262259571,0.57284205,0.237971442,0.030897393,0.496240177,0.030300443,0.314039689
Gardnerella vaginalis,0.361752286,0.436317895,0.265746209,-0.200950787,0.310726883,-0.641892388,0.235370663,0.031512807,0.498405971,0.030369792,0.315638388
Grimontia hollisae,-1.778933037,-2.32018927,-1.385703193,0.97042094,1.479304734,0.617612945,0.24577378,0.022309871,0.494994664,0.030216308,0.315858958
Shewanella pealeana,-1.306637694,-1.558819344,-1.100048856,0.37148404,0.592270531,0.523669831,0.230468804,0.039196052,0.50495383,0.028348107,0.315923504
Vibrio harveyi,-1.083750639,-1.197334007,-0.816138607,0.390151296,0.628497346,0.555398427,0.228868715,0.033849599,0.498720699,0.02925791,0.31594786
Fusobacterium nucleatum,2.210075677,2.285186914,2.148508509,-0.134490763,0.209374751,-0.49186406,0.241872611,0.271456664,0.792054218,0.031238814,0.317111087
Pseudoalteromonas tunicata,-1.68840494,-1.916697973,-1.360181254,0.557046041,0.862825549,0.565550395,0.24967495,0.023119248,0.495118825,0.030506734,0.31783403
Catenulispora acidiphila,-1.457512323,-1.252485882,-1.555546366,-0.297778003,0.42316497,-0.692840221,0.231770887,0.01786808,0.494986829,0.030293093,0.31805729
Eubacterium eligens,4.661803875,4.941748011,4.527666792,-0.36568762,0.577380783,-0.543470398,0.234070273,0.11735842,0.64408548,0.032454049,0.318209494
Methylibium petroleiphilum,-1.49723104,-1.580910741,-1.388319721,0.201657359,0.33960278,0.560460914,0.231770887,0.065510267,0.545533991,0.029688255,0.31907076
Klebsiella pneumoniae,-0.30182714,-0.52181807,-0.234671416,0.309307796,0.583677235,0.400628956,0.235677135,0.064243478,0.541390011,0.031277989,0.320389612
Idiomarina loihiensis,-0.90370194,-1.291228911,-0.587537014,0.546511351,0.922862734,0.508617928,0.244791715,0.042318963,0.510851157,0.033213713,0.32101839
Alteromonas macleodii,-0.839894141,-1.342708539,-0.579341218,0.703147104,0.981615102,0.585846464,0.240572222,0.02418343,0.494994664,0.033302217,0.323620252
Pseudoalteromonas haloplanktis,-1.246828924,-1.615399227,-0.99838608,0.591640938,0.80399611,0.580816412,0.255208379,0.040811451,0.507638912,0.03537861,0.324559599
Acidithiobacillus ferrooxidans,-1.800796516,-1.940550243,-1.734584345,0.205640166,0.298329701,0.583600401,0.243173001,0.110660332,0.622358125,0.034938085,0.326411708
Edwardsiella ictaluri,-1.898517339,-2.177966074,-1.757528732,0.427799605,0.67453814,0.530490546,0.254876508,0.048855303,0.518647082,0.035740154,0.326607519
Photobacterium angustum,-1.625152019,-2.19273783,-1.349930858,0.677603336,0.954200732,0.61543129,0.260078067,0.025152985,0.495089606,0.036360519,0.3305844
Eubacterium hallii,3.064513283,3.220178294,2.963291803,-0.250266552,0.364818761,-0.487410155,0.248697964,0.235489737,0.772677531,0.03768157,0.330829077
Haemophilus parasuis,-0.951984279,-1.244302988,-0.748791838,0.531713924,0.905292301,0.584018117,0.246093798,0.032534959,0.497621674,0.037434266,0.330870785
Herpetosiphon aurantiacus,-0.573341315,-0.49539304,-0.616199451,-0.135415495,0.214380929,-0.623046956,0.240885467,0.019157585,0.496444812,0.036072011,0.331548872
Haemophilus ducreyi,-1.729873557,-2.072146075,-1.556705808,0.456773113,0.741607787,0.480938594,0.24967495,0.040699364,0.506096384,0.036916769,0.332375335
Clostridium botulinum,4.480656529,4.574809189,4.424076675,-0.168591917,0.296544692,-0.497734001,0.248697964,0.174542872,0.717143617,0.039660128,0.334670808
Vibrio vulnificus,-0.4153649,-0.614284271,-0.246544105,0.336469781,0.544493288,0.523286837,0.24967495,0.045324924,0.515225471,0.040037723,0.336596611
Psychromonas sp. CNPT3,-1.703263331,-2.11443513,-1.392437521,0.694439054,1.095399267,0.56582967,0.257477288,0.030446093,0.496859988,0.042550112,0.340726232
Bacillus pseudofirmus,-0.329953378,-0.243086397,-0.373079249,-0.135228346,0.221875268,-0.509315917,0.250000047,0.161253688,0.697981629,0.043973829,0.34298144
Sodalis glossinidius,-1.361024076,-1.759866085,-1.300741081,0.463136666,0.634351447,0.569016372,0.265625042,0.06336024,0.539627749,0.044216968,0.343419394
Pectobacterium atrosepticum,-0.650307228,-0.851154408,-0.517393057,0.354697109,0.63923908,0.460856485,0.248697964,0.073933512,0.556405773,0.042781584,0.343575167
Photobacterium damselae,-2.292713486,-2.585149385,-1.848417306,0.896528188,1.281798418,0.615337527,0.244473391,0.022094153,0.49500328,0.043869534,0.343657185
Chlorobium limicola,-1.764642506,-1.811977248,-1.679706785,0.141519027,0.223789302,0.508021307,0.260078067,0.060707619,0.539600582,0.045200633,0.346323175
Zymomonas mobilis,-1.942815615,-2.048776878,-1.795731919,0.218594528,0.355506729,0.48829039,0.24218755,0.10158959,0.61134951,0.045028704,0.34796554
Clostridium sp. M62/1,3.903545413,4.057969537,3.789156431,-0.277675418,0.401962397,-0.575628251,0.260078067,0.157406151,0.703287003,0.045715483,0.349049892
Vibrio splendidus,-1.024248284,-1.316504719,-0.944956459,0.38250229,0.69772623,0.480569256,0.259114628,0.032273256,0.4989777,0.046561172,0.349176812
Geobacillus sp. WCH70,-0.104396807,-0.050926648,-0.154897296,-0.10827704,0.191544081,-0.450372143,0.24707417,0.380975612,0.839708954,0.04642189,0.350468661
gamma proteobacterium HdN1,-1.5930886,-1.719579797,-1.443419127,0.273089657,0.508872394,0.458541851,0.261378457,0.052759123,0.524203743,0.048417134,0.35506563
Pseudomonas mendocina,-0.948885217,-1.024246389,-0.818049591,0.216216383,0.446153878,0.421178992,0.261718794,0.092056145,0.59582491,0.050748996,0.357762973
Yersinia enterocolitica,-1.316216585,-1.463853848,-1.193768647,0.265527253,0.503034062,0.414746561,0.258777678,0.051854141,0.523558523,0.053061022,0.361515663
Alcanivorax borkumensis,-1.486487236,-1.659132839,-1.221684724,0.274808375,0.554265976,0.46351049,0.254876508,0.085745966,0.582099218,0.052521286,0.362132997
Clostridium sticklandii,1.907818713,1.995457646,1.864355369,-0.144691981,0.330338024,-0.428529456,0.256510462,0.360524484,0.835086802,0.052498924,0.362580188
Pseudoalteromonas atlantica,-0.495156424,-0.902804805,-0.250110562,0.630089012,0.869873228,0.604288216,0.258777678,0.032856758,0.497429307,0.053009805,0.363830437
Peptoniphilus lacrimalis,-0.700497609,-0.630157155,-0.823063523,-0.302016472,0.479076907,-0.507704217,0.262678847,0.128176453,0.658476024,0.054464111,0.366125048
Meiothermus silvanus,-1.376468472,-1.316280651,-1.443749056,-0.143420548,0.275684832,-0.476436884,0.255208379,0.046099159,0.518119016,0.055286797,0.367451725
Colwellia psychrerythraea,-0.794120411,-1.245551078,-0.686382115,0.53481745,0.8437573,0.521940855,0.269531291,0.04205716,0.509542135,0.056341499,0.369900667
Acinetobacter sp. ADP1,-1.722275993,-1.81263948,-1.391407064,0.45344256,0.716955415,0.518579509,0.269180796,0.064220682,0.540445188,0.05796458,0.372017847
Blautia hydrogenotrophica,3.520906205,3.705891222,3.457059227,-0.242449054,0.473342279,-0.445593425,0.275682744,0.114577524,0.640969658,0.057863208,0.373862601
Paenibacillus sp. Y412MC10,1.759180059,1.884755113,1.727887418,-0.153441121,0.239233456,-0.507692861,0.274382355,0.305766895,0.810894475,0.058194746,0.373918764
Jonquetella anthropi,-1.117071186,-1.194100683,-1.035008522,0.146951563,0.237609866,0.614707632,0.265279626,0.047336332,0.520130036,0.057779598,0.374325085
Bifidobacterium dentium,1.249209836,1.404027054,1.152735518,-0.22117022,0.456951997,-0.390010566,0.263020877,0.051100163,0.52478121,0.059089214,0.375615082
Clostridium saccharolyticum,5.607516955,5.737058716,5.539242706,-0.205930172,0.347692287,-0.461920925,0.272135457,0.292409612,0.804679721,0.059306039,0.376047244
Acidovorax sp. JS42,-1.135775952,-1.210909236,-1.028434631,0.198159511,0.419645668,0.400313017,0.259114628,0.194685824,0.735781281,0.059621202,0.376494312
Pseudomonas stutzeri,-1.001256255,-1.130264065,-0.930165355,0.175985494,0.335916997,0.370897661,0.265279626,0.196260344,0.735208718,0.0606911,0.376902442
Selenomonas sp. oral taxon 149,0.820496224,0.600702519,0.945707459,0.396119693,0.736191251,0.506360027,0.283485083,0.093175628,0.599145202,0.060983376,0.378489717
Oceanobacillus iheyensis,0.890716037,0.930656279,0.8646506,-0.079397037,0.171394747,-0.446823537,0.272135457,0.064685813,0.542874139,0.061117799,0.378854994
Bifidobacterium angulatum,-1.713657061,-1.622963438,-1.893915557,-0.370933794,0.700986203,-0.452039749,0.274382355,0.037403741,0.503759838,0.061170888,0.379455136
Shewanella amazonensis,-0.841763284,-1.119156713,-0.59997171,0.428206663,0.725511145,0.439097057,0.273081965,0.067118014,0.546231607,0.061512111,0.380123348
Anaerofustis stercorihominis,1.591949503,1.685144329,1.496746876,-0.156932163,0.347250064,-0.457523347,0.267880406,0.103988689,0.621723648,0.062454786,0.380481622
Cronobacter sakazakii,-0.731929688,-0.922365975,-0.535880937,0.315390552,0.602324991,0.438990008,0.263979237,0.074034667,0.555896586,0.062471751,0.381836368
Butyrivibrio crossotus,2.785131355,3.040028136,2.448249012,-0.545461023,0.820300907,-0.574767004,0.281250038,0.080944564,0.568381966,0.063358083,0.38267256
Vibrio parahaemolyticus,-0.573152523,-0.781514185,-0.287828198,0.446194199,0.728686561,0.513353506,0.279583914,0.045830258,0.516102292,0.062748356,0.383019217
Eubacterium ventriosum,2.674208211,2.931452423,2.475496191,-0.442239017,0.692396696,-0.568219744,0.27343754,0.100702916,0.6185005,0.063470474,0.383868664
Mannheimia succiniciproducens,-0.116033346,-0.258254525,0.116772866,0.286124356,0.565030604,0.445263458,0.280884303,0.058403154,0.533378626,0.063724105,0.385226283
Thermotoga lettingae,-1.073270077,-0.990688874,-1.159233399,-0.189731585,0.354874379,-0.515012167,0.285156287,0.083948602,0.577866417,0.065471208,0.386840561
Leptotrichia buccalis,0.993444786,1.114982006,0.931077091,-0.130441797,0.229026341,-0.35539889,0.275682744,0.648802024,0.929905159,0.065098402,0.386919487
Selenomonas sp. oral taxon 137,1.138354685,0.915954887,1.332080831,0.44031209,0.867563466,0.457052054,0.282552121,0.054338652,0.528845648,0.065555095,0.387928595
Salmonella enterica,0.396142928,0.26778963,0.468010698,0.194227636,0.39106143,0.375766546,0.265279626,0.136524746,0.671433891,0.065852779,0.388185538
Streptococcus sanguinis,0.162577931,0.221455348,0.070943674,-0.133915318,0.236883451,-0.504873806,0.276983134,0.138885867,0.67162519,0.065255071,0.388252092
Clostridium cellulovorans,3.062729588,3.20523405,3.017180964,-0.204239048,0.360380618,-0.466764785,0.266580016,0.389610212,0.845256468,0.067045902,0.390303614
Histophilus somni,-0.38705116,-0.687266174,-0.257289739,0.430536854,0.782174091,0.490474193,0.287760453,0.057584588,0.532376542,0.069566496,0.395443924
Bacteroides pectinophilus,3.261049828,3.467083461,3.056350832,-0.432701332,0.788538031,-0.487823746,0.278645872,0.120328986,0.647928879,0.069498978,0.395803186
Mannheimia haemolytica,-1.453550528,-1.615754665,-1.192638167,0.348510365,0.720262703,0.449995141,0.279947955,0.07455745,0.558942764,0.07170672,0.400438221
Chlorobaculum tepidum,-0.467694121,-0.51211781,-0.388997208,0.116561838,0.222352943,0.476335262,0.274739623,0.112198383,0.627301634,0.073257117,0.4005477
Desulfurivibrio alkaliphilus,-1.187403025,-1.276023454,-1.140104884,0.155138483,0.328892023,0.40935538,0.289062536,0.064821144,0.545156472,0.073331019,0.40163061
Leptospira biflexa,-1.813068849,-1.970498918,-1.655614619,0.299047839,0.542057788,0.45906372,0.279583914,0.072349205,0.556683721,0.073460166,0.403107345
Pseudomonas fluorescens,0.018639167,-0.039389425,0.139984992,0.161835383,0.317263051,0.380836857,0.288686642,0.140717903,0.677327675,0.074077457,0.404765745
Legionella pneumophila,-0.911157933,-0.984450929,-0.745926797,0.299436067,0.562699432,0.495994801,0.276983134,0.039976782,0.507455471,0.076402957,0.40792988
Dickeya dadantii,-0.887184756,-1.140894828,-0.735341839,0.305517676,0.623543756,0.443196666,0.292968785,0.072618337,0.554777223,0.076654607,0.409785122
Clostridium proteoclasticum,5.557111017,5.793070641,5.333448466,-0.426501422,0.741915256,-0.513972039,0.272135457,0.133748418,0.667203101,0.077420413,0.410360875
Listeria welshimeri,-0.462453416,-0.36610247,-0.49325691,-0.123116541,0.212390386,-0.464131884,0.271781575,0.186523922,0.721266117,0.07884435,0.410820926
Kangiella koreensis,-1.966097858,-2.090039281,-1.679931741,0.39783928,0.868144634,0.468390735,0.283854204,0.051870869,0.525205771,0.077444953,0.411750045
Reinekea blandensis,-1.307496319,-1.407850944,-1.251234743,0.157909632,0.33743291,0.376511849,0.276983134,0.093431244,0.597159543,0.07808988,0.412175828
Clostridium sp. 7_2_43FAA,0.495618591,0.699292546,0.436088941,-0.210592172,0.363626629,-0.535987497,0.279947955,0.080310696,0.569450659,0.078576296,0.412981743
Escherichia coli,1.070133511,1.033056743,1.121362063,0.266328996,0.501849113,0.415687017,0.289987032,0.064098663,0.540960846,0.078952453,0.415151818
Shewanella baltica,-0.863392533,-1.128855382,-0.695979729,0.408027545,0.728804523,0.450221513,0.287386252,0.059901097,0.534954613,0.078857593,0.415242427
Bacillus selenitireducens,-0.071905828,-0.03263022,-0.155132158,-0.131943798,0.256634208,-0.478491887,0.28645837,0.277757637,0.7933701,0.079497448,0.415494447
Methylobacillus flagellatus,-1.427049696,-1.528295911,-1.365745175,0.157127946,0.3150587,0.356296094,0.283854204,0.246539534,0.775083305,0.081144224,0.415951589
Psychromonas ingrahamii,-0.26222469,-0.514312577,-0.111281748,0.390045396,0.736276673,0.464177307,0.278645872,0.040897023,0.508073627,0.079639237,0.415987121
Blautia hansenii,3.39221159,3.525304042,3.174304742,-0.361880395,0.625172226,-0.53036373,0.295572951,0.124523314,0.653258254,0.082524449,0.421522021
Clostridium sp. L2-50,2.690366283,3.033468425,2.562286519,-0.406721981,0.725053056,-0.505579269,0.288686642,0.158069673,0.703325177,0.082440464,0.42170544
Parvibaculum lavamentivorans,-1.24261483,-1.326692202,-1.194745382,0.140796117,0.326826654,0.386047612,0.270833374,0.228978985,0.761314263,0.083576042,0.422584361
Laribacter hongkongensis,-1.661849059,-1.741817478,-1.612547943,0.216429004,0.483729146,0.374835094,0.288686642,0.155044745,0.69373066,0.085394164,0.425490068
Bordetella bronchiseptica,-1.389561628,-1.454513893,-1.335687733,0.132160214,0.387497317,0.313957957,0.276983134,0.442435032,0.864370378,0.087530037,0.427280888
Hahella chejuensis,-0.331581774,-0.359871188,-0.265845705,0.088813143,0.183761964,0.35420129,0.28645837,0.129445304,0.657667037,0.088968766,0.430556798
Oxalobacter formigenes,-0.029693378,-0.0910357,0.027313667,0.094374018,0.225791858,0.354533693,0.291287422,0.145296814,0.679436177,0.089182852,0.431489009
Clostridium difficile,4.25489231,4.346110128,4.224493535,-0.130233716,0.312700197,-0.385383991,0.296875034,0.262317606,0.786613094,0.088460798,0.434500747
Archaeoglobus fulgidus,-1.390630629,-1.489494536,-1.230781315,0.217641269,0.392144536,0.501047023,0.288686642,0.123606516,0.647675743,0.089406154,0.434811643
Teredinibacter turnerae,-1.587690947,-1.757296169,-1.473381777,0.211608227,0.452292761,0.452876861,0.278283524,0.092449333,0.594401938,0.091913354,0.437251046
Arthrobacter aurescens,-1.133795848,-0.895006682,-1.180638201,-0.305247445,0.617787814,-0.426746366,0.288686642,0.058669064,0.534144476,0.090182326,0.437481435
Aggregatibacter aphrophilus,-2.018619825,-2.167145774,-1.77467568,0.317803435,0.76114969,0.37168988,0.312500031,0.102810124,0.616467695,0.092869365,0.442013359
Cupriavidus metallidurans,-1.361356037,-1.413646729,-1.260414805,0.145257581,0.353621055,0.354839802,0.283485083,0.413196293,0.8533172,0.0971776,0.444617527
Idiomarina baltica,-1.701523913,-2.169020025,-1.434079496,0.65922431,1.185983824,0.497573355,0.2994792,0.062854361,0.539601559,0.093893818,0.444648146
Pectobacterium carotovorum,-1.920233505,-2.064824549,-1.793306467,0.247357671,0.540505831,0.41010429,0.286085863,0.091053299,0.593158724,0.09533751,0.444888321
Chromohalobacter salexigens,-0.9794148,-1.058882397,-0.88653524,0.178099465,0.386939028,0.353119576,0.296875034,0.123096998,0.650223288,0.096938252,0.448768396
Burkholderia glumae,-2.015291605,-2.082148722,-1.766149266,0.292402571,0.628307507,0.443432016,0.293888201,0.091009218,0.592594557,0.102105617,0.455487962
Thermotoga maritima,0.146091271,0.175458195,0.1163949,-0.068342444,0.155711445,-0.352178441,0.30169054,0.099655192,0.606812943,0.107934694,0.455804448
Desulfohalobium retbaense,-0.673904074,-0.601914343,-0.744786629,-0.15431463,0.452722571,-0.323499548,0.2994792,0.137508742,0.672211276,0.101076206,0.455978109
Coprobacillus sp. D7,0.821419668,0.915207144,0.737463018,-0.159225244,0.360588861,-0.481555324,0.291666702,0.09037961,0.590381926,0.100458378,0.457519781
Dechloromonas aromatica,-0.589839028,-0.648890851,-0.47255954,0.155704468,0.351229163,0.436642373,0.292968785,0.185702808,0.726113597,0.1027181,0.460326439
Bordetella avium,-1.983953401,-2.110081506,-1.93156569,0.179758724,0.394005334,0.387082873,0.295572951,0.106785756,0.621414937,0.106614562,0.463733043
