,rab.all,rab.win.CON,rab.win.MIX,diff.btw,diff.win,effect,overlap,we.ep,we.eBH,wi.ep,wi.eBH
00230 Purine metabolism [PATH:ko00230],6.683605204,6.662847272,6.750644827,0.080575956,0.211760326,0.385554286,0.323797167,0.103486332,0.440506249,0.144104968,0.466203241
00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970],7.556011568,7.483615512,7.582033526,0.110429523,0.247342459,0.421863767,0.309492879,0.213885759,0.553028181,0.152435166,0.47537482
04122 Sulfur relay system [PATH:ko04122],4.262658056,4.234659942,4.274110661,0.174085465,0.488383481,0.355756199,0.326397947,0.215562761,0.555421363,0.160257136,0.486554619
00740 Riboflavin metabolism [PATH:ko00740],3.074791922,3.03568787,3.216203151,0.131520735,0.413033384,0.310913239,0.336801066,0.189643735,0.530809795,0.170649704,0.494146054
00730 Thiamine metabolism [PATH:ko00730],3.900615596,3.846894792,3.976837358,0.113136709,0.265788346,0.339188492,0.33333336,0.641377117,0.852201256,0.175059196,0.505294796
05200 Pathways in cancer [PATH:ko05200],0.847227425,0.302102109,0.907470188,0.420682289,0.863979808,0.563824726,0.322916695,0.088920713,0.433749966,0.178413541,0.508860225
00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630],3.390479518,3.379954263,3.390479518,0.135316484,0.305625138,0.443206156,0.334200286,0.111387485,0.450674351,0.178117174,0.509983882
00920 Sulfur metabolism [PATH:ko00920],1.379306054,1.405234572,1.244114182,-0.246567991,0.553812387,-0.408940774,0.339401846,0.172881687,0.510634421,0.183567535,0.512595082
00908 Zeatin biosynthesis [PATH:ko00908],2.132065865,2.091986215,2.139307063,0.171317189,0.422413071,0.433733199,0.336801066,0.130584626,0.472817205,0.186579709,0.517309039
00941 Flavonoid biosynthesis [PATH:ko00941],-4.419845404,-4.772939779,-4.254813993,0.530024212,1.343086166,0.35725576,0.332899896,0.188188454,0.526217818,0.208868035,0.5282946
00450 Selenocompound metabolism [PATH:ko00450],2.435541416,2.396558697,2.457087572,0.135341855,0.329941819,0.409338489,0.342002626,0.07088719,0.429230651,0.200156912,0.529689952
05219 Bladder cancer [PATH:ko05219],-2.645874981,-2.569497974,-2.713900624,-0.184749975,0.524266065,-0.316571215,0.341145858,0.190508029,0.529581215,0.217767525,0.534557804
04140 Regulation of autophagy [PATH:ko04140],-7.28856011,-6.714997541,-7.684173635,-0.945970238,2.70991892,-0.272118931,0.339843775,0.146928145,0.492976186,0.23570414,0.547884821
04626 Plant-pathogen interaction [PATH:ko04626],2.620720956,2.501762768,2.706141597,0.236160638,0.606185104,0.386402649,0.347204185,0.126633799,0.467786883,0.227036678,0.557988428
04120 Ubiquitin mediated proteolysis [PATH:ko04120],-2.436717338,-2.26139318,-2.658800852,-0.333151205,1.010289522,-0.270824197,0.347204185,0.491384122,0.771614173,0.231902677,0.558952291
00900 Terpenoid backbone biosynthesis [PATH:ko00900],5.027421267,4.996709571,5.068157212,0.096011867,0.300689728,0.303267988,0.345052108,0.222170073,0.561315939,0.232476678,0.561989085
04020 Calcium signaling pathway [PATH:ko04020],-4.194343051,-4.02296665,-4.448089881,-0.440335117,0.950696175,-0.417144048,0.35026044,0.274739168,0.602765327,0.249262819,0.563001781
03022 Basal transcription factors [PATH:ko03022],-5.723372593,-5.450275904,-6.013107564,-0.608645918,1.703963046,-0.339818567,0.347204185,0.211650706,0.548023809,0.251814747,0.567370208
00010 Glycolysis / Gluconeogenesis [PATH:ko00010],5.863408287,5.819753302,5.88836643,0.069098168,0.21857066,0.300292936,0.343750024,0.25343973,0.59117511,0.242060052,0.568068946
00300 Lysine biosynthesis [PATH:ko00300],5.677768761,5.648883125,5.692752555,0.071753782,0.216125683,0.307842788,0.347204185,0.180889643,0.522869268,0.246056527,0.573468882
03018 RNA degradation [PATH:ko03018],5.978915671,5.944671339,6.016502688,0.067092421,0.195330597,0.308800137,0.347204185,0.377342868,0.698583808,0.250515012,0.578088803
03410 Base excision repair [PATH:ko03410],4.350833858,4.30408706,4.391103686,0.093625492,0.290524011,0.278718433,0.353706134,0.447507969,0.744198136,0.252180267,0.578896797
00562 Inositol phosphate metabolism [PATH:ko00562],0.711935748,0.545226059,0.837613002,0.273409805,0.855152871,0.297807258,0.366710033,0.375216893,0.69997416,0.265882653,0.593171345
04070 Phosphatidylinositol signaling system [PATH:ko04070],1.465888546,1.405429903,1.510378969,0.128212266,0.470921145,0.286824056,0.358072938,0.259740403,0.596243728,0.280675179,0.599573504
00540 Lipopolysaccharide biosynthesis [PATH:ko00540],3.14623558,2.995928886,3.254666929,0.217947013,0.508938,0.420950283,0.369791686,0.162275336,0.505809177,0.277288996,0.600550004
00680 Methane metabolism [PATH:ko00680],3.663132714,3.578827962,3.672080582,0.131576244,0.33813735,0.328027244,0.364583354,0.439743339,0.741652328,0.277758106,0.600810232
00040 Pentose and glucuronate interconversions [PATH:ko00040],5.098929977,5.019030444,5.118738389,0.129121612,0.434244886,0.293225748,0.365409643,0.192202762,0.534055165,0.29051839,0.610154306
00633 Nitrotoluene degradation [PATH:ko00633],0.688463883,0.509100002,0.804069077,0.281437704,0.966908041,0.29101712,0.358072938,0.581836569,0.824441921,0.290529027,0.615401574
03013 RNA transport [PATH:ko03013],1.870816431,1.829392338,1.922498395,0.095502702,0.384356681,0.198307654,0.371911593,0.359503406,0.688746011,0.297786756,0.615990176
00564 Glycerophospholipid metabolism [PATH:ko00564],3.848317919,3.826149481,3.891410029,0.066348893,0.336373397,0.21141636,0.377604185,0.289440449,0.627619842,0.319944866,0.630970792
00760 Nicotinate and nicotinamide metabolism [PATH:ko00760],4.816301138,4.745797271,4.83434066,0.09196301,0.276214311,0.332118526,0.365885437,0.258777855,0.596528137,0.326222396,0.639393044
05134 Legionellosis [PATH:ko05134],1.438782183,1.3217488,1.608753739,0.217925996,0.932209347,0.222111241,0.381510434,0.373154354,0.696439837,0.325206391,0.640080122
00361 Chlorocyclohexane and chlorobenzene degradation [PATH:ko00361],-2.519871884,-2.618669009,-2.465830664,0.186318949,0.630657619,0.231835448,0.385416684,0.184621315,0.52319614,0.343475527,0.645242652
00910 Nitrogen metabolism [PATH:ko00910],0.49549296,0.797867237,0.432525369,-0.195642403,0.629953635,-0.193834361,0.374512373,0.136436799,0.478114993,0.332713978,0.64554484
00100 Steroid biosynthesis [PATH:ko00100],-6.449291093,-6.263918947,-6.730210823,-0.42182989,1.468946472,-0.23109263,0.37109377,0.33553882,0.647187657,0.376964112,0.655934102
04066 HIF-1 signaling pathway [PATH:ko04066],3.549255129,3.523506419,3.566267105,0.04772203,0.220901006,0.186309651,0.374512373,0.381766833,0.703926071,0.353512537,0.656619874
00312 beta-Lactam resistance [PATH:ko00312],-2.577809782,-3.067266859,-2.478004751,0.530293344,2.181959714,0.25081976,0.386215882,0.454863437,0.751252809,0.351362605,0.659327869
05030 Cocaine addiction [PATH:ko05030],-7.542453925,-7.384160271,-7.706428807,-0.502404342,2.094948469,-0.182157857,0.385416684,0.251553091,0.573998345,0.393765421,0.665577053
00643 Styrene degradation [PATH:ko00643],-7.288563613,-7.530406107,-7.094714125,0.504090087,1.934044884,0.206886065,0.379713932,0.522590704,0.755212052,0.399449033,0.673033338
00020 Citrate cycle (TCA cycle) [PATH:ko00020],4.587075254,4.527480748,4.623537806,0.066305212,0.261146242,0.238585054,0.383615102,0.4030374,0.717087026,0.377322103,0.677973538
00521 Streptomycin biosynthesis [PATH:ko00521],4.21928932,4.178623081,4.249029842,0.136017308,0.47644402,0.255218694,0.388816661,0.337185521,0.67362729,0.380757688,0.682696725
03015 mRNA surveillance pathway [PATH:ko03015],-3.793822216,-3.595332817,-3.922095236,-0.274528281,1.162069925,-0.242322274,0.407552097,0.320315155,0.644146895,0.391221547,0.68440694
04114 Oocyte meiosis [PATH:ko04114],-7.481439387,-7.127034705,-7.712176517,-0.918338082,3.273154456,-0.237039107,0.382812518,0.383106657,0.67898056,0.39595874,0.685207842
03440 Homologous recombination [PATH:ko03440],5.592294243,5.564901245,5.592294243,0.071195492,0.255509468,0.279331971,0.386718767,0.344062915,0.676191936,0.386488624,0.685512732
02040 Flagellar assembly [PATH:ko02040],5.063257796,5.018685392,5.098940362,0.086230689,0.361047265,0.201793574,0.395833349,0.245574547,0.58529778,0.403111417,0.696950261
05111 Vibrio cholerae pathogenic cycle [PATH:ko05111],0.183420987,0.060986599,0.253627245,0.156660945,0.866697034,0.162550594,0.403645847,0.376879894,0.698765734,0.405754848,0.701026977
02020 Two-component system [PATH:ko02020],6.085936496,6.022905739,6.091604445,0.084410449,0.325583327,0.243172871,0.382314712,0.438678198,0.740228164,0.409451565,0.702534012
00780 Biotin metabolism [PATH:ko00780],2.816249962,2.756989299,2.868118947,0.100034186,0.330258726,0.266183511,0.391927099,0.498733351,0.773643163,0.413614301,0.70546773
00053 Ascorbate and aldarate metabolism [PATH:ko00053],0.417700961,0.355524484,0.529280363,0.137211221,0.54316794,0.256654283,0.391417441,0.40105686,0.712262779,0.407993451,0.705628639
03430 Mismatch repair [PATH:ko03430],4.350513588,4.321885641,4.405190751,0.071145453,0.395093603,0.177022837,0.40832251,0.336311612,0.671911685,0.423686887,0.713680158
04151 PI3K-Akt signaling pathway [PATH:ko04151],3.063723651,2.984072231,3.10316965,0.137034071,0.591534582,0.221706359,0.416666679,0.28534777,0.62562336,0.423084152,0.71563725
00830 Retinol metabolism [PATH:ko00830],-5.518159351,-5.569228535,-5.464855565,0.707385044,2.254333416,0.250207457,0.399739598,0.556496476,0.786573284,0.434016612,0.717694646
04270 Vascular smooth muscle contraction [PATH:ko04270],-7.945450716,-7.65500226,-8.318859569,-0.475470446,2.365812943,-0.167351841,0.401820561,0.589056584,0.798323,0.482408894,0.730857523
04810 Regulation of actin cytoskeleton [PATH:ko04810],-6.224011332,-5.678742097,-6.666947847,-0.587477673,2.478371909,-0.21343139,0.425781261,0.549737938,0.790859577,0.456890292,0.736544274
00500 Starch and sucrose metabolism [PATH:ko00500],5.587553152,5.544438833,5.622048324,0.06814177,0.337053425,0.190831859,0.392717831,0.439188395,0.739716334,0.457808168,0.740774104
05010 Alzheimer's disease [PATH:ko05010],-3.877249273,-3.969206432,-3.728794825,0.14750213,0.685096244,0.203319315,0.416666679,0.621062336,0.824683011,0.484594985,0.743554532
04330 Notch signaling pathway [PATH:ko04330],-6.873205166,-6.705793744,-7.520877246,-0.58255847,2.477356811,-0.231111489,0.4096229,0.476492513,0.740223944,0.488353321,0.746704715
01040 Biosynthesis of unsaturated fatty acids [PATH:ko01040],-2.809867474,-2.953916205,-2.754396085,0.349847298,1.414234561,0.23590921,0.402343764,0.336292693,0.664482022,0.468065498,0.750809515
"00960 Tropane, piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]",-2.00155384,-1.979544575,-2.037514718,-0.091474943,0.519262341,-0.137380028,0.416666679,0.367898209,0.683177648,0.500010343,0.751849948
00270 Cysteine and methionine metabolism [PATH:ko00270],5.963976989,5.973205515,5.958040993,0.086732214,0.278625421,0.247881925,0.410156263,0.158874787,0.504118683,0.476082411,0.752990371
04011 MAPK signaling pathway - yeast [PATH:ko04011],-0.664481798,-0.719347699,-0.589824798,0.108881562,0.764513866,0.149016953,0.404947931,0.450935674,0.749494476,0.487390156,0.762077607
00062 Fatty acid elongation [PATH:ko00062],-8.105959421,-8.453453937,-7.651415213,0.544643247,2.849006849,0.1423163,0.402343764,0.663804632,0.84835995,0.514286794,0.762502649
00906 Carotenoid biosynthesis [PATH:ko00906],-5.144674764,-5.281685676,-5.005015926,0.254888982,1.331718929,0.185271096,0.425781261,0.596088439,0.820444564,0.520085518,0.771433414
03008 Ribosome biogenesis in eukaryotes [PATH:ko03008],-7.041663479,-6.919452562,-7.125905548,-0.561411383,2.856209963,-0.165383491,0.425781261,0.329860821,0.643490183,0.538689798,0.777806452
04910 Insulin signaling pathway [PATH:ko04910],0.841622212,0.957097017,0.671114793,-0.151627138,0.828680096,-0.179730938,0.427828359,0.664795841,0.863102845,0.507624208,0.784096214
04622 RIG-I-like receptor signaling pathway [PATH:ko04622],-6.076037943,-5.989505011,-6.233844883,-0.385174455,1.664346494,-0.197240909,0.425781261,0.501279333,0.759857982,0.553879565,0.794237379
05410 Hypertrophic cardiomyopathy (HCM) [PATH:ko05410],-8.680711532,-8.513699683,-8.87159037,-0.178206933,2.287120648,-0.064649947,0.462938887,0.622573479,0.827584514,0.584253102,0.803402294
00624 Polycyclic aromatic hydrocarbon degradation [PATH:ko00624],-6.958389213,-6.794087314,-7.135751356,-0.217140461,1.688491923,-0.099640284,0.430429139,0.660855137,0.848556433,0.594136413,0.809170986
04614 Renin-angiotensin system [PATH:ko04614],-7.943891245,-7.813370591,-8.067077874,-0.256443181,2.077297025,-0.099515267,0.453836157,0.601423087,0.810779842,0.610975904,0.814874953
00785 Lipoic acid metabolism [PATH:ko00785],-0.596750729,-0.569731756,-0.624581282,-0.068330316,0.493238544,-0.095810118,0.427828359,0.668692075,0.86512199,0.607996809,0.838142205
05012 Parkinson's disease [PATH:ko05012],-6.290130956,-6.294204417,-6.287067568,-0.001790262,1.043177221,-0.002295595,0.498697917,0.633511941,0.82977847,0.648493698,0.838387539
00061 Fatty acid biosynthesis [PATH:ko00061],4.629602682,4.622052564,4.652860565,0.057318959,0.322788126,0.168936519,0.430989593,0.528202854,0.792998797,0.592666431,0.84259216
00480 Glutathione metabolism [PATH:ko00480],2.352183422,2.361986841,2.335876602,-0.04426249,0.349745087,-0.097300047,0.432291676,0.95562768,0.979654503,0.618775871,0.853241573
00531 Glycosaminoglycan degradation [PATH:ko00531],-1.86441762,-1.865201476,-1.862364921,-0.177348658,0.941115562,-0.176580611,0.427828359,0.662464874,0.863705925,0.620986797,0.853297931
00360 Phenylalanine metabolism [PATH:ko00360],3.379916417,3.375989554,3.383986151,0.066428265,0.321961511,0.193876114,0.425227579,0.580982244,0.823364304,0.620693787,0.858141289
04514 Cell adhesion molecules (CAMs) [PATH:ko04514],-6.768442404,-6.86117651,-6.565731471,0.245558431,2.941262274,0.067755381,0.444010425,0.724001364,0.881461328,0.689848289,0.875460835
04666 Fc gamma R-mediated phagocytosis [PATH:ko04666],-6.952567992,-6.871241156,-7.037686273,-0.337333883,2.823944774,-0.100806537,0.451235378,0.58426412,0.814193438,0.702914161,0.877225158
"00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]",5.201765297,5.324308516,5.15473515,-0.026950985,0.436260595,-0.067229132,0.449934988,0.566150817,0.821027179,0.671079182,0.880113878
03040 Spliceosome [PATH:ko03040],-3.370557642,-3.483909529,-3.319968289,-0.19835033,1.327137762,-0.169911919,0.438802092,0.540881024,0.79639518,0.676065506,0.881082771
04260 Cardiac muscle contraction [PATH:ko04260],-5.564848716,-5.5469043,-5.588779394,-0.03588721,0.942215997,-0.035639665,0.484375002,0.704536816,0.87101366,0.715239587,0.881140237
01053 Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053],-2.303687925,-2.438720302,-2.258366074,0.112101321,0.598928341,0.136088763,0.442708342,0.840515686,0.933479249,0.693027643,0.883486499
00622 Xylene degradation [PATH:ko00622],-8.137046484,-8.130627903,-8.146883788,0.060468359,3.140362632,0.015111189,0.494148245,0.66380463,0.848883286,0.728630919,0.886886796
04142 Lysosome [PATH:ko04142],2.377474155,2.322189417,2.380134085,-0.064725639,0.552840307,-0.106489446,0.438231478,0.777079763,0.912794062,0.677108651,0.88711154
00710 Carbon fixation in photosynthetic organisms [PATH:ko00710],-2.382900595,-2.154565829,-2.474977454,-0.197628834,1.409229179,-0.129597008,0.443433038,0.745087015,0.90005398,0.677383269,0.888135197
05130 Pathogenic Escherichia coli infection [PATH:ko05130],-7.875628154,-7.943016601,-7.806194415,0.228433196,3.187774402,0.063054793,0.458333339,0.657546621,0.844536662,0.723063158,0.888657953
04080 Neuroactive ligand-receptor interaction [PATH:ko04080],-3.661528102,-3.639228856,-3.67820036,0.072946266,1.081383309,0.072517704,0.466840057,0.616940126,0.833016294,0.724552417,0.891308226
00660 C5-Branched dibasic acid metabolism [PATH:ko00660],-1.833891834,-1.67469011,-1.888464648,-0.08834917,1.064310381,-0.07983833,0.459037717,0.720181187,0.886530125,0.700423712,0.891908522
00330 Arginine and proline metabolism [PATH:ko00330],5.791600819,5.792476587,5.791600819,0.053255586,0.298716961,0.178606496,0.451822924,0.495099839,0.772062256,0.692554517,0.89521956
04340 Hedgehog signaling pathway [PATH:ko04340],-6.812674704,-6.848081375,-6.745351782,-0.264071258,2.918575051,-0.079830644,0.456436937,0.677533766,0.856821007,0.738519633,0.899231109
05215 Prostate cancer [PATH:ko05215],-4.262811109,-4.222722322,-4.306644862,-0.086618957,1.10549989,-0.071553485,0.460937506,0.711285165,0.877860511,0.741223544,0.899242074
05204 Chemical carcinogenesis [PATH:ko05204],-4.010770924,-4.015069453,-4.00476938,-0.066703439,0.892420351,-0.069918834,0.464843755,0.724590557,0.88121671,0.739365033,0.899325628
"00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]",5.570472765,5.568326888,5.571025221,0.032587275,0.31700931,0.1007581,0.447916674,0.685873756,0.871694433,0.708872288,0.903379662
00561 Glycerolipid metabolism [PATH:ko00561],3.995850699,3.993089094,4.004704844,0.038600825,0.362480488,0.110364977,0.45442709,0.530916175,0.792268248,0.718493728,0.90472373
00380 Tryptophan metabolism [PATH:ko00380],-0.380872328,-0.509106885,-0.354878655,-0.099578307,0.73691306,-0.116272146,0.453125007,0.602905365,0.83451545,0.726546408,0.909176442
00510 N-Glycan biosynthesis [PATH:ko00510],0.101936355,0.053835017,0.143423002,-0.11033207,0.691021293,-0.140399906,0.443433038,0.382855698,0.70517185,0.73197272,0.910251773
05144 Malaria [PATH:ko05144],-5.181798799,-5.145992311,-5.190428098,-0.07403067,1.362480928,-0.052117613,0.47526042,0.736474061,0.88646351,0.774524629,0.911830753
00071 Fatty acid metabolism [PATH:ko00071],-3.290739258,-3.309189692,-3.277719127,0.122786706,0.96889187,0.116827774,0.466145838,0.661604727,0.854698752,0.77282348,0.917714336
00790 Folate biosynthesis [PATH:ko00790],2.746326251,2.747054769,2.746165069,0.026449201,0.237699009,0.111579954,0.449934988,0.857737676,0.94451235,0.780687509,0.918874124
