PATHWAY_SORTORDER,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID,PLATFORM,CHEMICAL_ID,RI,MASS,CAS,PUBCHEM,CHEMSPIDER,KEGG,HMDB_ID
357,1-carboxyethylvaline,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",62562,LC/MS Neg,100020423,2008,188.09283,,,,,
2554,1-docosahexaenoylglycerol (22:6),Lipid,Monoacylglycerol,35153,LC/MS Neg,100001481,6150,309.22236,,,10477810,,HMDB11587
2348,1-lignoceroyl-GPC (24:0),Lipid,Lysophospholipid,49617,LC/MS Pos Late,100002873,1907,608.46497,325171-59-3,,24766539,,HMDB10405
2320,1-linolenoyl-GPC (18:3)*,Lipid,Lysophospholipid,45951,LC/MS Pos Late,100005350,1410,518.32412,,,,,HMDB10388
2546,1-linolenoylglycerol (18:3),Lipid,Monoacylglycerol,34393,LC/MS Neg,100001435,6214,277.21728,124151-74-2,53480978,21403134,,HMDB11569
2091,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,Lipid,Phosphatidylcholine (PC),52710,LC/MS Pos Late,100009131,1969,806.56944,,,24766809,,HMDB08147
2087,1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,Lipid,Phosphatidylcholine (PC),53176,LC/MS Pos Late,100009343,1939,780.55378,,,24766802,,HMDB08141
2293,1-linoleoyl-GPA (18:2)*,Lipid,Lysophospholipid,52690,LC/MS Neg,100009082,5483,433.23606,,,24766514,,HMDB07856
2318,1-linoleoyl-GPC (18:2),Lipid,Lysophospholipid,34419,LC/MS Pos Late,100001395,1465,520.33977,,11988421,10160888,C04100,HMDB10386
2369,1-linoleoyl-GPE (18:2)*,Lipid,Lysophospholipid,36600,LC/MS Pos Late,100001570,1482,478.29282,,52925130,21403170,,HMDB11507
2408,1-linoleoyl-GPG (18:2)*,Lipid,Lysophospholipid,54885,LC/MS Neg,100009227,5516,507.27284,,,,,
2416,1-linoleoyl-GPI (18:2)*,Lipid,Lysophospholipid,36594,LC/MS Neg,100001778,5494,595.28888,,,,,
2399,1-linoleoyl-GPS (18:2)*,Lipid,Lysophospholipid,43676,LC/MS Neg,100004606,5500,520.26809,,,,,
2545,1-linoleoylglycerol (18:2),Lipid,Monoacylglycerol,27447,LC/MS Neg,100001040,6477,279.23293,2277-28-3,5283469,4446589,,
85,1-methyl-4-imidazoleacetate,Amino Acid,Histidine Metabolism,32350,LC/MS Pos Early,100001208,2064,141.06586,2625-49-2,75810,68319,C05828,HMDB02820
86,1-methyl-5-imidazoleacetate,Amino Acid,Histidine Metabolism,62946,LC/MS Pos Early,100002910,1989,141.06586,4200-48-0,6451814,4954265,,HMDB04988
3754,1-methyladenine,Nucleotide,"Purine Metabolism, Adenine containing",1527,LC/MS Pos Early,54,2133,150.07743,5142-22-3,78821,71157,C02216,HMDB11599
484,1-methylguanidine,Amino Acid,Guanidino and Acetamido Metabolism,48114,LC/MS Pos Early,100000715,2149,74.07127,22661-87-6,10111,28576,C02294,HMDB01522
67,1-methylhistidine,Amino Acid,Histidine Metabolism,30460,LC/MS Pos Early,100001051,2755,170.09241,332-80-9,92105,83153,C01152,HMDB00001
3742,1-methylhypoxanthine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",57771,LC/MS Pos Early,100004644,1530,151.06144,1125-39-9,70765,63930,,HMDB13141
3912,1-methylnicotinamide,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,27665,LC/MS Pos Early,55,1940,137.07094,1005-24-9,10129985,8305504,C02918,HMDB00699
1997,1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*,Lipid,Phosphatidylcholine (PC),53195,LC/MS Pos Late,100009139,1914,754.53813,,,24766559,,HMDB07883
1993,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),Lipid,Phosphatidylcholine (PC),19258,LC/MS Pos Late,100000672,2147,706.53813,69525-80-0,129657,114798,,HMDB07869
2537,1-myristoylglycerol (14:0),Lipid,Monoacylglycerol,35625,LC/MS Neg,100001618,6353.3,227.20163,75685-84-6,79050,71382,C01885,HMDB11561
2164,1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*,Lipid,Phosphatidylethanolamine (PE),55041,LC/MS Pos Late,100009219,2200,766.53813,,,24768534,,HMDB09069
2085,1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*,Lipid,Phosphatidylcholine (PC),52697,LC/MS Pos Late,100009130,2011,832.58509,,,24766785,,HMDB08123
2075,1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,Lipid,Phosphatidylcholine (PC),52453,LC/MS Pos Late,100008981,2165,784.58509,,,,,
2315,1-oleoyl-GPC (18:1),Lipid,Lysophospholipid,48258,LC/MS Pos Late,100001272,1540,522.35542,19420-56-5,16081932,17240641,,HMDB02815
2367,1-oleoyl-GPE (18:1),Lipid,Lysophospholipid,35628,LC/MS Pos Late,100001569,1554,480.30847,89576-29-4,9547071,7826021,,HMDB11506
2414,1-oleoyl-GPI (18:1),Lipid,Lysophospholipid,36602,LC/MS Neg,100001777,5599,597.30453,,,,,
2397,1-oleoyl-GPS (18:1),Lipid,Lysophospholipid,19260,LC/MS Neg,100000630,5607,522.28374,326589-90-6,9547099,7826049,,HMDB61694
2544,1-oleoylglycerol (18:1),Lipid,Monoacylglycerol,21184,LC/MS Neg,100000924,6650,281.24858,111-03-5,5283468,4446588,,HMDB11567
2039,1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*,Lipid,Phosphatidylcholine (PC),52683,LC/MS Pos Late,100009075,2003,756.55378,,,24766675,,HMDB08006
2306,1-palmitoleoyl-GPC (16:1)*,Lipid,Lysophospholipid,33230,LC/MS Pos Late,100001511,1450,494.32412,,24779461,21403152,,HMDB10383
2541,1-palmitoleoylglycerol (16:1)*,Lipid,Monoacylglycerol,52431,LC/MS Neg,100008952,6094,253.21727,,,,,HMDB11565
2027,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),Lipid,Phosphatidylcholine (PC),52462,LC/MS Pos Late,100008914,2091,782.56944,35418-58-7,10747814,8923140,,HMDB07982
2138,1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,Lipid,Phosphatidylethanolamine (PE),52464,LC/MS Pos Late,100008990,2198,740.52248,,9546800,7825750,,HMDB05323
2251,1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*,Lipid,Phosphatidylinositol (PI),52467,LC/MS Polar,100008993,892,857.51855,,,24767674,,HMDB09789
2023,1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*,Lipid,Phosphatidylcholine (PC),52454,LC/MS Pos Late,100008985,2199,784.58509,,,,,
2033,1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6),Lipid,Phosphatidylcholine (PC),52610,LC/MS Pos Late,100008915,2023,806.56944,59403-54-2,6441886,4946007,,HMDB07991
2140,1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*,Lipid,Phosphatidylethanolamine (PE),52465,LC/MS Pos Late,100008991,2119,764.52248,,9546799,7825749,,HMDB05324
2019,1-palmitoyl-2-gamma-linolenoyl-GPC (16:0/18:3n6)*,Lipid,Phosphatidylcholine (PC),54812,LC/MS Pos Late,100009154,2034,756.55378,,,24766645,,HMDB07974
2016,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),Lipid,Phosphatidylcholine (PC),42446,LC/MS Pos Late,1537,2160,758.56944,40811-94-7,5287971,4450224,,HMDB07973
2135,1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),Lipid,Phosphatidylethanolamine (PE),42449,LC/MS Pos Late,100001870,2275,716.52248,,9546747,7825697,,HMDB05322
2249,1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),Lipid,Phosphatidylinositol (PI),52450,LC/MS Polar,1528,910,833.51845,,,21403024,,HMDB09784
2013,1-palmitoyl-2-oleoyl-GPC (16:0/18:1),Lipid,Phosphatidylcholine (PC),52461,LC/MS Pos Late,1539,2358,760.58509,26853-31-6;26853-31-6,6436017,4940699,,HMDB07972
2133,1-palmitoyl-2-oleoyl-GPE (16:0/18:1),Lipid,Phosphatidylethanolamine (PE),19263,LC/MS Pos Late,1526,2509,718.53813,26662-94-2,5283496,4446615,,HMDB05320
2247,1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*,Lipid,Phosphatidylinositol (PI),52669,LC/MS Polar,100009066,893,835.5342,,,24767668,,HMDB09783
2010,1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,Lipid,Phosphatidylcholine (PC),52470,LC/MS Pos Late,100008984,2160,732.55378,,,,,HMDB07969
2011,1-palmitoyl-2-stearoyl-GPC (16:0/18:0),Lipid,Phosphatidylcholine (PC),52616,LC/MS Pos Late,100008921,2653,762.60074,59403-51-9,,24766643,,HMDB07970
2289,1-palmitoyl-GPA (16:0),Lipid,Lysophospholipid,34428,LC/MS Neg,100001445,5600,409.23606,17618-08-5,6419701,4925335,C04036,HMDB00327
2304,1-palmitoyl-GPC (16:0),Lipid,Lysophospholipid,33955,LC/MS Pos Late,100001263,1525,496.33977,17364-16-8,86554,78064,,HMDB10382
2358,1-palmitoyl-GPE (16:0),Lipid,Lysophospholipid,35631,LC/MS Pos Late,100001567,1544,454.29282,53862-35-4,9547069,7826019,,HMDB11503
2402,1-palmitoyl-GPG (16:0)*,Lipid,Lysophospholipid,45970,LC/MS Neg,100005717,5570,483.27284,,3300276,2548639,,
2409,1-palmitoyl-GPI (16:0),Lipid,Lysophospholipid,35305,LC/MS Neg,100001655,5564,571.28888,,,,,HMDB61695
88,1-ribosyl-imidazoleacetate*,Amino Acid,Histidine Metabolism,61868,LC/MS Pos Early,100001668,2006,259.09247,29605-99-0,5117448,4292299,C05131,HMDB02331
2061,1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),Lipid,Phosphatidylcholine (PC),42450,LC/MS Pos Late,100001869,2300,810.60074,35418-59-8,16219824,17347139,,HMDB08048
2155,1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),Lipid,Phosphatidylethanolamine (PE),52447,LC/MS Pos Late,100008977,2424,768.55378,,5289133,4451158,,HMDB09003
2266,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),Lipid,Phosphatidylinositol (PI),52449,LC/MS Polar,100000616,870,885.54948,383907-33-3,,21403055,,HMDB09815
2223,1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),Lipid,Phosphatidylserine (PS),52235,LC/MS Pos Late,100001872,2565,812.54361,,,,,HMDB12383
2067,1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),Lipid,Phosphatidylcholine (PC),52611,LC/MS Pos Late,100008916,2197,834.60128,59403-52-0,,,,HMDB08057
2159,1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*,Lipid,Phosphatidylethanolamine (PE),52466,LC/MS Pos Late,100008992,2317,792.55378,,9546798,7825748,,HMDB05334
2053,1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,Lipid,Phosphatidylcholine (PC),52452,LC/MS Pos Late,100008980,2380,786.60074,,,,,HMDB08039
2150,1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,Lipid,Phosphatidylethanolamine (PE),52446,LC/MS Pos Late,100008976,2522,744.55378,,9546749,7825699,,HMDB08994
2255,1-stearoyl-2-linoleoyl-GPI (18:0/18:2),Lipid,Phosphatidylinositol (PI),52468,LC/MS Polar,100008994,910,861.54985,,,24767694,,HMDB09809
2050,1-stearoyl-2-oleoyl-GPC (18:0/18:1),Lipid,Phosphatidylcholine (PC),52438,LC/MS Pos Late,100008904,2644,788.61639,56421-10-4,,24766704,,HMDB08038
2147,1-stearoyl-2-oleoyl-GPE (18:0/18:1),Lipid,Phosphatidylethanolamine (PE),42448,LC/MS Pos Late,100001856,2858,746.56944,,,,,HMDB08993
2240,1-stearoyl-2-oleoyl-GPG (18:0/18:1),Lipid,Phosphatidylglycerol (PG),52623,LC/MS Polar,100001866,717,775.54946,322647-48-3,,,,
2291,1-stearoyl-GPA (18:0),Lipid,Lysophospholipid,36810,LC/MS Neg,100001670,5829,437.26736,325465-92-7;799268-65-8,89567,80837,,
2313,1-stearoyl-GPC (18:0),Lipid,Lysophospholipid,33961,LC/MS Pos Late,100001271,1606,524.37107,19420-57-6,497299,435389,,HMDB10384
2365,1-stearoyl-GPE (18:0),Lipid,Lysophospholipid,42398,LC/MS Pos Late,100001461,1626,482.32412,69747-55-3,9547068,7826018,,HMDB11130
2404,1-stearoyl-GPG (18:0),Lipid,Lysophospholipid,34437,LC/MS Neg,100001462,5816,511.30414,,,21403138,,
2412,1-stearoyl-GPI (18:0),Lipid,Lysophospholipid,19324,LC/MS Neg,100000656,5794,599.32018,796963-93-4,,21403067,,HMDB61696
2396,1-stearoyl-GPS (18:0)*,Lipid,Lysophospholipid,45966,LC/MS Neg,100004327,5800,524.29939,,9547101,7826051,,
1356,10-heptadecenoate (17:1n7),Lipid,Long Chain Monounsaturated Fatty Acid,33971,LC/MS Neg,100001278,5555,267.23295,29743-97-3,5312435,4471860,,HMDB60038
1364,10-nonadecenoate (19:1n9),Lipid,Long Chain Monounsaturated Fatty Acid,33972,LC/MS Neg,100001277,5780,295.26425,73033-09-7,5312513,4471938,,HMDB13622
1333,10-undecenoate (11:1n1),Lipid,Medium Chain Fatty Acid,32497,LC/MS Neg,100001197,5085.8,183.13905,1333-28-4,14891,10771160,C13910,HMDB33724
2971,11-dehydrocorticosterone,Lipid,Corticosteroids,39779,LC/MS Neg,100002781,4732,343.19148,72-23-1,,,,
1788,"12,13-DiHOME",Lipid,"Fatty Acid, Dihydroxy",38395,LC/MS Neg,62,5137,313.23843,263399-35-5,10236635,8412123,C14829,HMDB04705
3146,12-dehydrocholate,Lipid,Secondary Bile Acid Metabolism,44644,LC/MS Neg,100001072,4871,405.26464,2458-08-4;2458-08-4,94235,85044,,HMDB00400
1872,12-HEPE,Lipid,Eicosanoid,46293,LC/MS Neg,100002165,5265,317.21221,81187-21-5,10041593,8217157,,HMDB10202
1881,12-HETE,Lipid,Eicosanoid,37536,LC/MS Neg,100002167,5326,319.22786,71030-37-0;73837-14-6,5312983,21509475,,HMDB06111
1888,12-HHTrE,Lipid,Eicosanoid,57393,LC/MS Neg,1261,5175,279.19657,54397-84-1,5283141,4446265,C20388,HMDB12535
3111,12-ketolithocholate,Lipid,Secondary Bile Acid Metabolism,63118,LC/MS Neg,100020859,5130,389.26973,5130-29-0,3080612,2338365,,HMDB00328
1813,14-HDoHE/17-HDoHE,Lipid,Docosanoid,53034,LC/MS Neg,100009278,5296,343.22786,,,,,
1759,16-hydroxypalmitate,Lipid,"Fatty Acid, Monohydroxy",39609,LC/MS Neg,100002953,5236.2,271.22786,506-13-8,10466,10034,C18218,HMDB06294
3862,2'-deoxycytidine,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",15949,LC/MS Pos Early,100000125,2193,228.09789,951-77-9,13711,13117,C00881,HMDB00014
3837,2'-deoxyuridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",1412,LC/MS Neg,536,1586,111.01997,951-78-0,13712,13118,C00526,HMDB00012
3863,2'-O-methylcytidine,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",57554,LC/MS Pos Early,100010895,2411,258.10845,2140-72-9,150971,133067,,
3825,2'-O-methyluridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",57655,LC/MS Neg,100010896,1831,257.07791,2140-76-3,102212,92343,,
5334,"2,2'-Methylenebis(6-tert-butyl-p-cresol)",Xenobiotics,Chemical,62885,LC/MS Polar,100020373,703,339.23295,119-47-1,8398,8092,,
365,"2,3-dihydroxy-2-methylbutyrate",Amino Acid,"Leucine, Isoleucine and Valine Metabolism",57547,LC/MS Neg,100010869,787,133.05063,14868-24-7,301941,266858,,HMDB29576
383,"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",62805,LC/MS Neg,100020893,1156,177.0227,,,,,
4253,"2,3-dihydroxyisovalerate",Xenobiotics,Food Component/Plant,38276,LC/MS Polar,100002417,1050,133.05063,1756-18-9,677,657,C04039,HMDB12141
5108,"2,6-dihydroxybenzoic acid",Xenobiotics,Drug - Topical Agents,63042,LC/MS Neg,100020837,2575,153.01933,303-07-1,9338,8974,,HMDB13676
4258,"2,8-quinolinediol sulfate",Xenobiotics,Food Component/Plant,48691,LC/MS Neg,100004321,2612,239.99721,,,,,
4748,2-acetamidophenol sulfate,Xenobiotics,"Drug - Analgesics, Anesthetics",48580,LC/MS Neg,100006190,2251,230.01286,40712-60-5,181671,158023,,
114,2-aminoadipate,Amino Acid,Lysine Metabolism,6146,LC/MS Polar,381,3500,160.06153,542-32-5;1118-90-7,469,456,C00956,HMDB00510
499,2-aminobutyrate,Amino Acid,Glutathione Metabolism,42374,LC/MS Pos Early,1128,2059,104.07061,1492-24-6,439691,388757,C02261,HMDB00650
1571,2-aminoheptanoate,Lipid,"Fatty Acid, Amino",43761,LC/MS Pos Early,100004542,3160,146.11756,1115-90-8,227939,198338,,
5207,2-aminophenol sulfate,Xenobiotics,Chemical,43266,LC/MS Neg,100004322,1677,188.0023,,181670,158022,,HMDB61116
2561,2-arachidonoylglycerol (20:4),Lipid,Monoacylglycerol,19266,LC/MS Neg,100000584,6170,303.23293,53847-30-6,5282280,4445451,C13856,HMDB04666
336,2-hydroxy-3-methylvalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",36746,LC/MS Neg,100001541,1800,131.07136,488-15-3,164623,144317,,HMDB00317
384,2-hydroxy-4-(methylthio)butanoic acid,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",63739,LC/MS Polar,100021372,1065,149.02778,583-91-5,,,,
1488,2-hydroxyadipate,Lipid,"Fatty Acid, Dicarboxylate",31934,LC/MS Polar,100001153,3000,161.04554,18294-85-4,193530,167943,C02360,HMDB00321
1732,2-hydroxyarachidate*,Lipid,"Fatty Acid, Monohydroxy",61700,LC/MS Neg,100019892,5990,327.29047,,5225199,4395406,,
1733,2-hydroxybehenate,Lipid,"Fatty Acid, Monohydroxy",57663,LC/MS Neg,100015637,6384,355.32177,,193484,167899,,
501,2-hydroxybutyrate/2-hydroxyisobutyrate,Amino Acid,Glutathione Metabolism,52281,LC/MS Polar,100008928,1258,103.04006,,,,,
1726,2-hydroxydecanoate,Lipid,"Fatty Acid, Monohydroxy",42489,LC/MS Neg,100004089,4840,187.13396,5393-81-7,21488,20195,,
1484,2-hydroxyglutarate,Lipid,"Fatty Acid, Dicarboxylate",37253,LC/MS Polar,100002070,3352.8,147.02989,40951-21-1,43,42,C02630,HMDB0059655
1724,2-hydroxyheptanoate*,Lipid,"Fatty Acid, Monohydroxy",61827,LC/MS Polar,100019960,925,145.08701,,2750949,2032206,,
4041,2-hydroxyhippurate (salicylurate),Xenobiotics,Benzoate Metabolism,18281,LC/MS Neg,1869,2184,194.04588,487-54-7,10253,9835,C07588,HMDB00840
1734,2-hydroxylignocerate*,Lipid,"Fatty Acid, Monohydroxy",61699,LC/MS Neg,100019894,6805,383.35307,,102430,92507,C17873,HMDB39540
1725,2-hydroxyoctanoate,Lipid,"Fatty Acid, Monohydroxy",22036,LC/MS Neg,100000743,3736.8,159.10266,617-73-2,94180,84994,,HMDB02264
1729,2-hydroxypalmitate,Lipid,"Fatty Acid, Monohydroxy",35675,LC/MS Neg,100001579,5511.2,271.22786,764-67-0,92836,83805,,HMDB31057
4252,2-hydroxyquinoline,Xenobiotics,Food Component/Plant,40464,LC/MS Pos Early,100002385,2680,146.06004,59-31-4,6038,5816,C06415,
1530,2-hydroxysebacate,Lipid,"Fatty Acid, Dicarboxylate",63357,LC/MS Neg,100020378,1324,217.10814,103963-71-9,128458,113866,,HMDB00424
1731,2-hydroxystearate,Lipid,"Fatty Acid, Monohydroxy",17945,LC/MS Neg,1239,5695,299.25917,629-22-1,69417,62625,C03045,
4261,2-isopropylmalate,Xenobiotics,Food Component/Plant,15667,LC/MS Polar,100000409,2605,175.06119,3237-44-3,77,76,C02504,HMDB00402
338,2-methylbutyrylcarnitine (C5),Amino Acid,"Leucine, Isoleucine and Valine Metabolism",45095,LC/MS Pos Early,100001509,3050,246.16999,31023-25-3,6426901,4932320,,HMDB00378
340,2-methylbutyrylglycine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",31928,LC/MS Neg,100001155,1884,158.08226,52320-67-9,193872,168243,,HMDB00339
1301,2-methylcitrate/homocitrate,Energy,TCA Cycle,52282,LC/MS Neg,100008929,575,205.03538,,,,,
4262,2-oxindole-3-acetate,Xenobiotics,Food Component/Plant,40479,LC/MS Neg,100003109,2076,190.05096,2971-31-5,3080590,2338343,,HMDB35514
116,2-oxoadipate,Amino Acid,Lysine Metabolism,38347,LC/MS Polar,92,2635,159.0299,3184-35-8,71,70,C00322,HMDB00225
421,2-oxoarginine*,Amino Acid,Urea cycle; Arginine and Proline Metabolism,55072,LC/MS Pos Early,100002784,1760,174.08732,663193,558,542,C03771,HMDB04225
2307,2-palmitoleoyl-GPC (16:1)*,Lipid,Lysophospholipid,47118,LC/MS Neg,100001561,5720,568.3256,,,21403164,,HMDB10383
2305,2-palmitoyl-GPC (16:0)*,Lipid,Lysophospholipid,35253,LC/MS Neg,100001562,6215,570.34125,,15061532,21403165,,HMDB61702
2366,2-stearoyl-GPE (18:0)*,Lipid,Lysophospholipid,41220,LC/MS Neg,100003901,6350,480.30956,,,24769218,,HMDB11129
2963,20a-dihydroprogesterone,Lipid,Progestin Steroids,39761,LC/MS Pos Late,100002766,1255,317.24751,145-14-2,92747,83725,C04042,HMDB03069
1792,"2R,3R-dihydroxybutyrate",Lipid,"Fatty Acid, Dihydroxy",63109,LC/MS Polar,100002367,1543,119.03498,759-06-8,,17215960,,HMDB00498
1791,"2S,3R-dihydroxybutyrate",Lipid,"Fatty Acid, Dihydroxy",62950,LC/MS Polar,100002284,1660,119.03498,5057-93-2,10964471,9139682,,HMDB02453
