PATHWAY_SORTORDER,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID,PLATFORM,CHEMICAL_ID,RI,MASS,CAS,PUBCHEM,CHEMSPIDER,KEGG,HMDB_ID,P_value,qvalues,abs(fold_change),fold_change,getVipVn.serum_mixture.oplsda.
276,indoleacetylglycine,Amino Acid,Tryptophan Metabolism,54730,LC/MS Neg,100006730,2610,231.07751,NA,446640,393944,NA,NA,0.017675635,0.118776343,0.765786532,-2.611693882,1.565582014
35,aspartate,Amino Acid,Alanine and Aspartate Metabolism,443,LC/MS Pos Early,234,1165,134.04479,56-84-8,5960,5745,C00049,HMDB00191,0.020629122,0.124585335,0.833273841,-2.400171351,1.564421681
2133,1-palmitoyl-2-oleoyl-GPE (16:0/18:1),Lipid,Phosphatidylethanolamine (PE),19263,LC/MS Pos Late,1526,2509,718.53813,26662-94-2,5283496,4446615,NA,HMDB05320,0.025049225,0.135807857,0.678279817,-2.94863558,1.563297015
1503,decadienedioic acid (C10:2-DC)**,Lipid,"Fatty Acid, Dicarboxylate",63685,LC/MS Polar,100021711,2329.7,197.08185,NA,NA,NA,NA,NA,0.024425848,0.133950291,0.52921378,-3.779191086,1.559269363
2697,N-palmitoyl-sphingosine (d18:1/16:0),Lipid,Ceramides,44877,LC/MS Pos Late,1518,2893,538.51937,24696-26-2,5283564,4446677,NA,HMDB04949,0.024177051,0.133950291,0.77910932,-2.567033854,1.559045284
1524,eicosenedioate (C20:1-DC)*,Lipid,"Fatty Acid, Dicarboxylate",62923,LC/MS Neg,100021105,5095,339.25407,NA,NA,NA,NA,NA,0.021515231,0.126728493,0.840208966,-2.38036022,1.557958517
1110,ribitol,Carbohydrate,Pentose Metabolism,15772,LC/MS Polar,100000406,1789.6,151.06119,488-81-3,6912,10254628,C00474,HMDB00508,0.02923556,0.141658415,0.837727146,-2.38741219,1.542840795
1694,3-hydroxydecanoylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",63358,LC/MS Pos Late,100021141,961,332.24315,NA,NA,59664325,NA,HMDB61636,0.029652951,0.141658415,0.672437522,-2.974254016,1.54225359
1657,5-dodecenoylcarnitine (C12:1),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",61769,LC/MS Pos Late,100016069,1135,342.26389,NA,NA,NA,NA,HMDB13326,0.023067574,0.133296765,0.717751241,-2.786480728,1.540662648
3740,allantoic acid,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",33434,LC/MS Pos Early,218,660,177.06184,99-16-1,203,198,C00499,HMDB01209,0.029212735,0.141658415,0.728979003,-2.743563245,1.531816511
2247,1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*,Lipid,Phosphatidylinositol (PI),52669,LC/MS Polar,100009066,893,835.5342,NA,NA,24767668,NA,HMDB09783,0.02653448,0.138177526,0.739627069,-2.704065446,1.528239398
346,ethylmalonate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",15765,LC/MS Polar,2054,2785,131.03498,601-75-2,11756,11263,NA,HMDB00622,0.031069965,0.142534728,0.758777791,-2.635817789,1.521134166
285,6-bromotryptophan,Amino Acid,Tryptophan Metabolism,62503,LC/MS Pos Early,100020414,3371,283.00767,NA,NA,NA,NA,NA,0.034444962,0.145584445,0.772586926,-2.58870547,1.520185117
1111,ribonate,Carbohydrate,Pentose Metabolism,27731,LC/MS Polar,100001007,2425,165.04046,1255190,5460677,4574162,C01685,HMDB00867,0.023747903,0.133296765,0.840381733,-2.379870863,1.517941651
442,pro-hydroxy-pro,Amino Acid,Urea cycle; Arginine and Proline Metabolism,35127,LC/MS Pos Early,100001167,2128,229.11829,18684-24-7,11673055,9847785,NA,HMDB06695,0.035541799,0.14732005,1.173787201,1.173787201,1.51271225
359,3-methyl-2-oxobutyrate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",44526,LC/MS Polar,100000936,911,115.04006,3715-29-5,49,48,C00141,HMDB00019,0.032211918,0.143151175,0.818374467,-2.443869013,1.508828555
341,tiglylcarnitine (C5:1-DC),Amino Acid,"Leucine, Isoleucine and Valine Metabolism",35428,LC/MS Pos Early,100001597,2962,244.15434,64191-86-2,22833596,17216200,NA,HMDB02366,0.03666875,0.148340306,0.702794995,-2.845780084,1.50677432
404,hypotaurine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",590,LC/MS Polar,358,2763.4,108.01247,300-84-5,107812,96959,C00519,HMDB00965,0.02664477,0.138177526,0.818214353,-2.444347246,1.503911548
1590,butyrylglycine,Lipid,Fatty Acid Metabolism (also BCAA Metabolism),31850,LC/MS Neg,100001151,1470,144.06661,20208-73-5,88412,79766,NA,HMDB00808,0.029797392,0.141658415,0.772266662,-2.589779021,1.503488603
496,cysteinylglycine disulfide*,Amino Acid,Glutathione Metabolism,62103,LC/MS Pos Early,100002466,2547,298.05259,70555-24-7,NA,17215992,NA,HMDB00709,0.032404506,0.143151175,1.283839139,1.283839139,1.502060726
2,N-acetylglycine,Amino Acid,"Glycine, Serine and Threonine Metabolism",27710,LC/MS Polar,100001006,1780,116.03531,543-24-8,10972,10507,NA,HMDB00532,0.026138875,0.138177526,0.742767296,-2.692633362,1.500570237
3150,7-ketodeoxycholate,Lipid,Secondary Bile Acid Metabolism,31904,LC/MS Neg,100001063,4821,405.26464,911-40-0,188292,163659,NA,HMDB00391,0.029988206,0.141658415,2.744400822,2.744400822,1.494735872
334,1-carboxyethylisoleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",62558,LC/MS Neg,100020427,2628,202.10848,NA,NA,NA,NA,NA,0.040766201,0.153254563,1.38608098,1.38608098,1.493929563
2632,linoleoyl-docosahexaenoyl-glycerol (18:2/22:6) [1]*,Lipid,Diacylglycerol,54949,LC/MS Pos Late,100010928,2450,682.54051,NA,NA,NA,NA,NA,0.032376157,0.143151175,1.603775202,1.603775202,1.491449235
299,alpha-hydroxyisocaproate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",22132,LC/MS Neg,100000706,1840,131.07136,10303-64-7,83697,75520,C03264,HMDB00746,0.02962602,0.141658415,1.297212524,1.297212524,1.48768181
1497,suberate (C8-DC),Lipid,"Fatty Acid, Dicarboxylate",15730,LC/MS Neg,100000016,804.3,173.08193,505-48-6,10457,10025,C08278,HMDB00893,0.02856911,0.141658415,0.628976606,-3.179768504,1.486854124
3825,2'-O-methyluridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",57655,LC/MS Neg,100010896,1831,257.07791,2140-76-3,102212,92343,NA,NA,0.030568686,0.142227018,0.815714739,-2.451837516,1.485463957
108,"N6,N6,N6-trimethyllysine",Amino Acid,Lysine Metabolism,1498,LC/MS Pos Early,189,2825,189.15976,23284-33-5,440120,140379,C03793,HMDB01325,0.035680545,0.14732005,0.905414565,-2.208932877,1.484925625
376,N-acetylmethionine sulfoxide,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",45428,LC/MS Pos Early,100005463,880,208.06381,108646-71-5,193368,167798,NA,NA,0.025369902,0.136000986,0.652349709,-3.065840256,1.480231265
354,N-acetylvaline,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",1591,LC/MS Neg,1084,1704,158.08226,96-81-1,66789,60154,NA,HMDB11757,0.037884871,0.149380432,1.211453744,1.211453744,1.471821527
3149,taurocholenate sulfate*,Lipid,Secondary Bile Acid Metabolism,32807,LC/MS Neg,100001990,4750,279.61422,NA,NA,NA,NA,NA,0.030704785,0.142227018,0.67167904,-2.977612641,1.469909138
1504,undecanedioate (C11-DC),Lipid,"Fatty Acid, Dicarboxylate",42395,LC/MS Neg,100001617,2440,215.12888,1852-04-6,15816,15037,NA,HMDB00888,0.039194343,0.151110819,0.783561849,-2.552446885,1.469069816
338,2-methylbutyrylcarnitine (C5),Amino Acid,"Leucine, Isoleucine and Valine Metabolism",45095,LC/MS Pos Early,100001509,3050,246.16999,31023-25-3,6426901,4932320,NA,HMDB00378,0.033269408,0.143758129,0.809080316,-2.471942477,1.467859403
3739,allantoin,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",1107,LC/MS Polar,1002,1672,157.03671,97-59-6,204,199,C02350,HMDB00462,0.029912416,0.141658415,0.830043515,-2.409512229,1.464305667
42,glutamate,Amino Acid,Glutamate Metabolism,57,LC/MS Pos Early,561,1500,148.06044,56-86-0,611,591,C00025,HMDB00148,0.031413274,0.142737199,0.872115157,-2.29327513,1.460789592
3137,7-ketolithocholate,Lipid,Secondary Bile Acid Metabolism,43830,LC/MS Neg,100001069,5082,389.26973,4651-67-6,444262,392247,NA,HMDB00467,0.034481023,0.145584445,4.689363753,4.689363753,1.460677868
293,1-carboxyethylleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",62559,LC/MS Neg,100020425,2663,202.10848,NA,NA,NA,NA,NA,0.045145786,0.166589143,1.320968163,1.320968163,1.454155815
1071,glucose,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",20488,LC/MS Polar,572,2342,179.05611,50-99-7,5793,71358,C00031,HMDB00122,0.039273895,0.151110819,0.841545223,-2.376580539,1.446276415
